FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-09 00:00:00.000000,0.00462765,0.01890665,0.04283954,2,11,26,1,5,14,0.00195734,0.00919843,0.02372050,0.42585682,0.69223124,0.92904303
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-10 00:00:00.000000,0.00563038,0.02126605,0.04613950,3,13,28,1,5,14,0.00232576,0.00960464,0.02382678,0.42585674,0.69221859,0.92904282
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-11 00:00:00.000000,0.00677330,0.02381429,0.05225379,4,14,32,1,6,16,0.00280926,0.01097253,0.02650714,0.42585650,0.69181728,0.92904220
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-12 00:00:00.000000,0.00810135,0.02661859,0.05900762,5,16,36,2,7,18,0.00339586,0.01271882,0.03014520,0.42585574,0.69181645,0.92904048
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-13 00:00:00.000000,0.00965805,0.02998417,0.06645468,5,18,41,2,9,21,0.00409069,0.01457166,0.03419771,0.42585341,0.69169348,0.92903567
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-14 00:00:00.000000,0.01107870,0.03391789,0.07470100,6,21,46,3,10,23,0.00490838,0.01646663,0.03855330,0.42584618,0.69131293,0.92902228
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-15 00:00:00.000000,0.01224607,0.03839692,0.08376959,7,23,51,3,11,26,0.00586999,0.01839509,0.04287813,0.42582388,0.69043117,0.92898514
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-16 00:00:00.000000,0.01780318,0.04913544,0.10166311,11,30,63,3,12,29,0.00642019,0.02075546,0.04813322,0.42575509,0.68947270,0.92888261
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-17 00:00:00.000000,0.02326401,0.06081606,0.12088998,14,37,75,4,15,34,0.00795156,0.02451050,0.05546917,0.42554419,0.68923883,0.92860324
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-18 00:00:00.000000,0.02904641,0.07544989,0.14073101,18,46,87,7,18,39,0.01222046,0.02910290,0.06425089,0.42490988,0.67985657,0.92786730
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-19 00:00:00.000000,0.03516844,0.08602388,0.15752555,21,53,97,9,21,46,0.01507246,0.03449058,0.07426987,0.42311048,0.67106958,0.89345977
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-20 00:00:00.000000,0.04162996,0.10037517,0.18419980,25,62,114,11,26,53,0.01834673,0.04196579,0.08554835,0.40200558,0.65804060,0.89848359
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-21 00:00:00.000000,0.04862835,0.11429909,0.21223061,30,70,131,13,30,62,0.02202687,0.04946273,0.10041412,0.40035059,0.63492082,0.90021128
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-22 00:00:00.000000,0.05720109,0.12881181,0.23461521,35,79,145,15,35,74,0.02578520,0.05725782,0.11964868,0.39998521,0.61126769,0.84250977
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-23 00:00:00.000000,0.06736325,0.14346977,0.25922438,41,89,160,18,40,86,0.02988266,0.06488914,0.13992224,0.39374861,0.58362944,0.78174408
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-24 00:00:00.000000,0.07848297,0.16102145,0.28429275,48,99,176,22,45,94,0.03552289,0.07380765,0.15303438,0.38388183,0.55758551,0.78178384
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-25 00:00:00.000000,0.09093407,0.18050989,0.30882580,56,111,191,25,50,102,0.04076334,0.08214689,0.16538364,0.36950224,0.54575854,0.78153957
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-26 00:00:00.000000,0.10185285,0.19925767,0.33498482,63,123,207,28,56,110,0.04586458,0.09154326,0.17758405,0.34935043,0.53492031,0.78093208
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-27 00:00:00.000000,0.11304822,0.22053769,0.36595084,70,136,227,31,63,117,0.05141011,0.10276272,0.19013360,0.33813189,0.51095372,0.77881202
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-28 00:00:00.000000,0.12484007,0.24257369,0.39547673,77,150,245,35,70,128,0.05733324,0.11435613,0.20635303,0.31433680,0.47204384,0.77089558
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-29 00:00:00.000000,0.13709063,0.25966704,0.43043966,85,161,267,40,76,137,0.06497508,0.12383960,0.22186407,0.30696473,0.45090029,0.74357667
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-30 00:00:00.000000,0.14992545,0.27864654,0.46428322,93,172,288,44,85,146,0.07181739,0.13760726,0.23582061,0.27100037,0.42116707,0.66129702
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-03-31 00:00:00.000000,0.16327391,0.30077248,0.47407660,101,186,294,48,92,163,0.07866321,0.14859031,0.26326903,0.25869309,0.40092060,0.61269052
22001,0,USLouisianaAcadia,Louisiana,Acadia,2020-11-01 01:18:34.129285,2020-04-01 00:00:00.000000,0.17538621,0.32541437,0.50092878,108,201,310,53,98,180,0.08563467,0.15903808,0.29035743,0.25067007,0.38029331,0.57229726
