FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22025,0,USLouisianaCatahoula,Louisiana,Catahoula,2020-10-27 20:55:06.276330,2020-03-09 00:00:00.000000,0.02536925,0.07481729,0.19889993,2,7,18,0,2,8,0.00614754,0.03149486,0.08799223,0.44953130,0.60441750,0.81095012
22025,0,USLouisianaCatahoula,Louisiana,Catahoula,2020-10-27 20:55:06.276330,2020-03-10 00:00:00.000000,0.03717361,0.09459296,0.24011473,3,8,22,0,3,8,0.00910127,0.03379421,0.08888980,0.44940452,0.60441648,0.81094966
22025,0,USLouisianaCatahoula,Louisiana,Catahoula,2020-10-27 20:55:06.276330,2020-03-11 00:00:00.000000,0.04588238,0.11452344,0.29586775,4,10,28,1,3,8,0.01289142,0.03859453,0.09443481,0.44917836,0.60441460,0.81094890
22025,0,USLouisianaCatahoula,Louisiana,Catahoula,2020-10-27 20:55:06.276330,2020-03-12 00:00:00.000000,0.05425964,0.13896357,0.34525211,5,13,32,1,4,10,0.01742533,0.04593748,0.10863926,0.44877595,0.60441115,0.81094727
22025,0,USLouisianaCatahoula,Louisiana,Catahoula,2020-10-27 20:55:06.276330,2020-03-13 00:00:00.000000,0.06532754,0.16781411,0.39482341,6,15,37,1,5,11,0.02076756,0.05522107,0.12599117,0.44806333,0.60440485,0.81094233
22025,0,USLouisianaCatahoula,Louisiana,Catahoula,2020-10-27 20:55:06.276330,2020-03-14 00:00:00.000000,0.07789441,0.19612681,0.45987084,7,18,43,2,6,14,0.02491776,0.06569333,0.14923517,0.44681189,0.59899451,0.81092297
22025,0,USLouisianaCatahoula,Louisiana,Catahoula,2020-10-27 20:55:06.276330,2020-03-15 00:00:00.000000,0.09168168,0.22699399,0.50672464,8,21,48,2,7,16,0.03090520,0.07888297,0.17500740,0.44464624,0.59818659,0.81083772
22025,0,USLouisianaCatahoula,Louisiana,Catahoula,2020-10-27 20:55:06.276330,2020-03-16 00:00:00.000000,0.11554248,0.26559517,0.55290482,10,25,52,3,8,19,0.03761101,0.09214760,0.20375379,0.44099231,0.58383923,0.81044723
22025,0,USLouisianaCatahoula,Louisiana,Catahoula,2020-10-27 20:55:06.276330,2020-03-17 00:00:00.000000,0.13220150,0.30375691,0.64535715,12,28,61,4,10,22,0.04827735,0.10832798,0.23387931,0.43508479,0.58163541,0.80865033
22025,0,USLouisianaCatahoula,Louisiana,Catahoula,2020-10-27 20:55:06.276330,2020-03-18 00:00:00.000000,0.14857679,0.34190844,0.73711380,14,32,69,5,11,25,0.06013215,0.12267456,0.26612545,0.42616960,0.57735798,0.80065326
