FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-09 00:00:00.000000,0.00206454,0.03176070,0.08751671,0,4,13,0,2,7,0.00110920,0.01692795,0.04935486,0.37539602,0.53125325,0.77325817
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-10 00:00:00.000000,0.00240420,0.03534787,0.08945925,0,5,13,0,2,6,0.00109199,0.01699090,0.04573165,0.37539460,0.53122830,0.77325819
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-11 00:00:00.000000,0.00274570,0.03872082,0.09165937,0,5,13,0,2,6,0.00115612,0.01811813,0.04653311,0.37539173,0.53118310,0.77325817
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-12 00:00:00.000000,0.00309834,0.04234158,0.09608281,0,6,14,0,2,7,0.00127503,0.01867116,0.04870229,0.37538570,0.53110132,0.77325784
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-13 00:00:00.000000,0.00346880,0.04613425,0.10343912,0,6,15,0,2,7,0.00141979,0.02012578,0.05210439,0.37537266,0.53095382,0.77325626
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-14 00:00:00.000000,0.00386200,0.04968661,0.11128275,0,7,16,0,3,8,0.00158427,0.02142400,0.05594062,0.37534383,0.53090772,0.77324982
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-15 00:00:00.000000,0.00428092,0.05349160,0.12080673,0,7,17,0,3,8,0.00176566,0.02297473,0.06013466,0.37527908,0.53087654,0.77322532
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-16 00:00:00.000000,0.00989989,0.07039334,0.14144470,1,10,21,0,3,9,0.00196282,0.02484288,0.06465737,0.37513239,0.53065771,0.77313528
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-17 00:00:00.000000,0.01468974,0.08081423,0.16411232,2,12,24,0,4,10,0.00367487,0.02915619,0.07167300,0.37480061,0.52820106,0.77281598
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-18 00:00:00.000000,0.01882388,0.09069843,0.18878881,2,13,28,0,5,12,0.00556669,0.03494897,0.08177900,0.37406450,0.51905221,0.77176733
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-19 00:00:00.000000,0.02299574,0.10463603,0.21704675,3,15,32,1,6,13,0.00714723,0.04061167,0.08996723,0.37251572,0.51071996,0.72679889
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-20 00:00:00.000000,0.02728045,0.11898636,0.24697258,4,17,36,1,7,14,0.00892941,0.04738877,0.09886782,0.35091320,0.48697964,0.69244990
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-21 00:00:00.000000,0.03160585,0.13452560,0.27377474,4,20,40,1,8,16,0.01090805,0.05574196,0.10847486,0.32493557,0.47213110,0.68791668
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-22 00:00:00.000000,0.03602702,0.15060495,0.30899813,5,22,46,1,9,19,0.01303101,0.06444127,0.13156122,0.31010734,0.44409498,0.65127915
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-23 00:00:00.000000,0.04709457,0.16832391,0.33358015,7,25,49,2,10,21,0.01527108,0.07097364,0.14606342,0.30928076,0.42439478,0.65542905
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-24 00:00:00.000000,0.05851077,0.18442385,0.36406708,8,27,54,2,11,24,0.01871674,0.07910513,0.16410787,0.30710680,0.41234166,0.65828397
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-25 00:00:00.000000,0.07293750,0.20555292,0.39545238,10,30,58,3,13,27,0.02305829,0.08931378,0.18553547,0.27420876,0.40530137,0.65990176
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-26 00:00:00.000000,0.09130987,0.22316234,0.43013298,13,33,64,4,14,30,0.02814226,0.09979126,0.20716205,0.25225969,0.38158331,0.66013577
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-27 00:00:00.000000,0.10237136,0.24184346,0.46745008,15,36,69,5,15,33,0.03459959,0.10586098,0.22327171,0.24596137,0.36908293,0.55719285
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-28 00:00:00.000000,0.11376147,0.26361425,0.49350299,16,39,73,6,17,35,0.04374599,0.11496731,0.23869279,0.23182469,0.35704413,0.55224528
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-29 00:00:00.000000,0.12536947,0.28302138,0.51988330,18,42,77,7,18,39,0.05351670,0.12270180,0.26685054,0.22971496,0.34214315,0.56356319
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-30 00:00:00.000000,0.15042250,0.30803387,0.55495242,22,45,82,9,19,44,0.06259116,0.12952282,0.30156732,0.22937760,0.33393425,0.53282729
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-03-31 00:00:00.000000,0.16838941,0.31849686,0.58825352,25,47,87,10,21,48,0.06980303,0.14469508,0.32470555,0.22908631,0.32381127,0.54194786
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-04-01 00:00:00.000000,0.19239168,0.33059979,0.62095596,28,49,92,11,23,51,0.07799537,0.15589972,0.34482940,0.21950503,0.31326929,0.51619053
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-04-02 00:00:00.000000,0.20788835,0.34967636,0.65754245,30,52,97,12,24,54,0.08704384,0.16501455,0.36279371,0.21705715,0.30926699,0.50678061
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-04-03 00:00:00.000000,0.22243886,0.36077207,0.68744237,33,53,102,14,25,56,0.09688833,0.17319238,0.37632576,0.21123542,0.29835179,0.48167987
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-04-04 00:00:00.000000,0.23709926,0.38107434,0.71223683,35,56,106,15,27,57,0.10739913,0.18402461,0.38912130,0.20189756,0.29107627,0.47521662
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-10-16 23:01:14.669208,2020-04-05 00:00:00.000000,0.25024638,0.39655850,0.73197647,37,59,109,17,28,59,0.11846603,0.19424070,0.40053119,0.19769651,0.28342623,0.46834481
