FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22055,0,USLouisianaLafayette,Louisiana,Lafayette,2020-11-09 10:36:26.149789,2020-03-09 00:00:00.000000,0.00228220,0.00489934,0.00908235,5,11,22,1,3,9,0.00056703,0.00156440,0.00368302,0.56845296,0.75456816,0.99206826
22055,0,USLouisianaLafayette,Louisiana,Lafayette,2020-11-09 10:36:26.149789,2020-03-10 00:00:00.000000,0.00311507,0.00702869,0.01209233,7,17,29,2,5,11,0.00101489,0.00228940,0.00479795,0.56845287,0.75456154,0.99206660
22055,0,USLouisianaLafayette,Louisiana,Lafayette,2020-11-09 10:36:26.149789,2020-03-11 00:00:00.000000,0.00410070,0.00977583,0.01708247,10,23,41,3,7,14,0.00147749,0.00306542,0.00597573,0.56845270,0.75455039,0.99206271
22055,0,USLouisianaLafayette,Louisiana,Lafayette,2020-11-09 10:36:26.149789,2020-03-12 00:00:00.000000,0.00526990,0.01225289,0.02272154,12,29,55,4,10,18,0.00194693,0.00423620,0.00743618,0.56845239,0.75453066,0.99205359
22055,0,USLouisianaLafayette,Louisiana,Lafayette,2020-11-09 10:36:26.149789,2020-03-13 00:00:00.000000,0.00665744,0.01520639,0.02925901,16,37,71,5,13,23,0.00244968,0.00558432,0.00968582,0.56845180,0.75449383,0.99203216
22055,0,USLouisianaLafayette,Louisiana,Lafayette,2020-11-09 10:36:26.149789,2020-03-14 00:00:00.000000,0.00830390,0.01838906,0.03674282,20,44,89,7,18,31,0.00302730,0.00739277,0.01306287,0.56845001,0.75442131,0.99198183
22055,0,USLouisianaLafayette,Louisiana,Lafayette,2020-11-09 10:36:26.149789,2020-03-15 00:00:00.000000,0.01006311,0.02228569,0.04530041,24,54,110,9,22,41,0.00375883,0.00916562,0.01697295,0.56843779,0.75427183,0.99186358
22055,0,USLouisianaLafayette,Louisiana,Lafayette,2020-11-09 10:36:26.149789,2020-03-16 00:00:00.000000,0.01283049,0.02622752,0.05195888,31,64,126,11,27,52,0.00465009,0.01116049,0.02147698,0.56830629,0.75383902,0.99158573
22055,0,USLouisianaLafayette,Louisiana,Lafayette,2020-11-09 10:36:26.149789,2020-03-17 00:00:00.000000,0.01651432,0.03081896,0.05991061,40,75,146,15,32,63,0.00638559,0.01337585,0.02581268,0.56678722,0.75305619,0.99093315
22055,0,USLouisianaLafayette,Louisiana,Lafayette,2020-11-09 10:36:26.149789,2020-03-18 00:00:00.000000,0.02047039,0.03636796,0.06915711,50,88,169,21,38,74,0.00864668,0.01584359,0.03036707,0.55298377,0.74330889,0.98659412
22055,0,USLouisianaLafayette,Louisiana,Lafayette,2020-11-09 10:36:26.149789,2020-03-19 00:00:00.000000,0.02509336,0.04229072,0.07944575,61,103,194,26,46,86,0.01091697,0.01886396,0.03537582,0.55160697,0.73288185,0.95582487
22055,0,USLouisianaLafayette,Louisiana,Lafayette,2020-11-09 10:36:26.149789,2020-03-20 00:00:00.000000,0.03035049,0.04989403,0.09036957,74,121,220,30,54,100,0.01264796,0.02211658,0.04100131,0.50537264,0.71107404,0.94336062
