FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-09 00:00:00.000000,0.01573278,0.03260105,0.06783825,3,7,15,0,1,3,0.00248727,0.00607302,0.01656565,0.51244403,0.73128748,0.96514788
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-10 00:00:00.000000,0.02643969,0.05013714,0.10830260,6,11,25,1,2,5,0.00475639,0.01212153,0.02500281,0.51244300,0.73126630,0.96496110
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-11 00:00:00.000000,0.03812800,0.06762264,0.15511785,8,15,35,1,4,9,0.00806348,0.01938611,0.04123659,0.51244099,0.73122646,0.96461581
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-12 00:00:00.000000,0.04973698,0.08763009,0.20637650,11,20,47,2,6,14,0.01230744,0.02751509,0.06192880,0.51243684,0.73115166,0.96397612
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-13 00:00:00.000000,0.06037617,0.10962571,0.26479872,14,25,61,4,8,19,0.01726412,0.03673187,0.08540149,0.51242672,0.73101158,0.96279221
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-14 00:00:00.000000,0.07263395,0.13428261,0.32860233,16,31,76,5,11,25,0.02286407,0.04743028,0.11108375,0.51238402,0.72626184,0.96061366
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-15 00:00:00.000000,0.08600729,0.16258780,0.39817166,19,37,92,6,13,32,0.02910199,0.05825071,0.13874712,0.51202805,0.72578004,0.95665828
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-16 00:00:00.000000,0.11614895,0.20442344,0.44361779,26,47,102,8,16,39,0.03502962,0.07026667,0.16837908,0.50809663,0.72575529,0.94966338
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-17 00:00:00.000000,0.14916724,0.25791556,0.50408477,34,59,116,11,20,45,0.04765542,0.08639122,0.19603128,0.47426559,0.72240712,0.94678484
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-18 00:00:00.000000,0.18578891,0.31558993,0.57285235,43,73,132,14,25,51,0.06142939,0.10779078,0.22404204,0.41580840,0.69614399,0.94501058
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-19 00:00:00.000000,0.22225277,0.37155724,0.64161522,51,86,148,17,30,59,0.07753223,0.13211868,0.25511276,0.39143069,0.66396250,0.94191832
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-20 00:00:00.000000,0.26411778,0.43384069,0.70727474,61,100,164,22,37,66,0.09561370,0.15994383,0.28626622,0.38061946,0.62970115,0.93028318
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-21 00:00:00.000000,0.30660489,0.49620685,0.76895230,71,115,178,26,43,72,0.11525411,0.18883735,0.31436523,0.37943405,0.60340054,0.90565558
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-22 00:00:00.000000,0.33998485,0.56114803,0.82661579,78,130,191,31,50,79,0.13463056,0.21814269,0.34121823,0.37076047,0.58300313,0.85440535
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-23 00:00:00.000000,0.39577425,0.61372866,0.86899040,91,142,201,35,58,88,0.15434356,0.25176295,0.38329601,0.36844352,0.57356016,0.79691759
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-24 00:00:00.000000,0.44106513,0.67950260,0.92059623,102,157,213,40,65,95,0.17504586,0.28288151,0.41207380,0.35409149,0.56917221,0.78692314
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-25 00:00:00.000000,0.49844758,0.74025804,1.00823876,115,171,233,45,72,103,0.19671578,0.31249690,0.44485514,0.34203821,0.55689127,0.78023753
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-26 00:00:00.000000,0.55837582,0.79183290,1.08287651,129,183,251,50,78,110,0.21977747,0.33726131,0.47454315,0.32869362,0.54402546,0.77355388
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-27 00:00:00.000000,0.59778886,0.85045560,1.18999183,138,197,276,56,85,123,0.24424266,0.36644647,0.53130399,0.31505745,0.52366783,0.76035267
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-28 00:00:00.000000,0.61738055,0.89963164,1.25523247,143,208,291,61,92,136,0.26420070,0.40017866,0.58936960,0.29000171,0.47981767,0.72549289
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-29 00:00:00.000000,0.62875619,0.94469382,1.34439976,145,219,311,66,99,149,0.28748050,0.42950895,0.64343624,0.26840724,0.46920770,0.64953705
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-30 00:00:00.000000,0.63646603,0.98795565,1.46626458,147,229,340,67,106,162,0.29223872,0.45780066,0.69998195,0.25311439,0.43031171,0.58972158
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-03-31 00:00:00.000000,0.63650231,1.04654230,1.60762872,147,242,372,69,111,174,0.29896981,0.48048622,0.75167850,0.24400256,0.39619105,0.56235003
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-04-01 00:00:00.000000,0.63752564,1.06059681,1.69827433,147,246,393,69,117,183,0.30094377,0.50443991,0.79014516,0.23145264,0.36922939,0.55211543
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-04-02 00:00:00.000000,0.63534471,1.06762924,1.74250156,147,247,404,70,121,189,0.30230425,0.52374515,0.81735770,0.20876327,0.35059367,0.50283612
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-04-03 00:00:00.000000,0.62794609,1.05396093,1.75006977,145,244,405,70,123,201,0.30262987,0.53075528,0.86964216,0.18158912,0.31934312,0.45345417
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-04-04 00:00:00.000000,0.61494322,1.03860871,1.74188452,142,240,404,69,122,216,0.30124282,0.52908643,0.93307899,0.16845938,0.29462639,0.40866368
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-04-05 00:00:00.000000,0.59824469,1.03165576,1.72715532,138,239,400,69,122,222,0.29767096,0.52951500,0.95710417,0.16215739,0.27635445,0.38399085
22075,0,USLouisianaPlaquemines,Louisiana,Plaquemines,2020-12-05 11:56:29.492403,2020-04-06 00:00:00.000000,0.58022090,1.01403703,1.71647703,134,235,398,67,121,222,0.28966021,0.52344013,0.95845246,0.15980698,0.24771701,0.35696387
