FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22079,0,USLouisianaRapides,Louisiana,Rapides,2020-10-16 23:07:20.911730,2020-03-09 00:00:00.000000,0.00284835,0.00660292,0.01227785,3,8,15,0,2,5,0.00062370,0.00179688,0.00395171,0.50873210,0.69145491,0.88385470
22079,0,USLouisianaRapides,Louisiana,Rapides,2020-10-16 23:07:20.911730,2020-03-10 00:00:00.000000,0.00395869,0.00928942,0.01895325,5,12,24,1,2,6,0.00106655,0.00229386,0.00513622,0.50872879,0.69145518,0.88385467
22079,0,USLouisianaRapides,Louisiana,Rapides,2020-10-16 23:07:20.911730,2020-03-11 00:00:00.000000,0.00533478,0.01245529,0.02683640,6,16,34,1,4,8,0.00138259,0.00335144,0.00656812,0.50872085,0.69145585,0.88385461
22079,0,USLouisianaRapides,Louisiana,Rapides,2020-10-16 23:07:20.911730,2020-03-12 00:00:00.000000,0.00691404,0.01573337,0.03620588,8,20,46,2,6,12,0.00162911,0.00470892,0.00927379,0.50870181,0.69145749,0.88385446
22079,0,USLouisianaRapides,Louisiana,Rapides,2020-10-16 23:07:20.911730,2020-03-13 00:00:00.000000,0.00838484,0.01929123,0.04597795,10,25,59,2,8,17,0.00219395,0.00626394,0.01318795,0.50865621,0.69146155,0.88385414
22079,0,USLouisianaRapides,Louisiana,Rapides,2020-10-16 23:07:20.911730,2020-03-14 00:00:00.000000,0.00984925,0.02332611,0.05607504,12,30,72,3,10,22,0.00284421,0.00792747,0.01768476,0.50854705,0.69147159,0.88385342
22079,0,USLouisianaRapides,Louisiana,Rapides,2020-10-16 23:07:20.911730,2020-03-15 00:00:00.000000,0.01131764,0.02732951,0.06715963,14,35,87,4,12,29,0.00343127,0.00985159,0.02277395,0.50828622,0.68965500,0.88385180
22079,0,USLouisianaRapides,Louisiana,Rapides,2020-10-16 23:07:20.911730,2020-03-16 00:00:00.000000,0.01466693,0.03300532,0.07533168,19,42,97,5,15,36,0.00414122,0.01234077,0.02849374,0.50766560,0.68890237,0.88384821
22079,0,USLouisianaRapides,Louisiana,Rapides,2020-10-16 23:07:20.911730,2020-03-17 00:00:00.000000,0.01777303,0.03912465,0.08430295,23,50,109,6,19,44,0.00507807,0.01494123,0.03399343,0.50620361,0.67864969,0.88384036
22079,0,USLouisianaRapides,Louisiana,Rapides,2020-10-16 23:07:20.911730,2020-03-18 00:00:00.000000,0.02146110,0.04645815,0.09502147,27,60,123,7,22,51,0.00614934,0.01735857,0.03967578,0.50283941,0.67404911,0.88382380
22079,0,USLouisianaRapides,Louisiana,Rapides,2020-10-16 23:07:20.911730,2020-03-19 00:00:00.000000,0.02684415,0.05402796,0.10622198,34,70,137,9,26,59,0.00742052,0.02064799,0.04578113,0.49549899,0.66436019,0.88379108
