FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-09 00:00:00.000000,0.00704260,0.04396327,0.15280106,0,3,12,0,2,7,0.00437095,0.02411114,0.09048339,0.38490079,0.52511975,0.74830115
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-10 00:00:00.000000,0.00768214,0.04791047,0.16161408,0,4,13,0,2,7,0.00428719,0.02414993,0.09226038,0.38456989,0.52511974,0.74830104
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-11 00:00:00.000000,0.00832522,0.05004323,0.16946813,0,4,14,0,2,7,0.00428976,0.02515790,0.09367384,0.38402867,0.52511972,0.74830068
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-12 00:00:00.000000,0.00898719,0.05388510,0.17803744,0,4,15,0,2,8,0.00445322,0.02633086,0.09637422,0.38314774,0.52511966,0.74829937
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-13 00:00:00.000000,0.00967849,0.05863252,0.18730040,0,4,15,0,2,8,0.00471383,0.02813828,0.10016934,0.38243395,0.52511953,0.74829410
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-14 00:00:00.000000,0.01040681,0.06385880,0.19724696,0,5,16,0,2,8,0.00503703,0.03014485,0.10473278,0.38237539,0.52511920,0.74827171
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-15 00:00:00.000000,0.01117832,0.06948925,0.20782491,0,5,17,0,2,9,0.00540462,0.03231237,0.10989065,0.38228281,0.52510332,0.74817271
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-16 00:00:00.000000,0.03231185,0.08936205,0.23454322,2,7,19,0,2,9,0.00580761,0.03464611,0.11553815,0.38213785,0.52503194,0.74772584
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-17 00:00:00.000000,0.04869780,0.11172787,0.27576209,4,9,23,1,3,10,0.01206236,0.03939558,0.12458987,0.38191912,0.52464463,0.74569699
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-18 00:00:00.000000,0.06329000,0.13716529,0.32075962,5,11,27,1,4,11,0.01851476,0.04835484,0.13513353,0.36246978,0.50569409,0.73670667
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-19 00:00:00.000000,0.07794987,0.16614504,0.39862749,6,14,33,2,5,12,0.02562359,0.05980458,0.14598715,0.34723583,0.49203725,0.70965810
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-20 00:00:00.000000,0.09321188,0.18377691,0.46682011,7,15,39,2,6,14,0.03183898,0.07272008,0.16593918,0.33666563,0.48091765,0.69391358
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-21 00:00:00.000000,0.10853482,0.20310891,0.52681262,9,17,44,3,7,15,0.03789481,0.08466997,0.18870834,0.33099280,0.45923396,0.66897389
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-22 00:00:00.000000,0.12352788,0.22554218,0.58720629,10,19,49,3,8,18,0.04539541,0.09699849,0.21812875,0.32945002,0.44029810,0.63518597
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-23 00:00:00.000000,0.14191005,0.26229082,0.61705437,11,22,52,4,9,20,0.05330967,0.11165327,0.24736816,0.30398272,0.40894037,0.59871766
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-24 00:00:00.000000,0.15659642,0.29872826,0.65810265,13,25,55,5,10,23,0.06102128,0.12657966,0.27795660,0.29276399,0.38493828,0.58901171
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-25 00:00:00.000000,0.16914409,0.33008469,0.68707230,14,27,58,5,11,26,0.06872234,0.14080973,0.30953498,0.27779868,0.36335904,0.57286250
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-26 00:00:00.000000,0.17908203,0.37193883,0.71691165,15,31,60,6,13,28,0.07650224,0.15994779,0.34064652,0.23877336,0.35766791,0.53687268
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-27 00:00:00.000000,0.19720369,0.41655249,0.75397343,16,35,63,7,15,29,0.08701383,0.18093920,0.35440572,0.22799235,0.34557112,0.49401147
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-28 00:00:00.000000,0.20915562,0.45080797,0.82186125,17,38,69,7,16,31,0.09422046,0.19948105,0.37319770,0.22449643,0.33127216,0.47581149
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-29 00:00:00.000000,0.22041391,0.49038879,0.84211958,18,41,71,8,18,34,0.09866413,0.22050192,0.40504225,0.22326104,0.32488260,0.43690571
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-30 00:00:00.000000,0.26505786,0.52182428,0.89019873,22,44,75,8,20,36,0.10516006,0.23807180,0.43284967,0.21414909,0.30946224,0.43121922
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-03-31 00:00:00.000000,0.28268958,0.54694896,0.95610118,23,46,80,10,21,37,0.11886799,0.25727702,0.44826491,0.20860788,0.29775476,0.42194070
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-01 00:00:00.000000,0.30050459,0.57210479,0.99008912,25,48,83,11,23,39,0.13720761,0.27479123,0.46237009,0.20213939,0.28743512,0.41977342
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-02 00:00:00.000000,0.31846584,0.60858650,1.03041895,26,51,86,13,24,40,0.15468013,0.29089695,0.47674493,0.19584595,0.28071777,0.39710065
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-03 00:00:00.000000,0.32561521,0.62714115,1.10994826,27,52,93,13,26,42,0.15432017,0.31066256,0.50801956,0.17045947,0.27123026,0.37444681
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-04 00:00:00.000000,0.31580231,0.64369805,1.15437154,26,54,97,12,28,45,0.15114545,0.33419988,0.53700398,0.15647273,0.25671259,0.35880034
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-05 00:00:00.000000,0.30491565,0.66271315,1.19070816,25,55,100,12,29,48,0.14729053,0.35152929,0.57124619,0.14561553,0.24188975,0.34399256
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-06 00:00:00.000000,0.33494297,0.69972646,1.21605066,28,59,102,12,30,50,0.14286104,0.36484859,0.60169907,0.14528586,0.23479075,0.33457884
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-07 00:00:00.000000,0.32848694,0.73780777,1.24022060,27,62,104,12,32,52,0.15075792,0.38265124,0.61625304,0.14186271,0.22856490,0.33403730
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-08 00:00:00.000000,0.32170787,0.76651006,1.26162057,27,64,106,13,33,54,0.16511021,0.39871302,0.64197422,0.14150046,0.22332181,0.33269499
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-09 00:00:00.000000,0.31483984,0.78655137,1.28035520,26,66,108,15,35,56,0.18254655,0.41908571,0.67171959,0.14149552,0.21935434,0.31903300
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-10 00:00:00.000000,0.30801133,0.82114924,1.29662154,26,69,109,15,36,59,0.17954531,0.43568520,0.70227724,0.13806437,0.20879613,0.31262557
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-11 00:00:00.000000,0.30127007,0.85598479,1.31059952,25,72,110,14,37,60,0.17585810,0.44887941,0.71581307,0.13490040,0.20148174,0.31588106
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-12 00:00:00.000000,0.30601375,0.88356369,1.32262595,25,74,111,14,38,61,0.17212766,0.45952781,0.72367078,0.13325938,0.19016484,0.31920246
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-13 00:00:00.000000,0.32166059,0.88081975,1.29839188,27,74,109,14,40,61,0.16839687,0.47752020,0.72893748,0.13252510,0.18420665,0.32220224
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-14 00:00:00.000000,0.34888607,0.86868835,1.30847985,29,73,110,14,41,61,0.17333994,0.48699040,0.72391885,0.11695777,0.17789968,0.32103976
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-15 00:00:00.000000,0.37722658,0.85583574,1.32411661,31,72,111,15,41,60,0.18336565,0.49190447,0.71261167,0.11174860,0.17563276,0.31891505
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-16 00:00:00.000000,0.40584154,0.84341453,1.32300177,34,71,111,16,41,60,0.19627024,0.49458527,0.71862524,0.11001236,0.17237049,0.31493525
22081,0,USLouisianaRedRiver,Louisiana,Red River,2020-11-26 15:45:34.139383,2020-04-17 00:00:00.000000,0.43428992,0.84076100,1.31966165,36,70,111,17,41,61,0.21070697,0.49503389,0.72528181,0.11485348,0.16755656,0.30427623
