FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22087,0,USLouisianaSt.Bernard,Louisiana,St. Bernard,2020-12-05 10:45:54.534759,2020-03-09 00:00:00.000000,0.02758998,0.05626845,0.11348804,13,26,53,4,10,23,0.00890928,0.02207724,0.05051901,0.72537251,0.88252187,1.04520471
22087,0,USLouisianaSt.Bernard,Louisiana,St. Bernard,2020-12-05 10:45:54.534759,2020-03-10 00:00:00.000000,0.03902880,0.07430158,0.13636960,18,35,64,7,14,30,0.01543521,0.02991731,0.06371907,0.72537554,0.88228190,1.04513110
22087,0,USLouisianaSt.Bernard,Louisiana,St. Bernard,2020-12-05 10:45:54.534759,2020-03-11 00:00:00.000000,0.05392698,0.09622112,0.16298372,25,45,77,10,19,36,0.02213149,0.04078407,0.07776244,0.72538138,0.88193897,1.04499537
22087,0,USLouisianaSt.Bernard,Louisiana,St. Bernard,2020-12-05 10:45:54.534759,2020-03-12 00:00:00.000000,0.06681159,0.11891943,0.19380266,31,56,91,14,24,44,0.03140974,0.05242037,0.09360308,0.72539270,0.88145204,1.04474519
22087,0,USLouisianaSt.Bernard,Louisiana,St. Bernard,2020-12-05 10:45:54.534759,2020-03-13 00:00:00.000000,0.08226807,0.14737422,0.22950191,38,69,108,18,31,52,0.03932513,0.06582620,0.11180800,0.72541466,0.88076692,1.04428459
22087,0,USLouisianaSt.Bernard,Louisiana,St. Bernard,2020-12-05 10:45:54.534759,2020-03-14 00:00:00.000000,0.10096384,0.18066525,0.27085974,47,85,127,22,39,62,0.04805050,0.08291389,0.13284823,0.72545733,0.87981525,1.04343827
22087,0,USLouisianaSt.Bernard,Louisiana,St. Bernard,2020-12-05 10:45:54.534759,2020-03-15 00:00:00.000000,0.12359525,0.21882625,0.32683075,58,103,154,28,47,74,0.05959080,0.09989650,0.15720459,0.72553996,0.87851664,1.04188887
22087,0,USLouisianaSt.Bernard,Louisiana,St. Bernard,2020-12-05 10:45:54.534759,2020-03-16 00:00:00.000000,0.15294959,0.26609167,0.38280106,72,125,180,34,57,87,0.07396626,0.12182730,0.18541060,0.72843910,0.87812974,1.03907112
22087,0,USLouisianaSt.Bernard,Louisiana,St. Bernard,2020-12-05 10:45:54.534759,2020-03-17 00:00:00.000000,0.18413641,0.31361744,0.45149893,86,148,213,42,70,102,0.09090833,0.14942915,0.21721128,0.72610959,0.87449471,1.03571062
22087,0,USLouisianaSt.Bernard,Louisiana,St. Bernard,2020-12-05 10:45:54.534759,2020-03-18 00:00:00.000000,0.22199634,0.37603056,0.53206815,104,177,251,53,84,120,0.11259996,0.17828124,0.25611130,0.72597581,0.86943613,1.03570111
22087,0,USLouisianaSt.Bernard,Louisiana,St. Bernard,2020-12-05 10:45:54.534759,2020-03-19 00:00:00.000000,0.26620674,0.44521993,0.62592604,125,210,295,64,101,142,0.13743482,0.21471554,0.30254587,0.71051187,0.87249870,1.03563337
22087,0,USLouisianaSt.Bernard,Louisiana,St. Bernard,2020-12-05 10:45:54.534759,2020-03-20 00:00:00.000000,0.31884491,0.52815664,0.73531299,150,249,347,78,122,168,0.16627211,0.25912515,0.35648360,0.69717456,0.86380482,0.98548724
