FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-09 00:00:00.000000,0.00338810,0.00764581,0.01409625,4,10,18,0,2,7,0.00022213,0.00189731,0.00541545,0.70003206,0.85662495,1.08568028
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-10 00:00:00.000000,0.00559546,0.01138749,0.01988030,7,15,26,1,4,10,0.00119769,0.00300604,0.00767766,0.70002896,0.85625823,1.08567998
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-11 00:00:00.000000,0.00738909,0.01543956,0.02749236,9,20,37,2,6,13,0.00214724,0.00499615,0.01005672,0.70001988,0.85572157,1.08567957
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-12 00:00:00.000000,0.00946013,0.02063909,0.03697143,12,27,49,4,9,18,0.00324759,0.00686199,0.01391020,0.69999340,0.85530359,1.08567901
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-13 00:00:00.000000,0.01260989,0.02640262,0.04810685,16,35,64,5,13,23,0.00422294,0.00984869,0.01764142,0.69991622,0.85475204,1.08567822
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-14 00:00:00.000000,0.01550867,0.03322854,0.06152390,20,44,82,7,17,31,0.00537911,0.01302912,0.02333239,0.69969173,0.85394997,1.08567713
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-15 00:00:00.000000,0.01825153,0.04084379,0.07576823,24,55,102,9,21,41,0.00672813,0.01624276,0.03084221,0.69904312,0.85248587,1.08567557
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-16 00:00:00.000000,0.02431606,0.05038539,0.08971298,32,67,120,11,27,53,0.00830326,0.02071716,0.03949137,0.69720409,0.85163334,1.08567312
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-17 00:00:00.000000,0.03004910,0.05996619,0.10521761,40,80,141,14,34,63,0.01075183,0.02551256,0.04744418,0.69225577,0.85016910,1.08566794
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-18 00:00:00.000000,0.03754824,0.07090663,0.12405358,50,95,167,18,40,75,0.01389725,0.03039669,0.05580618,0.68062308,0.84932347,1.08564996
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-19 00:00:00.000000,0.04473492,0.08454454,0.14743485,60,113,198,23,49,87,0.01768211,0.03663603,0.06512244,0.69505543,0.84727716,1.08556004
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-20 00:00:00.000000,0.05303073,0.10004827,0.17401190,71,134,234,29,59,104,0.02210990,0.04423450,0.07718064,0.69196726,0.84513404,1.08506075
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-21 00:00:00.000000,0.06265404,0.11757532,0.20362676,84,158,274,36,70,124,0.02693297,0.05256430,0.09218039,0.67752439,0.83789398,1.08265939
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-22 00:00:00.000000,0.07384787,0.13709232,0.23885786,99,184,321,43,83,148,0.03194992,0.06192582,0.11022951,0.66710716,0.83327758,1.07655218
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-23 00:00:00.000000,0.08658571,0.16079559,0.27984833,116,216,377,50,97,176,0.03777041,0.07253023,0.13133505,0.64358026,0.82495131,1.01605446
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-24 00:00:00.000000,0.10195355,0.18798071,0.33157142,137,253,446,59,114,208,0.04445514,0.08468785,0.15500853,0.63290062,0.81880970,0.98715966
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-25 00:00:00.000000,0.12210093,0.21829075,0.39211431,164,294,528,70,133,245,0.05218446,0.09940893,0.18211232,0.60880652,0.80487244,1.02727556
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-26 00:00:00.000000,0.14347279,0.25591164,0.46300472,193,344,623,83,156,287,0.06205197,0.11646772,0.21354405,0.58446163,0.78016448,1.04209540
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-27 00:00:00.000000,0.16618401,0.29624185,0.53333696,223,399,718,97,183,340,0.07246781,0.13594696,0.25240578,0.57260913,0.77224500,1.01904985
22105,0,USLouisianaTangipahoa,Louisiana,Tangipahoa,2020-10-16 23:05:31.971808,2020-03-28 00:00:00.000000,0.19195141,0.34199601,0.61336115,258,460,826,113,210,401,0.08449653,0.15655580,0.29792785,0.51284647,0.74817589,0.95082099
