FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22125,0,USLouisianaWestFeliciana,Louisiana,West Feliciana,2020-11-26 15:58:39.886595,2020-03-09 00:00:00.000000,0.01370589,0.05879398,0.13642484,2,9,21,1,4,10,0.00683834,0.02894643,0.06457962,0.54525607,0.68544373,0.91222830
22125,0,USLouisianaWestFeliciana,Louisiana,West Feliciana,2020-11-26 15:58:39.886595,2020-03-10 00:00:00.000000,0.01631573,0.06604787,0.15508138,2,10,24,1,4,10,0.00733019,0.03042797,0.06711362,0.54513637,0.68543314,0.91221015
22125,0,USLouisianaWestFeliciana,Louisiana,West Feliciana,2020-11-26 15:58:39.886595,2020-03-11 00:00:00.000000,0.01892249,0.07587043,0.17496838,2,11,27,1,5,11,0.00854671,0.03354057,0.07310308,0.54495907,0.68541697,0.91217731
22125,0,USLouisianaWestFeliciana,Louisiana,West Feliciana,2020-11-26 15:58:39.886595,2020-03-12 00:00:00.000000,0.02161163,0.08673577,0.19662560,3,13,30,1,5,12,0.00998250,0.03747845,0.08096980,0.54469764,0.68539171,0.91211817
22125,0,USLouisianaWestFeliciana,Louisiana,West Feliciana,2020-11-26 15:58:39.886595,2020-03-13 00:00:00.000000,0.02444495,0.09872641,0.22048487,3,15,34,1,6,14,0.01156907,0.04231043,0.09028102,0.54431470,0.68535094,0.91201264
22125,0,USLouisianaWestFeliciana,Louisiana,West Feliciana,2020-11-26 15:58:39.886595,2020-03-14 00:00:00.000000,0.02747147,0.11016687,0.24361725,4,17,37,2,7,15,0.01330408,0.04749260,0.09846043,0.54375918,0.68225906,0.90569938
22125,0,USLouisianaWestFeliciana,Louisiana,West Feliciana,2020-11-26 15:58:39.886595,2020-03-15 00:00:00.000000,0.03095313,0.12357703,0.26886810,4,19,41,2,8,16,0.01520604,0.05348882,0.10785818,0.54296431,0.68414438,0.89835326
22125,0,USLouisianaWestFeliciana,Louisiana,West Feliciana,2020-11-26 15:58:39.886595,2020-03-16 00:00:00.000000,0.04006009,0.15432831,0.30813976,6,24,47,2,9,18,0.01729764,0.05916301,0.12182474,0.51991503,0.68491686,0.89788656
22125,0,USLouisianaWestFeliciana,Louisiana,West Feliciana,2020-11-26 15:58:39.886595,2020-03-17 00:00:00.000000,0.04948861,0.18303145,0.35001129,7,28,54,3,10,22,0.02145338,0.07014341,0.14171500,0.51819198,0.68441501,0.89631486
22125,0,USLouisianaWestFeliciana,Louisiana,West Feliciana,2020-11-26 15:58:39.886595,2020-03-18 00:00:00.000000,0.05983655,0.21606904,0.39533626,9,33,61,4,12,25,0.02665267,0.08244698,0.16425150,0.51668862,0.68054184,0.88750525
22125,0,USLouisianaWestFeliciana,Louisiana,West Feliciana,2020-11-26 15:58:39.886595,2020-03-19 00:00:00.000000,0.07088331,0.25366946,0.45308897,11,39,70,5,15,29,0.03252733,0.09894844,0.19132216,0.51155217,0.66846259,0.87689795
22125,0,USLouisianaWestFeliciana,Louisiana,West Feliciana,2020-11-26 15:58:39.886595,2020-03-20 00:00:00.000000,0.08265309,0.30032486,0.52759542,12,46,82,6,18,34,0.03889539,0.11864429,0.22194927,0.49944826,0.65400852,0.85189719
