FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-09 00:00:00.000000,0.00070891,0.00494392,0.01486673,0,3,9,0,1,6,0.00038749,0.00269837,0.00981295,0.35881825,0.51467518,0.66695490
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-10 00:00:00.000000,0.00078839,0.00553602,0.01550223,0,3,10,0,1,6,0.00037812,0.00263453,0.00917023,0.35880313,0.51461699,0.66695488
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-11 00:00:00.000000,0.00086563,0.00617780,0.01645213,0,4,11,0,1,5,0.00038580,0.00272760,0.00881238,0.35877745,0.51450609,0.66695482
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-12 00:00:00.000000,0.00094316,0.00685270,0.01731102,0,4,11,0,1,5,0.00040497,0.00293618,0.00874963,0.35873364,0.51428820,0.66695469
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-13 00:00:00.000000,0.00102276,0.00755179,0.01848176,0,5,12,0,2,6,0.00043216,0.00317326,0.00908849,0.35865858,0.51384891,0.66695440
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-14 00:00:00.000000,0.00110666,0.00829648,0.01972609,0,5,13,0,2,6,0.00046518,0.00338764,0.00954228,0.35852952,0.51270035,0.66695373
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-15 00:00:00.000000,0.00119551,0.00907018,0.02105237,0,6,14,0,2,6,0.00050318,0.00361054,0.01005851,0.35830710,0.51187744,0.66695217
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-16 00:00:00.000000,0.00280564,0.01098536,0.02387463,1,7,16,0,2,6,0.00054510,0.00389061,0.01038992,0.35792394,0.51007291,0.66384120
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-17 00:00:00.000000,0.00378146,0.01383587,0.02992500,2,9,20,0,2,7,0.00089850,0.00434708,0.01145832,0.35041468,0.50925050,0.66189988
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-18 00:00:00.000000,0.00459119,0.01640055,0.03473367,3,10,23,0,3,8,0.00132710,0.00527014,0.01277163,0.33014388,0.50267688,0.65793719
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-19 00:00:00.000000,0.00541214,0.01945471,0.03964929,3,13,26,1,4,9,0.00161939,0.00654471,0.01450457,0.31378426,0.49468609,0.65018210
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-20 00:00:00.000000,0.00623548,0.02231911,0.04411060,4,14,29,1,5,10,0.00193776,0.00804393,0.01633706,0.28914554,0.47647869,0.64222338
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-21 00:00:00.000000,0.00705657,0.02506838,0.05011782,4,16,33,1,6,12,0.00227022,0.00960319,0.01887442,0.27736886,0.44287534,0.63499884
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-22 00:00:00.000000,0.00787383,0.02793993,0.05601962,5,18,37,1,7,14,0.00260962,0.01107852,0.02205464,0.26353963,0.41443585,0.60982095
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-23 00:00:00.000000,0.00893851,0.03061491,0.06075001,5,20,40,1,8,16,0.00295198,0.01273989,0.02518901,0.24538428,0.38628588,0.57714276
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-24 00:00:00.000000,0.01098197,0.03348735,0.06768989,7,22,45,2,9,18,0.00328753,0.01418247,0.02798273,0.23108701,0.37040427,0.54429901
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-25 00:00:00.000000,0.01312643,0.03677224,0.07383684,8,24,49,2,10,20,0.00377473,0.01530674,0.02989460,0.21502505,0.35518217,0.51658150
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-26 00:00:00.000000,0.01538560,0.03988909,0.07958146,10,26,53,3,11,21,0.00459132,0.01656540,0.03268374,0.20696421,0.34938374,0.49649370
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-27 00:00:00.000000,0.01777096,0.04335412,0.08376511,11,29,56,3,12,23,0.00550030,0.01840213,0.03519327,0.20328617,0.33207592,0.47584236
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-28 00:00:00.000000,0.02029534,0.04692771,0.08798696,13,31,58,4,13,25,0.00649303,0.01997649,0.03741842,0.20147588,0.31134995,0.47461873
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-29 00:00:00.000000,0.02217346,0.04933122,0.09229588,14,33,61,5,14,26,0.00753876,0.02189790,0.03961740,0.19908315,0.29610677,0.47111166
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-30 00:00:00.000000,0.02357699,0.05154486,0.09730331,15,34,65,5,15,28,0.00836485,0.02294574,0.04178596,0.17270779,0.28633743,0.46113559
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-03-31 00:00:00.000000,0.02489181,0.05400407,0.10026898,16,36,67,6,16,29,0.00925970,0.02458841,0.04457230,0.17059955,0.27902212,0.43674749
23003,0,USMaineAroostook,Maine,Aroostook,2020-12-05 10:28:21.979481,2020-04-01 00:00:00.000000,0.02616362,0.05819976,0.10219006,17,39,68,6,17,32,0.01020785,0.02642683,0.04786759,0.16986829,0.27035489,0.40485392
