FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
24035,0,USMarylandQueenAnne's,Maryland,Queen Anne's,2020-12-05 09:59:57.123768,2020-03-09 00:00:00.000000,0.00531833,0.01531289,0.03195957,2,7,16,0,3,8,0.00118578,0.00625815,0.01643931,0.47733368,0.61361345,0.82745783
24035,0,USMarylandQueenAnne's,Maryland,Queen Anne's,2020-12-05 09:59:57.123768,2020-03-10 00:00:00.000000,0.00847142,0.02032302,0.03997735,4,10,20,0,3,8,0.00164726,0.00694309,0.01683946,0.47733362,0.61361267,0.82732904
24035,0,USMarylandQueenAnne's,Maryland,Queen Anne's,2020-12-05 09:59:57.123768,2020-03-11 00:00:00.000000,0.01051230,0.02521661,0.04965396,5,12,25,1,4,9,0.00262954,0.00797372,0.01827009,0.47733346,0.61361106,0.82701913
24035,0,USMarylandQueenAnne's,Maryland,Queen Anne's,2020-12-05 09:59:57.123768,2020-03-12 00:00:00.000000,0.01347496,0.03043780,0.05998840,6,15,30,1,4,9,0.00395068,0.00944128,0.01979880,0.47733302,0.61360758,0.82627445
24035,0,USMarylandQueenAnne's,Maryland,Queen Anne's,2020-12-05 09:59:57.123768,2020-03-13 00:00:00.000000,0.01618534,0.03543841,0.06758012,8,17,34,2,6,11,0.00511847,0.01219252,0.02361244,0.47733185,0.61359990,0.82449121
24035,0,USMarylandQueenAnne's,Maryland,Queen Anne's,2020-12-05 09:59:57.123768,2020-03-14 00:00:00.000000,0.01910134,0.04180616,0.07673154,9,21,38,3,7,14,0.00674035,0.01448329,0.02802210,0.47732884,0.61358264,0.82025669
24035,0,USMarylandQueenAnne's,Maryland,Queen Anne's,2020-12-05 09:59:57.123768,2020-03-15 00:00:00.000000,0.02225622,0.04833961,0.08855038,11,24,44,3,8,16,0.00791048,0.01745041,0.03295235,0.47732154,0.61304430,0.81039967
24035,0,USMarylandQueenAnne's,Maryland,Queen Anne's,2020-12-05 09:59:57.123768,2020-03-16 00:00:00.000000,0.02551827,0.05639512,0.10149337,12,28,51,4,10,19,0.00920211,0.02064387,0.03837600,0.47737498,0.60968658,0.80458320
24035,0,USMarylandQueenAnne's,Maryland,Queen Anne's,2020-12-05 09:59:57.123768,2020-03-17 00:00:00.000000,0.03090378,0.06524552,0.11570187,15,32,58,5,12,21,0.01125886,0.02396037,0.04362367,0.47671374,0.60645190,0.80176492
24035,0,USMarylandQueenAnne's,Maryland,Queen Anne's,2020-12-05 09:59:57.123768,2020-03-18 00:00:00.000000,0.03539936,0.07467535,0.13127637,17,37,66,6,14,24,0.01387659,0.02801058,0.04894119,0.47617933,0.60311445,0.79528337
24035,0,USMarylandQueenAnne's,Maryland,Queen Anne's,2020-12-05 09:59:57.123768,2020-03-19 00:00:00.000000,0.04026675,0.08354843,0.14748636,20,42,74,8,16,27,0.01626701,0.03247064,0.05448076,0.45748256,0.58871049,0.78789653
24035,0,USMarylandQueenAnne's,Maryland,Queen Anne's,2020-12-05 09:59:57.123768,2020-03-20 00:00:00.000000,0.04539478,0.09513307,0.16605054,22,47,83,9,19,30,0.01896820,0.03771836,0.06032877,0.43622558,0.56873470,0.78893749
24035,0,USMarylandQueenAnne's,Maryland,Queen Anne's,2020-12-05 09:59:57.123768,2020-03-21 00:00:00.000000,0.05142785,0.10573602,0.18608645,25,53,93,10,22,33,0.02182138,0.04368047,0.06650920,0.40655787,0.56310651,0.78218608
