FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26005,0,USMichiganAllegan,Michigan,Allegan,2020-10-27 20:21:09.010384,2020-03-09 00:00:00.000000,0.00233812,0.00665129,0.01904053,2,7,22,0,3,9,0.00052741,0.00266632,0.00779660,0.45605344,0.65163700,0.82170672
26005,0,USMichiganAllegan,Michigan,Allegan,2020-10-27 20:21:09.010384,2020-03-10 00:00:00.000000,0.00355843,0.00871956,0.02256161,4,10,26,0,3,10,0.00074083,0.00300546,0.00905097,0.45605351,0.65163858,0.82170508
26005,0,USMichiganAllegan,Michigan,Allegan,2020-10-27 20:21:09.010384,2020-03-11 00:00:00.000000,0.00471205,0.01095276,0.02625324,5,12,31,1,4,12,0.00128699,0.00358718,0.01088343,0.45605377,0.65164248,0.82170290
26005,0,USMichiganAllegan,Michigan,Allegan,2020-10-27 20:21:09.010384,2020-03-12 00:00:00.000000,0.00591308,0.01329451,0.03015989,6,15,35,2,5,15,0.00180065,0.00468062,0.01279536,0.45605476,0.65165211,0.82169999
26005,0,USMichiganAllegan,Michigan,Allegan,2020-10-27 20:21:09.010384,2020-03-13 00:00:00.000000,0.00696001,0.01593416,0.03431604,8,18,40,2,6,17,0.00226602,0.00581243,0.01474204,0.45605855,0.65167587,0.82169618
26005,0,USMichiganAllegan,Michigan,Allegan,2020-10-27 20:21:09.010384,2020-03-14 00:00:00.000000,0.00817634,0.01852024,0.03875146,9,21,45,3,8,20,0.00281174,0.00710848,0.01699726,0.45607312,0.65173445,0.82169125
26005,0,USMichiganAllegan,Michigan,Allegan,2020-10-27 20:21:09.010384,2020-03-15 00:00:00.000000,0.00954977,0.02124406,0.04387520,11,25,51,4,9,23,0.00345238,0.00839118,0.01955555,0.45612889,0.65187859,0.82168505
26005,0,USMichiganAllegan,Michigan,Allegan,2020-10-27 20:21:09.010384,2020-03-16 00:00:00.000000,0.01301227,0.02457712,0.04833584,15,29,57,4,11,26,0.00414650,0.01011063,0.02242036,0.45634109,0.65223151,0.82167764
26005,0,USMichiganAllegan,Michigan,Allegan,2020-10-27 20:21:09.010384,2020-03-17 00:00:00.000000,0.01612287,0.02817727,0.05333595,19,33,62,6,14,29,0.00514343,0.01216334,0.02536940,0.45712936,0.65273407,0.81821327
26005,0,USMichiganAllegan,Michigan,Allegan,2020-10-27 20:21:09.010384,2020-03-18 00:00:00.000000,0.01867286,0.03394085,0.05939714,22,40,70,7,16,33,0.00638455,0.01399296,0.02829488,0.45981494,0.64924282,0.81821344
