FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26033,0,USMichiganChippewa,Michigan,Chippewa,2020-10-16 22:45:34.705293,2020-03-09 00:00:00.000000,0.00136088,0.00870899,0.02888121,0,3,10,0,1,5,0.00064085,0.00449588,0.01585123,0.35121303,0.52073714,0.76514072
26033,0,USMichiganChippewa,Michigan,Chippewa,2020-10-16 22:45:34.705293,2020-03-10 00:00:00.000000,0.00160318,0.00973394,0.03182699,0,3,11,0,1,5,0.00067137,0.00464564,0.01500722,0.35125966,0.52073378,0.76514041
26033,0,USMichiganChippewa,Michigan,Chippewa,2020-10-16 22:45:34.705293,2020-03-11 00:00:00.000000,0.00185486,0.01063980,0.03340696,0,3,12,0,1,5,0.00075005,0.00464711,0.01496368,0.35132944,0.52072668,0.76513978
26033,0,USMichiganChippewa,Michigan,Chippewa,2020-10-16 22:45:34.705293,2020-03-12 00:00:00.000000,0.00199732,0.01157080,0.03485355,0,4,13,0,1,5,0.00085734,0.00497953,0.01536018,0.35144187,0.52042022,0.76513837
26033,0,USMichiganChippewa,Michigan,Chippewa,2020-10-16 22:45:34.705293,2020-03-13 00:00:00.000000,0.00224046,0.01257300,0.03792775,0,4,14,0,1,5,0.00097992,0.00520969,0.01598953,0.35169257,0.51935198,0.76513485
26033,0,USMichiganChippewa,Michigan,Chippewa,2020-10-16 22:45:34.705293,2020-03-14 00:00:00.000000,0.00250306,0.01359288,0.04116842,0,5,15,0,2,6,0.00110289,0.00559623,0.01673458,0.35278357,0.51766787,0.76512502
26033,0,USMichiganChippewa,Michigan,Chippewa,2020-10-16 22:45:34.705293,2020-03-15 00:00:00.000000,0.00278762,0.01466730,0.04459969,1,5,16,0,2,6,0.00120159,0.00606925,0.01753083,0.35906518,0.51709472,0.76509438
26033,0,USMichiganChippewa,Michigan,Chippewa,2020-10-16 22:45:34.705293,2020-03-16 00:00:00.000000,0.00602687,0.01987441,0.05033046,2,7,18,0,2,6,0.00130965,0.00657358,0.01834392,0.36509983,0.51651489,0.76499092
26033,0,USMichiganChippewa,Michigan,Chippewa,2020-10-16 22:45:34.705293,2020-03-17 00:00:00.000000,0.00924294,0.02454590,0.05626572,3,9,21,0,2,7,0.00211710,0.00745123,0.01961226,0.36331775,0.51488826,0.76462250
26033,0,USMichiganChippewa,Michigan,Chippewa,2020-10-16 22:45:34.705293,2020-03-18 00:00:00.000000,0.01268520,0.02871079,0.06251820,4,10,23,1,3,8,0.00290974,0.00897223,0.02216548,0.34546752,0.50580578,0.76327196
