FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26049,0,USMichiganGenesee,Michigan,Genesee,2020-11-09 09:11:43.944588,2020-03-09 00:00:00.000000,0.00337848,0.00672179,0.01076221,13,27,43,3,10,18,0.00084321,0.00252698,0.00454130,0.77673096,0.91243302,1.09755252
26049,0,USMichiganGenesee,Michigan,Genesee,2020-11-09 09:11:43.944588,2020-03-10 00:00:00.000000,0.00528307,0.00925449,0.01386822,21,37,56,7,14,25,0.00178251,0.00353579,0.00616508,0.77673097,0.91246195,1.09755245
26049,0,USMichiganGenesee,Michigan,Genesee,2020-11-09 09:11:43.944588,2020-03-11 00:00:00.000000,0.00705592,0.01246533,0.01803022,28,50,73,11,20,32,0.00282957,0.00500824,0.00795510,0.77673098,0.91251211,1.09755229
26049,0,USMichiganGenesee,Michigan,Genesee,2020-11-09 09:11:43.944588,2020-03-12 00:00:00.000000,0.00905034,0.01612054,0.02303563,36,65,93,16,27,41,0.00407516,0.00671465,0.01031176,0.77673101,0.91259927,1.09755198
26049,0,USMichiganGenesee,Michigan,Genesee,2020-11-09 09:11:43.944588,2020-03-13 00:00:00.000000,0.01146621,0.02053332,0.02898447,46,83,117,21,36,52,0.00526368,0.00888670,0.01297702,0.77673109,0.91275107,1.09755132
26049,0,USMichiganGenesee,Michigan,Genesee,2020-11-09 09:11:43.944588,2020-03-14 00:00:00.000000,0.01439398,0.02597180,0.03635187,58,105,147,27,47,65,0.00671225,0.01162004,0.01621303,0.77673133,0.91301591,1.09754982
26049,0,USMichiganGenesee,Michigan,Genesee,2020-11-09 09:11:43.944588,2020-03-15 00:00:00.000000,0.01794258,0.03231999,0.04510686,72,131,183,34,59,81,0.00857513,0.01474153,0.02015193,0.77673202,0.91344260,1.09754624
26049,0,USMichiganGenesee,Michigan,Genesee,2020-11-09 09:11:43.944588,2020-03-16 00:00:00.000000,0.02196724,0.03945140,0.05371803,89,160,217,44,75,103,0.01088234,0.01852940,0.02545189,0.77673405,0.91402889,1.09753700
26049,0,USMichiganGenesee,Michigan,Genesee,2020-11-09 09:11:43.944588,2020-03-17 00:00:00.000000,0.02690418,0.04770619,0.06443201,109,193,261,55,92,126,0.01376272,0.02273721,0.03126615,0.77674013,0.91164011,1.09751117
26049,0,USMichiganGenesee,Michigan,Genesee,2020-11-09 09:11:43.944588,2020-03-18 00:00:00.000000,0.03322680,0.05738260,0.07830000,134,232,317,70,112,156,0.01727330,0.02777682,0.03845617,0.77675878,0.91008011,1.09743360
26049,0,USMichiganGenesee,Michigan,Genesee,2020-11-09 09:11:43.944588,2020-03-19 00:00:00.000000,0.04116607,0.06974666,0.09511219,167,283,385,87,136,187,0.02154064,0.03362986,0.04621136,0.77681764,0.90652615,1.09718683
26049,0,USMichiganGenesee,Michigan,Genesee,2020-11-09 09:11:43.944588,2020-03-20 00:00:00.000000,0.05081465,0.08403048,0.11292898,206,341,458,108,163,225,0.02672792,0.04023815,0.05560328,0.77409857,0.90399638,1.09637416
26049,0,USMichiganGenesee,Michigan,Genesee,2020-11-09 09:11:43.944588,2020-03-21 00:00:00.000000,0.06253563,0.10038996,0.13520785,253,407,548,134,195,271,0.03303258,0.04808578,0.06685432,0.77365213,0.90298555,1.09364466
