FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26111,0,USMichiganMidland,Michigan,Midland,2020-11-15 22:47:03.669320,2020-03-09 00:00:00.000000,0.00267878,0.00672031,0.01427486,2,5,11,0,2,4,0.00010930,0.00255736,0.00579366,0.46042006,0.58686339,0.74275696
26111,0,USMichiganMidland,Michigan,Midland,2020-11-15 22:47:03.669320,2020-03-10 00:00:00.000000,0.00417999,0.00937689,0.01855377,3,7,15,0,2,5,0.00067936,0.00291980,0.00654672,0.46041911,0.58678832,0.74273727
26111,0,USMichiganMidland,Michigan,Midland,2020-11-15 22:47:03.669320,2020-03-11 00:00:00.000000,0.00568854,0.01276112,0.02308560,4,10,19,1,3,6,0.00131132,0.00361893,0.00789399,0.46041718,0.58664430,0.74269799
26111,0,USMichiganMidland,Michigan,Midland,2020-11-15 22:47:03.669320,2020-03-12 00:00:00.000000,0.00764370,0.01592846,0.02917536,6,13,24,1,3,8,0.00196943,0.00479257,0.00970879,0.46041315,0.58636658,0.74261974
26111,0,USMichiganMidland,Michigan,Midland,2020-11-15 22:47:03.669320,2020-03-13 00:00:00.000000,0.00971944,0.01920339,0.03613338,8,15,30,2,4,9,0.00289263,0.00593085,0.01187254,0.46040415,0.58582663,0.74246506
26111,0,USMichiganMidland,Michigan,Midland,2020-11-15 22:47:03.669320,2020-03-14 00:00:00.000000,0.01191782,0.02300091,0.04327899,9,19,35,2,5,11,0.00353545,0.00715888,0.01438854,0.46038217,0.58513733,0.74216543
26111,0,USMichiganMidland,Michigan,Midland,2020-11-15 22:47:03.669320,2020-03-15 00:00:00.000000,0.01391923,0.02692715,0.05163298,11,22,42,3,7,15,0.00426079,0.00891036,0.01826272,0.46032207,0.58221968,0.74160829
26111,0,USMichiganMidland,Michigan,Midland,2020-11-15 22:47:03.669320,2020-03-16 00:00:00.000000,0.01669528,0.03097231,0.05801838,13,25,48,4,9,18,0.00508420,0.01085247,0.02279094,0.45949524,0.57713410,0.73837705
26111,0,USMichiganMidland,Michigan,Midland,2020-11-15 22:47:03.669320,2020-03-17 00:00:00.000000,0.01955540,0.03707469,0.06447038,16,30,53,5,10,22,0.00629683,0.01292529,0.02700221,0.45195624,0.57512575,0.73821974
26111,0,USMichiganMidland,Michigan,Midland,2020-11-15 22:47:03.669320,2020-03-18 00:00:00.000000,0.02272024,0.04158487,0.07166981,18,34,59,6,12,25,0.00767082,0.01545809,0.03117163,0.42315906,0.56718703,0.73776343
