FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26143,0,USMichiganRoscommon,Michigan,Roscommon,2020-11-15 22:46:04.746313,2020-03-09 00:00:00.000000,0.00431388,0.02098192,0.05919078,1,5,14,0,2,7,0.00239622,0.01051448,0.03053017,0.38052070,0.52726821,0.67966761
26143,0,USMichiganRoscommon,Michigan,Roscommon,2020-11-15 22:46:04.746313,2020-03-10 00:00:00.000000,0.00479284,0.02306167,0.06249985,1,5,15,0,2,7,0.00231021,0.01024532,0.03263813,0.38025430,0.52719015,0.67966760
26143,0,USMichiganRoscommon,Michigan,Roscommon,2020-11-15 22:46:04.746313,2020-03-11 00:00:00.000000,0.00525160,0.02524814,0.06600962,1,6,15,0,2,8,0.00235018,0.01066816,0.03466443,0.37972430,0.52687152,0.67966737
26143,0,USMichiganRoscommon,Michigan,Roscommon,2020-11-15 22:46:04.746313,2020-03-12 00:00:00.000000,0.00570283,0.02755296,0.06973150,1,6,16,0,2,8,0.00241576,0.01160456,0.03670721,0.37868300,0.52621941,0.67966358
26143,0,USMichiganRoscommon,Michigan,Roscommon,2020-11-15 22:46:04.746313,2020-03-13 00:00:00.000000,0.00615773,0.02977354,0.07716059,1,7,18,0,3,9,0.00254421,0.01262191,0.03881992,0.37732962,0.52520932,0.67960007
26143,0,USMichiganRoscommon,Michigan,Roscommon,2020-11-15 22:46:04.746313,2020-03-14 00:00:00.000000,0.00662454,0.03231693,0.08546784,1,7,20,0,3,9,0.00271344,0.01374870,0.04103227,0.37723257,0.52511880,0.67854049
26143,0,USMichiganRoscommon,Michigan,Roscommon,2020-11-15 22:46:04.746313,2020-03-15 00:00:00.000000,0.00710938,0.03496376,0.09450613,1,8,22,0,3,10,0.00291053,0.01475828,0.04336109,0.37719921,0.52405047,0.67686113
26143,0,USMichiganRoscommon,Michigan,Roscommon,2020-11-15 22:46:04.746313,2020-03-16 00:00:00.000000,0.01329896,0.04341710,0.10484161,3,10,25,0,3,11,0.00312823,0.01578343,0.04605371,0.37712610,0.52020997,0.67541884
26143,0,USMichiganRoscommon,Michigan,Roscommon,2020-11-15 22:46:04.746313,2020-03-17 00:00:00.000000,0.01884512,0.05465644,0.12308863,4,13,29,1,4,12,0.00442624,0.01851528,0.05245893,0.37680167,0.51629259,0.67459886
26143,0,USMichiganRoscommon,Michigan,Roscommon,2020-11-15 22:46:04.746313,2020-03-18 00:00:00.000000,0.02465159,0.06334366,0.13520523,5,15,32,1,5,13,0.00604597,0.02187173,0.05679864,0.37068248,0.50764776,0.67382256
