FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26161,0,USMichiganWashtenaw,Michigan,Washtenaw,2020-11-26 15:56:02.912169,2020-03-09 00:00:00.000000,0.01899825,0.03001007,0.04851802,69,110,178,30,46,73,0.00839010,0.01278324,0.01997995,0.72011758,0.87519555,1.05416341
26161,0,USMichiganWashtenaw,Michigan,Washtenaw,2020-11-26 15:56:02.912169,2020-03-10 00:00:00.000000,0.02337295,0.03624831,0.05673276,85,133,208,35,56,93,0.00969052,0.01547921,0.02552805,0.72011138,0.87519555,1.05416341
26161,0,USMichiganWashtenaw,Michigan,Washtenaw,2020-11-26 15:56:02.912169,2020-03-11 00:00:00.000000,0.02829041,0.04302123,0.06581362,103,158,241,42,69,111,0.01156545,0.01880283,0.03022936,0.72010010,0.87519555,1.05416341
26161,0,USMichiganWashtenaw,Michigan,Washtenaw,2020-11-26 15:56:02.912169,2020-03-12 00:00:00.000000,0.03401722,0.05136118,0.07982522,125,188,293,51,82,129,0.01407171,0.02256115,0.03530746,0.72007953,0.87519553,1.05416340
26161,0,USMichiganWashtenaw,Michigan,Washtenaw,2020-11-26 15:56:02.912169,2020-03-13 00:00:00.000000,0.04067966,0.06082401,0.09426778,149,223,346,65,101,151,0.01769608,0.02752359,0.04108760,0.72004201,0.87519544,1.05416334
26161,0,USMichiganWashtenaw,Michigan,Washtenaw,2020-11-26 15:56:02.912169,2020-03-14 00:00:00.000000,0.04904463,0.07163720,0.11029283,180,263,405,80,120,175,0.02193729,0.03268903,0.04774419,0.71997349,0.87519495,1.05416292
26161,0,USMichiganWashtenaw,Michigan,Washtenaw,2020-11-26 15:56:02.912169,2020-03-15 00:00:00.000000,0.06036157,0.08554849,0.12871527,221,314,473,95,142,203,0.02587016,0.03870251,0.05541589,0.71984829,0.87519232,1.05415974
26161,0,USMichiganWashtenaw,Michigan,Washtenaw,2020-11-26 15:56:02.912169,2020-03-16 00:00:00.000000,0.07433102,0.10251127,0.14852109,273,376,545,111,170,236,0.03042223,0.04625159,0.06428680,0.71961954,0.87517773,1.05413573
26161,0,USMichiganWashtenaw,Michigan,Washtenaw,2020-11-26 15:56:02.912169,2020-03-17 00:00:00.000000,0.08948144,0.12120859,0.17152166,328,445,630,131,200,273,0.03578065,0.05443494,0.07452552,0.71920198,0.87509636,1.05395472
26161,0,USMichiganWashtenaw,Michigan,Washtenaw,2020-11-26 15:56:02.912169,2020-03-18 00:00:00.000000,0.10526131,0.14238684,0.19804198,386,523,728,155,235,321,0.04235722,0.06401496,0.08739272,0.71844164,0.86800303,1.05260391
26161,0,USMichiganWashtenaw,Michigan,Washtenaw,2020-11-26 15:56:02.912169,2020-03-19 00:00:00.000000,0.12304716,0.16865672,0.22855763,452,619,840,184,276,383,0.05013942,0.07532095,0.10421602,0.71706470,0.86246435,1.05057892
26161,0,USMichiganWashtenaw,Michigan,Washtenaw,2020-11-26 15:56:02.912169,2020-03-20 00:00:00.000000,0.14368536,0.19712491,0.26952832,528,724,990,218,323,456,0.05930875,0.08808470,0.12418481,0.70841572,0.83955089,1.04784661
26161,0,USMichiganWashtenaw,Michigan,Washtenaw,2020-11-26 15:56:02.912169,2020-03-21 00:00:00.000000,0.16763509,0.23046016,0.31828833,616,847,1170,257,379,543,0.07012335,0.10322358,0.14786908,0.67892856,0.81760694,1.03297938
