FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-09 00:00:00.000000,0.00892126,0.03353001,0.07286935,1,7,15,0,3,8,0.00192802,0.01507998,0.03866268,0.41520382,0.52306497,0.69929416
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-10 00:00:00.000000,0.01372974,0.04210843,0.09599740,2,8,20,0,3,7,0.00349820,0.01593781,0.03790107,0.41520378,0.52306818,0.69929024
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-11 00:00:00.000000,0.01780936,0.05067486,0.11557853,3,10,24,1,3,8,0.00486424,0.01810816,0.04057905,0.41520368,0.52307370,0.69927675
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-12 00:00:00.000000,0.02244558,0.05947634,0.14155140,4,12,29,1,4,9,0.00665808,0.02102831,0.04559899,0.41520343,0.52308315,0.69922643
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-13 00:00:00.000000,0.02740086,0.06891887,0.15970424,5,14,33,1,5,11,0.00876247,0.02460409,0.05388458,0.41520272,0.52309923,0.69907699
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-14 00:00:00.000000,0.03264356,0.07958506,0.18474491,6,16,38,2,6,13,0.01119713,0.02960833,0.06350937,0.41520049,0.52277894,0.69795859
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-15 00:00:00.000000,0.03820182,0.09179756,0.21636993,7,19,45,2,7,15,0.01384172,0.03455666,0.07556740,0.40399338,0.52182580,0.69481393
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-16 00:00:00.000000,0.04887500,0.10853844,0.23277658,10,22,48,3,8,19,0.01670782,0.03956842,0.09078482,0.38837883,0.51797041,0.68280040
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-17 00:00:00.000000,0.05769611,0.12357148,0.25174251,12,25,52,4,9,21,0.02070073,0.04532636,0.10400587,0.36852985,0.51189601,0.67334346
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-18 00:00:00.000000,0.06355323,0.13935845,0.27245441,13,29,57,5,10,24,0.02506565,0.05136905,0.11736788,0.32918931,0.51139829,0.66592469
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-19 00:00:00.000000,0.07195792,0.15578931,0.29487980,15,32,61,6,12,27,0.02903454,0.05932940,0.12900355,0.30374722,0.49237431,0.65221170
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-20 00:00:00.000000,0.08124769,0.17405339,0.31859587,17,36,66,6,13,28,0.03191783,0.06482450,0.13681123,0.28033439,0.46601742,0.62634423
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-21 00:00:00.000000,0.09160759,0.19132482,0.34308756,19,40,71,7,15,29,0.03735439,0.07514155,0.14291169,0.27239816,0.45011388,0.61721344
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-22 00:00:00.000000,0.10385511,0.20859233,0.37599227,21,43,78,8,17,30,0.04213877,0.08352601,0.14805967,0.27196328,0.42528735,0.60217915
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-23 00:00:00.000000,0.11566842,0.22765015,0.40458107,24,47,84,9,19,32,0.04567883,0.09185621,0.15755191,0.27069079,0.39890863,0.59505592
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-24 00:00:00.000000,0.13663171,0.24783030,0.42177067,28,51,88,10,21,37,0.05035518,0.10138726,0.17911672,0.26919745,0.37714165,0.56153638
27039,0,USMinnesotaDodge,Minnesota,Dodge,2020-10-27 19:33:20.875886,2020-03-25 00:00:00.000000,0.15306778,0.26404809,0.44351523,32,55,92,11,23,41,0.05709096,0.11314167,0.19631770,0.25826977,0.35737990,0.54882440
