FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-09 00:00:00.000000,0.00176010,0.00607554,0.01482955,1,4,9,0,1,5,0.00051291,0.00248573,0.00818652,0.40857104,0.55791328,0.87510448
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-10 00:00:00.000000,0.00277613,0.00802048,0.01734577,1,5,11,0,1,5,0.00076281,0.00280023,0.00813282,0.40856720,0.55790062,0.87510000
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-11 00:00:00.000000,0.00379304,0.00982952,0.02005151,2,6,13,0,2,5,0.00106327,0.00344911,0.00881993,0.40856011,0.55787330,0.87508910
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-12 00:00:00.000000,0.00488369,0.01149294,0.02309785,3,7,15,1,3,6,0.00156335,0.00459252,0.00974356,0.40854699,0.55781437,0.87506249
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-13 00:00:00.000000,0.00608293,0.01352160,0.02640432,4,9,17,1,3,7,0.00209721,0.00556608,0.01128154,0.40852274,0.55768738,0.87499754
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-14 00:00:00.000000,0.00741038,0.01546564,0.03075304,4,10,20,1,4,8,0.00270363,0.00632780,0.01297703,0.40847793,0.55741421,0.87483899
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-15 00:00:00.000000,0.00887996,0.01769793,0.03649853,5,11,24,2,4,9,0.00337871,0.00736533,0.01483472,0.40839529,0.55758088,0.87445218
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-16 00:00:00.000000,0.01140245,0.02106419,0.04316560,7,14,28,2,5,11,0.00412329,0.00872269,0.01744681,0.40824344,0.55669304,0.87351073
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-17 00:00:00.000000,0.01411728,0.02443021,0.05061362,9,16,33,3,6,13,0.00524869,0.01015024,0.02005225,0.40796643,0.55389242,0.86796984
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-18 00:00:00.000000,0.01710916,0.02890951,0.05882290,11,19,39,4,7,15,0.00662687,0.01183640,0.02276208,0.39556815,0.54090605,0.85344339
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-19 00:00:00.000000,0.02004244,0.03299568,0.06687399,13,22,44,5,9,18,0.00826623,0.01357614,0.02699377,0.37794659,0.52822846,0.82495642
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-20 00:00:00.000000,0.02237015,0.03735611,0.07183788,14,25,48,6,10,21,0.00942199,0.01563361,0.03210371,0.35330410,0.51551898,0.77677090
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-21 00:00:00.000000,0.02542882,0.04241649,0.08120030,17,28,54,7,11,23,0.01069942,0.01790102,0.03512449,0.32893192,0.49203983,0.71260897
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-22 00:00:00.000000,0.02853379,0.04767449,0.09102947,19,31,60,8,13,27,0.01264722,0.01993450,0.04066875,0.30881168,0.47617165,0.65053899
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-23 00:00:00.000000,0.03234357,0.05285831,0.09956130,21,35,66,9,15,31,0.01421841,0.02247158,0.04635681,0.29483720,0.46357589,0.66064587
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-24 00:00:00.000000,0.03594114,0.05739750,0.11049021,24,38,73,10,17,34,0.01587863,0.02568615,0.05152296,0.28699591,0.45805193,0.62510069
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-25 00:00:00.000000,0.03944779,0.06377281,0.12184679,26,42,81,11,19,37,0.01768243,0.02865966,0.05644549,0.28439627,0.45136345,0.60439286
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-26 00:00:00.000000,0.04384393,0.06997683,0.13379687,29,46,89,13,21,41,0.01960724,0.03178384,0.06126295,0.28422367,0.44473911,0.59359587
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-27 00:00:00.000000,0.04876936,0.07729165,0.14637871,32,51,98,14,23,44,0.02165878,0.03549872,0.06618424,0.28782552,0.43516373,0.58574570
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-28 00:00:00.000000,0.05402328,0.08396187,0.15921298,36,56,106,15,26,49,0.02382355,0.03915851,0.07325152,0.29267965,0.42881189,0.57373663
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-29 00:00:00.000000,0.05836824,0.09052949,0.17172896,39,60,115,17,28,54,0.02573855,0.04307138,0.08087773,0.29729844,0.42154697,0.55332881
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-30 00:00:00.000000,0.06289577,0.09833147,0.18378522,42,65,123,18,31,59,0.02778278,0.04676714,0.08913318,0.30081331,0.41749388,0.55192026
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-03-31 00:00:00.000000,0.06706564,0.10686849,0.19485678,44,71,130,20,33,65,0.03048352,0.05067736,0.09794086,0.30311809,0.40468194,0.55608449
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-04-01 00:00:00.000000,0.07143425,0.11626182,0.20633939,47,77,138,22,36,71,0.03322157,0.05511742,0.10603981,0.30225502,0.40438576,0.55440040
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-04-02 00:00:00.000000,0.07607692,0.12447509,0.22453396,50,83,150,23,39,75,0.03578733,0.05933725,0.11346748,0.30126150,0.40586266,0.54385725
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-04-03 00:00:00.000000,0.08115346,0.13543861,0.23785390,54,90,159,25,42,81,0.03849450,0.06312945,0.12126855,0.29481969,0.40253155,0.53971001
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-04-04 00:00:00.000000,0.08662263,0.14562532,0.25069942,58,97,167,27,45,86,0.04143102,0.06740619,0.12944085,0.29004222,0.40110401,0.59336212
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-04-05 00:00:00.000000,0.09152716,0.15754871,0.26336635,61,105,176,29,48,92,0.04467797,0.07222058,0.13798658,0.29670621,0.40335874,0.63092567
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-04-06 00:00:00.000000,0.10048211,0.17008723,0.27533646,67,113,184,32,52,98,0.04828292,0.07820530,0.14691228,0.29940087,0.41085737,0.62626396
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-04-07 00:00:00.000000,0.10868747,0.18348519,0.28948802,72,122,193,34,56,104,0.05160366,0.08446039,0.15576675,0.30093682,0.41566931,0.63419020
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-04-08 00:00:00.000000,0.11790145,0.19533822,0.30670957,78,130,205,37,61,110,0.05611952,0.09124069,0.16475722,0.30761133,0.41548427,0.64074229
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-04-09 00:00:00.000000,0.12806123,0.20538833,0.32912014,85,137,220,40,65,117,0.06069192,0.09845460,0.17509510,0.31455815,0.42198882,0.69288931
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-04-10 00:00:00.000000,0.13488052,0.22455251,0.35296450,90,150,236,44,70,126,0.06578849,0.10465098,0.18952485,0.32235995,0.43340869,0.69425424
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-04-11 00:00:00.000000,0.14149001,0.24343625,0.37943519,94,163,254,47,75,137,0.07141196,0.11272000,0.20492913,0.33558528,0.44499679,0.71837637
27131,0,USMinnesotaRice,Minnesota,Rice,2020-11-09 08:15:44.473394,2020-04-12 00:00:00.000000,0.14867382,0.26006664,0.41553819,99,174,278,51,81,148,0.07726732,0.12133614,0.22136169,0.34231929,0.45726405,0.70257833
