FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-09 00:00:00.000000,0.00027977,0.00330518,0.01265150,0,3,12,0,1,7,0.00013819,0.00175520,0.00726951,0.48580388,0.60728326,0.82765745
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-10 00:00:00.000000,0.00031502,0.00366279,0.01471162,0,3,14,0,1,6,0.00013922,0.00182155,0.00701762,0.48579847,0.60727675,0.82765680
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-11 00:00:00.000000,0.00035027,0.00408118,0.01691966,0,3,16,0,1,7,0.00015802,0.00193185,0.00725868,0.48580500,0.60726227,0.82765519
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-12 00:00:00.000000,0.00038665,0.00456286,0.01869909,0,4,18,0,1,7,0.00018212,0.00203850,0.00781677,0.48581962,0.60722480,0.82765118
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-13 00:00:00.000000,0.00043189,0.00502358,0.01984748,0,4,19,0,2,8,0.00020865,0.00226428,0.00859406,0.48446113,0.60711094,0.82764111
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-14 00:00:00.000000,0.00048095,0.00550340,0.02106507,0,5,20,0,2,9,0.00023669,0.00250507,0.00955281,0.47840007,0.60671949,0.82761547
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-15 00:00:00.000000,0.00053305,0.00600957,0.02234363,0,5,21,0,2,10,0.00026610,0.00276955,0.01067296,0.47431657,0.60528572,0.82754914
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-16 00:00:00.000000,0.00219700,0.00843248,0.02563546,2,8,24,0,2,11,0.00029707,0.00305347,0.01195034,0.47273987,0.59835434,0.82737377
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-17 00:00:00.000000,0.00377490,0.01044298,0.02899620,3,10,28,0,3,13,0.00073466,0.00390771,0.01350362,0.45335675,0.59897294,0.82690076
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-18 00:00:00.000000,0.00485097,0.01265033,0.03259357,4,12,31,1,4,14,0.00142919,0.00509656,0.01516280,0.43539500,0.59799820,0.82562963
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-19 00:00:00.000000,0.00636615,0.01535311,0.03640692,6,14,35,2,6,16,0.00214816,0.00624711,0.01704240,0.42563023,0.59161704,0.82250012
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-20 00:00:00.000000,0.00791093,0.01727772,0.04090119,7,16,39,2,7,18,0.00302005,0.00748732,0.01908997,0.41745590,0.57677693,0.81669695
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-21 00:00:00.000000,0.00937050,0.02031700,0.04626861,9,19,44,3,8,20,0.00375420,0.00870526,0.02126832,0.40672256,0.56639919,0.80630440
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-22 00:00:00.000000,0.01076451,0.02357389,0.05291130,10,22,51,4,9,22,0.00443600,0.00992486,0.02352413,0.39265630,0.55373115,0.78436327
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-23 00:00:00.000000,0.01270400,0.02690261,0.05773067,12,26,56,5,11,25,0.00519015,0.01143420,0.02576568,0.38799291,0.54512436,0.76957632
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-24 00:00:00.000000,0.01456160,0.03094549,0.06314755,14,30,61,5,12,26,0.00609361,0.01328336,0.02765975,0.38308744,0.53640371,0.76893887
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-25 00:00:00.000000,0.01637474,0.03527046,0.06900177,15,34,67,6,14,29,0.00711826,0.01542327,0.03054768,0.37320278,0.52228763,0.73754872
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-26 00:00:00.000000,0.01837106,0.03951236,0.08215700,17,38,79,8,17,33,0.00828819,0.01778890,0.03402573,0.36514649,0.51308062,0.71454766
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-27 00:00:00.000000,0.02018846,0.04385553,0.09662645,19,42,93,9,19,39,0.00956305,0.01985932,0.04081090,0.35929626,0.51160310,0.69966600
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-28 00:00:00.000000,0.02198084,0.04824288,0.10564377,21,46,102,10,21,44,0.01048513,0.02236955,0.04620283,0.35048792,0.49769820,0.69433551
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-29 00:00:00.000000,0.02373797,0.05244488,0.11314379,23,50,110,11,23,49,0.01161691,0.02457625,0.05119894,0.34967510,0.48295016,0.69152434
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-30 00:00:00.000000,0.02686048,0.05820408,0.12017451,26,56,116,12,26,55,0.01306593,0.02688367,0.05666298,0.34454122,0.46990304,0.69563539
27141,0,USMinnesotaSherburne,Minnesota,Sherburne,2020-10-16 22:05:11.098286,2020-03-31 00:00:00.000000,0.03021349,0.06391579,0.12698713,29,62,123,14,29,60,0.01476796,0.03005583,0.06270267,0.34548692,0.46454450,0.71329316
