FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27157,0,USMinnesotaWabasha,Minnesota,Wabasha,2020-12-05 07:38:00.575102,2020-03-09 00:00:00.000000,0.00610829,0.02034710,0.06468140,1,4,13,0,1,7,0.00124314,0.00916376,0.03271403,0.38049782,0.48748931,0.66165937
27157,0,USMinnesotaWabasha,Minnesota,Wabasha,2020-12-05 07:38:00.575102,2020-03-10 00:00:00.000000,0.00909756,0.02620945,0.07712003,1,5,16,0,2,7,0.00204194,0.00973424,0.03265391,0.38049737,0.48748862,0.66092806
27157,0,USMinnesotaWabasha,Minnesota,Wabasha,2020-12-05 07:38:00.575102,2020-03-11 00:00:00.000000,0.01222056,0.03396831,0.08808986,2,7,19,0,2,7,0.00322831,0.01136880,0.03574095,0.38049632,0.48748716,0.65948623
27157,0,USMinnesotaWabasha,Minnesota,Wabasha,2020-12-05 07:38:00.575102,2020-03-12 00:00:00.000000,0.01554752,0.03907298,0.09932875,3,8,21,0,2,8,0.00459787,0.01380525,0.04028653,0.38049379,0.48748387,0.65841068
27157,0,USMinnesotaWabasha,Minnesota,Wabasha,2020-12-05 07:38:00.575102,2020-03-13 00:00:00.000000,0.01914007,0.04513128,0.11083184,4,9,23,1,3,9,0.00626666,0.01680825,0.04578622,0.38048767,0.48747598,0.65825443
27157,0,USMinnesotaWabasha,Minnesota,Wabasha,2020-12-05 07:38:00.575102,2020-03-14 00:00:00.000000,0.02238016,0.05247671,0.12875567,4,11,27,1,4,11,0.00776288,0.01975299,0.05194172,0.38047258,0.48715057,0.65790074
27157,0,USMinnesotaWabasha,Minnesota,Wabasha,2020-12-05 07:38:00.575102,2020-03-15 00:00:00.000000,0.02635853,0.06107237,0.14271643,5,13,30,2,5,12,0.00950144,0.02340186,0.05821341,0.37026266,0.48339520,0.65710505
27157,0,USMinnesotaWabasha,Minnesota,Wabasha,2020-12-05 07:38:00.575102,2020-03-16 00:00:00.000000,0.03283133,0.06939698,0.15110069,7,15,32,2,6,14,0.01117683,0.02818180,0.06574990,0.36065086,0.48144088,0.65624615
27157,0,USMinnesotaWabasha,Minnesota,Wabasha,2020-12-05 07:38:00.575102,2020-03-17 00:00:00.000000,0.03738839,0.07782353,0.16000884,8,16,34,2,7,15,0.01282253,0.03240441,0.07204197,0.36061760,0.47790383,0.65206384
27157,0,USMinnesotaWabasha,Minnesota,Wabasha,2020-12-05 07:38:00.575102,2020-03-18 00:00:00.000000,0.04458585,0.08765018,0.16914068,9,18,36,3,8,16,0.01479809,0.03783687,0.07783947,0.35706814,0.47108143,0.64367962
