FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-09 00:00:00.000000,0.00852172,0.03056269,0.09515696,1,4,13,0,1,8,0.00262928,0.01275854,0.05972826,0.39000535,0.50735203,0.68575338
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-10 00:00:00.000000,0.01233344,0.03951698,0.10278463,1,5,14,0,1,7,0.00321214,0.01358450,0.05429031,0.38983968,0.50729205,0.68575242
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-11 00:00:00.000000,0.01568722,0.04985642,0.11093736,2,6,15,0,2,7,0.00397250,0.01564937,0.05401054,0.38947500,0.50715355,0.68574827
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-12 00:00:00.000000,0.01921434,0.06157151,0.12146526,2,8,16,0,2,7,0.00583062,0.01920262,0.05770128,0.38851986,0.50683398,0.68572996
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-13 00:00:00.000000,0.02328306,0.07330329,0.13554918,3,10,18,0,3,8,0.00711633,0.02304803,0.06111690,0.38568551,0.50609900,0.68564861
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-14 00:00:00.000000,0.02771317,0.08381706,0.15925997,3,11,21,1,3,8,0.00859813,0.02760194,0.06532853,0.37901470,0.50446912,0.68528675
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-15 00:00:00.000000,0.03248049,0.09350132,0.18419865,4,12,25,1,4,10,0.01024386,0.03269499,0.07573010,0.36618195,0.50401892,0.68368733
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-16 00:00:00.000000,0.03487114,0.09877675,0.19297031,4,13,26,1,5,12,0.01203610,0.03811847,0.08997983,0.35073711,0.50288350,0.67685664
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-17 00:00:00.000000,0.03757406,0.10485029,0.20262550,5,14,27,1,5,13,0.01349308,0.04265600,0.10026602,0.33421849,0.50006817,0.67346155
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-18 00:00:00.000000,0.03916986,0.11105971,0.21198037,5,15,29,2,6,14,0.01476365,0.04583144,0.10825629,0.30814405,0.49675904,0.67009805
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-19 00:00:00.000000,0.04059099,0.11606536,0.22062058,5,15,30,2,6,15,0.01593966,0.04911068,0.11472677,0.30023277,0.47039775,0.63972573
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-20 00:00:00.000000,0.04168330,0.12076351,0.22842975,5,16,31,2,7,16,0.01711707,0.05189576,0.11992917,0.26950519,0.44788287,0.62433188
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-21 00:00:00.000000,0.04327743,0.12552300,0.23556772,5,17,32,2,7,16,0.01818390,0.05444755,0.12393989,0.26148467,0.41698822,0.61613417
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-22 00:00:00.000000,0.04650218,0.12937605,0.24227580,6,17,33,2,7,17,0.01930700,0.05758776,0.12689797,0.24661012,0.39763881,0.56431901
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-23 00:00:00.000000,0.04970864,0.13363314,0.24875929,6,18,34,2,8,17,0.02070927,0.06165528,0.12901995,0.24574629,0.36849462,0.54649197
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-24 00:00:00.000000,0.05298029,0.13562944,0.25515347,7,18,34,3,8,17,0.02233376,0.06528704,0.13052299,0.24009557,0.34747000,0.53871660
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-25 00:00:00.000000,0.05640747,0.13718385,0.26121121,7,18,35,3,9,18,0.02399004,0.06903162,0.13409406,0.22775826,0.33492541,0.52655674
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-26 00:00:00.000000,0.06004221,0.13822803,0.26347633,8,18,36,3,9,18,0.02569235,0.07182506,0.13786204,0.22427998,0.32652852,0.49320353
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-27 00:00:00.000000,0.06390919,0.13888808,0.26241165,8,19,35,3,9,19,0.02745912,0.07272882,0.14077189,0.21050017,0.32003357,0.49092682
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-28 00:00:00.000000,0.06799339,0.14042955,0.26089449,9,19,35,4,9,19,0.02930745,0.07286107,0.14246185,0.19996004,0.31589640,0.48544258
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-29 00:00:00.000000,0.06957923,0.14096772,0.26869395,9,19,36,4,9,19,0.03072163,0.07281420,0.14325585,0.19110822,0.30491930,0.46844090
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-30 00:00:00.000000,0.06959645,0.14347351,0.27488910,9,19,37,4,9,19,0.03101327,0.07302380,0.14341885,0.18582261,0.29629210,0.45425770
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-03-31 00:00:00.000000,0.06948253,0.14592346,0.27964837,9,19,38,4,10,19,0.03119171,0.07434372,0.14445099,0.18283621,0.28774715,0.43652670
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-04-01 00:00:00.000000,0.06927403,0.14606621,0.28389397,9,19,38,4,10,20,0.03127824,0.07485732,0.14653269,0.18280887,0.28226353,0.43252208
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-04-02 00:00:00.000000,0.06896884,0.14692060,0.28469248,9,20,38,4,10,20,0.03129248,0.07504637,0.14832222,0.18090384,0.27366831,0.41961171
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-04-03 00:00:00.000000,0.06851197,0.14886290,0.29056114,9,20,39,4,10,20,0.03124610,0.07569136,0.15045987,0.17987583,0.26204859,0.38781065
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-04-04 00:00:00.000000,0.06777291,0.15158755,0.29423382,9,20,40,4,10,21,0.03113650,0.07628822,0.15399408,0.18008591,0.26016216,0.38822552
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-04-05 00:00:00.000000,0.06656121,0.15363511,0.29519867,9,21,40,4,10,21,0.03093903,0.07732290,0.15885720,0.17485849,0.25341171,0.38028981
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-04-06 00:00:00.000000,0.06481084,0.15317314,0.29461938,8,20,40,4,10,21,0.03060485,0.07878842,0.15865689,0.16543150,0.24291713,0.38013317
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-04-07 00:00:00.000000,0.06271924,0.15399206,0.29350569,8,21,40,4,10,21,0.03009170,0.08025538,0.15740668,0.16244046,0.23525322,0.38198904
27159,0,USMinnesotaWadena,Minnesota,Wadena,2020-10-16 22:37:50.315766,2020-04-08 00:00:00.000000,0.06050144,0.15364173,0.29607020,8,21,40,4,11,21,0.02940804,0.08171309,0.15388555,0.15724544,0.23261285,0.39028061
