FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28057,0,USMississippiItawamba,Mississippi,Itawamba,2020-10-31 23:53:04.549050,2020-03-09 00:00:00.000000,0.00342023,0.02371361,0.06968638,0,5,16,0,2,8,0.00138923,0.01237091,0.03622306,0.47681619,0.59819330,0.89627324
28057,0,USMississippiItawamba,Mississippi,Itawamba,2020-10-31 23:53:04.549050,2020-03-10 00:00:00.000000,0.00390944,0.02784248,0.07815842,0,6,18,0,2,8,0.00162858,0.01249588,0.03605467,0.47681141,0.59802112,0.89627098
28057,0,USMississippiItawamba,Mississippi,Itawamba,2020-10-31 23:53:04.549050,2020-03-11 00:00:00.000000,0.00439921,0.03134518,0.08446347,1,7,19,0,3,8,0.00191057,0.01334918,0.03720682,0.47679847,0.59773154,0.89626518
28057,0,USMississippiItawamba,Mississippi,Itawamba,2020-10-31 23:53:04.549050,2020-03-12 00:00:00.000000,0.00490699,0.03496873,0.09193701,1,8,21,0,3,9,0.00204318,0.01493324,0.04036370,0.47676296,0.59724635,0.89625035
28057,0,USMississippiItawamba,Mississippi,Itawamba,2020-10-31 23:53:04.549050,2020-03-13 00:00:00.000000,0.00544490,0.03859396,0.10030630,1,9,23,0,3,10,0.00222532,0.01642923,0.04583237,0.47666375,0.59643838,0.89621242
28057,0,USMississippiItawamba,Mississippi,Itawamba,2020-10-31 23:53:04.549050,2020-03-14 00:00:00.000000,0.00602219,0.04207606,0.10932432,1,9,25,0,4,11,0.00244411,0.01806602,0.04964028,0.47638226,0.59177472,0.89611540
28057,0,USMississippiItawamba,Mississippi,Itawamba,2020-10-31 23:53:04.549050,2020-03-15 00:00:00.000000,0.00664666,0.04616088,0.11907683,1,10,27,0,4,12,0.00269335,0.01977361,0.05388157,0.47559092,0.58965422,0.89586740
28057,0,USMississippiItawamba,Mississippi,Itawamba,2020-10-31 23:53:04.549050,2020-03-16 00:00:00.000000,0.01236800,0.05748491,0.13835302,2,13,32,0,5,13,0.00297071,0.02195277,0.05856494,0.47397343,0.58850625,0.89523491
28057,0,USMississippiItawamba,Mississippi,Itawamba,2020-10-31 23:53:04.549050,2020-03-17 00:00:00.000000,0.02029869,0.07108067,0.15852838,4,16,37,0,5,15,0.00421277,0.02550349,0.06513476,0.46590183,0.58846889,0.89363086
28057,0,USMississippiItawamba,Mississippi,Itawamba,2020-10-31 23:53:04.549050,2020-03-18 00:00:00.000000,0.02482238,0.08292487,0.18010500,5,19,42,1,7,17,0.00610939,0.02998034,0.07323418,0.44669681,0.58159929,0.88961140
