FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-09 00:00:00.000000,0.00986765,0.04376320,0.12168183,0,4,11,0,1,6,0.00565142,0.02031318,0.06936425,0.42901182,0.65677703,1.10010871
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-10 00:00:00.000000,0.01098522,0.05067191,0.13568541,1,4,13,0,2,6,0.00597667,0.02103405,0.06622111,0.42901628,0.65653361,1.10010869
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-11 00:00:00.000000,0.01222865,0.05685569,0.15640344,1,5,15,0,2,6,0.00665535,0.02309951,0.06702386,0.42902257,0.65609669,1.10010865
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-12 00:00:00.000000,0.01361820,0.06234244,0.18023389,1,6,17,0,2,7,0.00731896,0.02537565,0.07415223,0.42903142,0.65549320,1.10010855
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-13 00:00:00.000000,0.01517334,0.06869622,0.20410560,1,6,19,0,2,7,0.00808677,0.02798762,0.08128314,0.42919629,0.65549305,1.10010829
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-14 00:00:00.000000,0.01691430,0.07581707,0.22504191,1,7,21,0,3,8,0.00896218,0.03122688,0.08817492,0.42986840,0.65271429,1.10010764
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-15 00:00:00.000000,0.01886294,0.08523446,0.24817595,1,8,24,0,3,9,0.00995274,0.03498662,0.09733213,0.43079208,0.64727224,1.10010590
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-16 00:00:00.000000,0.03351355,0.10846470,0.30738504,3,10,29,1,3,10,0.01074683,0.03868677,0.10887671,0.43204353,0.64377243,1.10010103
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-17 00:00:00.000000,0.04840419,0.13579496,0.38343592,4,13,37,1,4,12,0.01384420,0.04473298,0.12563566,0.43370671,0.63921086,1.10008586
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-18 00:00:00.000000,0.06478138,0.16237273,0.44354442,6,15,43,1,5,14,0.01857686,0.05453206,0.14643558,0.43586136,0.63633402,1.10002240
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-19 00:00:00.000000,0.08292205,0.20359609,0.49554235,8,19,48,2,6,17,0.02538903,0.06595768,0.17807991,0.43856225,0.62422460,1.09956377
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-20 00:00:00.000000,0.10304246,0.23369889,0.54249085,10,22,52,3,7,21,0.03203250,0.08044585,0.21738394,0.44181109,0.63037307,1.09664589
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-21 00:00:00.000000,0.11985488,0.27467241,0.59108187,11,26,57,3,9,25,0.03804871,0.09663278,0.26192249,0.44552780,0.63341835,1.06067655
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-22 00:00:00.000000,0.13608171,0.31988954,0.64301994,13,31,62,4,10,28,0.04557192,0.11220659,0.29686735,0.44951939,0.61988939,1.05547614
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-23 00:00:00.000000,0.17744265,0.37403567,0.71903969,17,36,70,5,12,31,0.05342601,0.13327880,0.32657103,0.41814202,0.60881465,0.99758073
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-24 00:00:00.000000,0.21244927,0.43583040,0.80610233,20,42,78,6,15,34,0.06662374,0.15773258,0.35688573,0.39463084,0.60927556,1.00499819
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-25 00:00:00.000000,0.25150399,0.47911916,0.90178138,24,46,87,7,18,37,0.08198440,0.18536314,0.38821708,0.38995427,0.60129153,1.00347980
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-26 00:00:00.000000,0.28339442,0.52731759,1.00677313,27,51,98,9,20,42,0.10005372,0.21475937,0.43500915,0.36944407,0.59749460,0.97453310
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-27 00:00:00.000000,0.31791084,0.58142060,1.12188488,30,56,109,11,23,47,0.11812359,0.24174940,0.48794228,0.35993000,0.58701098,0.94869715
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-28 00:00:00.000000,0.35499172,0.66481639,1.25960382,34,64,122,12,25,53,0.13306346,0.26622994,0.54590527,0.34286631,0.57162897,0.92391264
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-29 00:00:00.000000,0.39479962,0.73889477,1.38796348,38,71,135,15,28,59,0.15906402,0.29234358,0.60941345,0.33102381,0.56375968,0.92526965
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-30 00:00:00.000000,0.43653053,0.82216064,1.53714152,42,80,149,17,31,65,0.17769374,0.32466462,0.66757225,0.32027245,0.55676191,0.94353531
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-03-31 00:00:00.000000,0.49020213,0.91721530,1.68559794,47,89,164,19,35,70,0.19636055,0.36455488,0.72510307,0.31710330,0.55166982,1.04064551
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-01 00:00:00.000000,0.55268198,1.03428504,1.82016150,53,100,177,20,40,77,0.21492208,0.41122398,0.79934850,0.31638758,0.55213730,1.06981258
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-02 00:00:00.000000,0.60730906,1.14302541,1.95673922,59,111,190,23,44,85,0.23921901,0.45733201,0.87566938,0.31605294,0.54337930,1.03586249
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-03 00:00:00.000000,0.65145067,1.25728616,2.16412755,63,122,210,25,49,93,0.26281399,0.50329742,0.95701726,0.31561952,0.53600060,0.96067385
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-04 00:00:00.000000,0.70325878,1.40426010,2.37587259,68,136,231,28,53,104,0.28794704,0.54613489,1.06909734,0.29587119,0.51890173,0.98022071
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-05 00:00:00.000000,0.75661715,1.56976950,2.59691331,73,152,252,29,58,115,0.30591153,0.60509183,1.18795760,0.28844013,0.51599632,1.04431522
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-06 00:00:00.000000,0.81504519,1.71430891,2.83233488,79,167,275,33,65,127,0.34508484,0.67006690,1.31345056,0.28831510,0.50955729,1.01453740
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-07 00:00:00.000000,0.86980987,1.83738585,3.08621441,84,178,300,36,72,140,0.37708034,0.74521551,1.44473631,0.29270746,0.49774395,0.96420729
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-08 00:00:00.000000,0.92553527,1.95124346,3.26314208,90,190,317,40,79,146,0.41149669,0.81805728,1.50553616,0.30115733,0.49761753,0.89845550
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-09 00:00:00.000000,0.98405108,2.13288014,3.37133147,95,207,328,43,87,154,0.44828491,0.89498204,1.59022183,0.28846131,0.50570475,0.81922232
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-10 00:00:00.000000,1.04543114,2.28910641,3.47536609,101,223,338,47,94,168,0.48744979,0.97232082,1.73212255,0.27985977,0.50360487,0.77566683
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-11 00:00:00.000000,1.10899540,2.45615200,3.57487503,108,239,348,51,100,182,0.52904075,1.03172010,1.87569453,0.27717003,0.49310095,0.76817747
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-12 00:00:00.000000,1.17241585,2.61519173,3.81536196,114,254,371,55,108,195,0.57295234,1.11068843,2.01178873,0.27619648,0.47955018,0.76931882
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-13 00:00:00.000000,1.25728144,2.81328005,4.06455144,122,274,395,59,116,204,0.60935493,1.19649664,2.10306497,0.28622028,0.47007215,0.77633434
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-14 00:00:00.000000,1.39854209,3.06387732,4.32648041,136,298,421,63,125,215,0.65015076,1.28549658,2.21634676,0.27979826,0.46321405,0.77764103
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-15 00:00:00.000000,1.52497516,3.23936681,4.62036403,148,315,450,68,136,230,0.70749700,1.39803293,2.36878054,0.27524911,0.45394344,0.77674338
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-16 00:00:00.000000,1.59877490,3.45962797,4.89197122,155,337,476,73,144,246,0.75113571,1.48079422,2.52608785,0.26851779,0.44635249,0.77373828
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-17 00:00:00.000000,1.69816533,3.63453431,5.25721948,165,354,512,77,153,261,0.79704213,1.58061725,2.68815707,0.26286088,0.43586623,0.76619075
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-18 00:00:00.000000,1.77957004,3.84935750,5.65946561,173,375,551,82,168,276,0.84534103,1.72619750,2.83847048,0.25725522,0.41391299,0.74819320
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-19 00:00:00.000000,1.85174792,4.10448130,6.06699139,180,399,591,85,184,290,0.88179896,1.89254413,2.98191844,0.24436486,0.41462966,0.71169331
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-20 00:00:00.000000,1.92090016,4.31865749,6.39511079,187,420,623,90,198,304,0.92516709,2.03734521,3.13072443,0.23203181,0.40876260,0.66289789
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-21 00:00:00.000000,1.98651249,4.47771616,6.64027983,193,436,646,93,210,320,0.96012992,2.16258824,3.29098901,0.23177125,0.40657567,0.63118133
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-22 00:00:00.000000,2.02886290,4.65635421,6.87777943,197,453,670,96,220,338,0.99529023,2.26045098,3.47649936,0.23160653,0.39667490,0.61915898
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-23 00:00:00.000000,2.11388719,4.83900687,7.15456549,205,471,696,100,227,353,1.03069938,2.33205768,3.62899340,0.22970736,0.37899920,0.60538380
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-24 00:00:00.000000,2.17664789,5.00533663,7.43033107,212,487,723,104,236,369,1.07720435,2.43246448,3.79015155,0.21607940,0.36526465,0.59100425
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-25 00:00:00.000000,2.24041521,5.06454178,7.69681714,218,493,749,110,250,383,1.13201250,2.56978505,3.94145271,0.20746550,0.34141511,0.54310845
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-26 00:00:00.000000,2.30593029,5.14913510,7.93687945,224,501,773,115,255,399,1.18724501,2.62501028,4.10503877,0.19344144,0.32563325,0.50510164
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-27 00:00:00.000000,2.34485897,5.24116100,8.13991674,228,510,792,120,258,414,1.23727536,2.65352911,4.25919455,0.18983163,0.32124296,0.48647708
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-28 00:00:00.000000,2.35568433,5.36353359,8.26292674,229,522,804,121,263,428,1.24672241,2.70597218,4.39973374,0.18112992,0.31426301,0.45918138
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-29 00:00:00.000000,2.35628966,5.47140469,8.31604321,229,533,810,121,271,439,1.25202120,2.78835652,4.51537699,0.17679357,0.30284914,0.44068627
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-04-30 00:00:00.000000,2.35096533,5.55506124,8.32745679,229,541,811,122,278,448,1.25819008,2.85983823,4.60072892,0.17183294,0.29016839,0.43008975
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-05-01 00:00:00.000000,2.32639661,5.61743417,8.49310297,226,547,827,124,286,459,1.27439128,2.94244361,4.71464818,0.16542499,0.27515421,0.41379736
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-05-02 00:00:00.000000,2.29584599,5.65284046,8.64389493,223,550,842,125,294,470,1.28321758,3.02577763,4.83058590,0.16631007,0.26971643,0.39188208
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-05-03 00:00:00.000000,2.26080390,5.63475946,8.72837187,220,548,850,124,298,479,1.28023582,3.06074226,4.91701547,0.16285129,0.25809045,0.38110975
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-05-04 00:00:00.000000,2.23498973,5.59384346,8.76730600,217,544,854,123,300,485,1.26766633,3.08030644,4.98256204,0.15229177,0.25522426,0.36488283
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-05-05 00:00:00.000000,2.23158328,5.47584907,8.77323758,217,533,854,122,297,490,1.25264935,3.05656318,5.03323484,0.14207124,0.25151814,0.36456028
28069,0,USMississippiKemper,Mississippi,Kemper,2020-11-15 22:09:48.813264,2020-05-06 00:00:00.000000,2.22387416,5.42813088,8.76036250,216,528,853,121,295,494,1.24944333,3.03517229,5.07308250,0.13569977,0.24328397,0.36304985
