FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28085,0,USMississippiLincoln,Mississippi,Lincoln,2020-12-05 07:05:09.458233,2020-03-09 00:00:00.000000,0.01129558,0.02736592,0.08739917,3,9,29,1,4,13,0.00502458,0.01359267,0.03810624,0.51194253,0.73601691,0.92532407
28085,0,USMississippiLincoln,Mississippi,Lincoln,2020-12-05 07:05:09.458233,2020-03-10 00:00:00.000000,0.01260926,0.03081557,0.09868499,4,10,33,1,5,13,0.00501557,0.01475453,0.04001005,0.51194263,0.73601690,0.92528998
28085,0,USMississippiLincoln,Mississippi,Lincoln,2020-12-05 07:05:09.458233,2020-03-11 00:00:00.000000,0.01408923,0.03430250,0.11041574,4,11,37,1,5,14,0.00555885,0.01599042,0.04340513,0.51194306,0.73601687,0.92521877
28085,0,USMississippiLincoln,Mississippi,Lincoln,2020-12-05 07:05:09.458233,2020-03-12 00:00:00.000000,0.01553076,0.03925740,0.12290628,5,13,41,2,5,16,0.00644907,0.01735495,0.04782785,0.51194474,0.73601669,0.92507015
28085,0,USMississippiLincoln,Mississippi,Lincoln,2020-12-05 07:05:09.458233,2020-03-13 00:00:00.000000,0.01723277,0.04418888,0.13639442,5,15,46,2,6,18,0.00700650,0.01952880,0.05302280,0.51195135,0.73598359,0.92476085
28085,0,USMississippiLincoln,Mississippi,Lincoln,2020-12-05 07:05:09.458233,2020-03-14 00:00:00.000000,0.01914378,0.05042823,0.15107865,6,17,51,2,7,20,0.00761786,0.02216098,0.05887882,0.51197701,0.73578079,0.92412077
28085,0,USMississippiLincoln,Mississippi,Lincoln,2020-12-05 07:05:09.458233,2020-03-15 00:00:00.000000,0.02129095,0.05779428,0.16713535,7,19,57,2,8,22,0.00839541,0.02497696,0.06536658,0.51207238,0.73535677,0.92281202
28085,0,USMississippiLincoln,Mississippi,Lincoln,2020-12-05 07:05:09.458233,2020-03-16 00:00:00.000000,0.03077598,0.06934339,0.18566603,10,23,63,3,9,24,0.00929382,0.02823017,0.07250317,0.51379094,0.73445150,0.92020104
28085,0,USMississippiLincoln,Mississippi,Lincoln,2020-12-05 07:05:09.458233,2020-03-17 00:00:00.000000,0.04020771,0.08640875,0.21425358,13,29,73,4,11,28,0.01176390,0.03284332,0.08277666,0.51378971,0.72500090,0.91833421
28085,0,USMississippiLincoln,Mississippi,Lincoln,2020-12-05 07:05:09.458233,2020-03-18 00:00:00.000000,0.05019302,0.10409230,0.25082914,17,35,85,5,13,33,0.01526496,0.03908436,0.09716610,0.51377150,0.72040326,0.91806092
