FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28087,0,USMississippiLowndes,Mississippi,Lowndes,2020-11-26 14:35:33.079062,2020-03-09 00:00:00.000000,0.00219779,0.00710592,0.02529608,1,4,14,0,2,7,0.00101203,0.00362861,0.01354009,0.43982086,0.55386043,0.79961650
28087,0,USMississippiLowndes,Mississippi,Lowndes,2020-11-26 14:35:33.079062,2020-03-10 00:00:00.000000,0.00254946,0.00774943,0.02773132,1,4,16,0,2,7,0.00120366,0.00382925,0.01362078,0.43990461,0.55360285,0.79948643
28087,0,USMississippiLowndes,Mississippi,Lowndes,2020-11-26 14:35:33.079062,2020-03-11 00:00:00.000000,0.00286946,0.00839363,0.03020650,1,4,17,0,2,8,0.00139487,0.00397538,0.01439786,0.44007772,0.55319449,0.79921420
28087,0,USMississippiLowndes,Mississippi,Lowndes,2020-11-26 14:35:33.079062,2020-03-12 00:00:00.000000,0.00305931,0.00906871,0.03273662,1,5,19,0,2,8,0.00162922,0.00434205,0.01531070,0.44043489,0.55254850,0.79864503
28087,0,USMississippiLowndes,Mississippi,Lowndes,2020-11-26 14:35:33.079062,2020-03-13 00:00:00.000000,0.00326764,0.00987875,0.03535530,1,5,20,1,2,9,0.00174165,0.00479103,0.01675281,0.44116926,0.55152802,0.79745783
28087,0,USMississippiLowndes,Mississippi,Lowndes,2020-11-26 14:35:33.079062,2020-03-14 00:00:00.000000,0.00349452,0.01075054,0.03808502,2,6,22,1,3,10,0.00184838,0.00513795,0.01826585,0.44266863,0.54990926,0.79499390
28087,0,USMississippiLowndes,Mississippi,Lowndes,2020-11-26 14:35:33.079062,2020-03-15 00:00:00.000000,0.00374037,0.01180093,0.04176076,2,6,24,1,3,11,0.00196995,0.00562153,0.02022644,0.44364767,0.54605765,0.78988417
28087,0,USMississippiLowndes,Mississippi,Lowndes,2020-11-26 14:35:33.079062,2020-03-16 00:00:00.000000,0.00664431,0.01569061,0.04798292,3,9,28,1,3,13,0.00210446,0.00617256,0.02270258,0.44163203,0.54052224,0.77921709
28087,0,USMississippiLowndes,Mississippi,Lowndes,2020-11-26 14:35:33.079062,2020-03-17 00:00:00.000000,0.00958664,0.01982315,0.05320191,5,11,31,1,4,14,0.00302362,0.00728344,0.02547851,0.42886775,0.53549656,0.76177700
28087,0,USMississippiLowndes,Mississippi,Lowndes,2020-11-26 14:35:33.079062,2020-03-18 00:00:00.000000,0.01238117,0.02386629,0.05956424,7,13,34,2,5,16,0.00400082,0.00876436,0.02871394,0.40092782,0.52245476,0.73858739
28087,0,USMississippiLowndes,Mississippi,Lowndes,2020-11-26 14:35:33.079062,2020-03-19 00:00:00.000000,0.01377288,0.02812974,0.07147494,8,16,41,2,6,18,0.00477277,0.01042319,0.03226386,0.38086646,0.51496944,0.73149241
