FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-09 00:00:00.000000,0.01037465,0.02933969,0.05483569,4,11,21,1,4,10,0.00383272,0.01123439,0.02679225,0.49419606,0.64910465,0.91956971
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-10 00:00:00.000000,0.01569639,0.03782339,0.06589146,6,14,25,1,5,11,0.00495777,0.01339967,0.03034886,0.49419548,0.64910620,0.91956972
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-11 00:00:00.000000,0.01937869,0.04657637,0.08994836,7,18,35,2,6,13,0.00643555,0.01608282,0.03514800,0.49419523,0.64911062,0.91956972
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-12 00:00:00.000000,0.02283171,0.05533171,0.11634475,8,21,45,3,7,15,0.00827074,0.01990653,0.04065347,0.49419869,0.64892896,0.91956970
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-13 00:00:00.000000,0.02651744,0.06463085,0.14504943,10,25,56,4,9,20,0.01037620,0.02474383,0.05153765,0.49423039,0.64829969,0.91956953
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-14 00:00:00.000000,0.03059561,0.07428827,0.16700542,12,29,65,4,11,26,0.01270519,0.02973709,0.06679057,0.49446597,0.64757383,0.91956796
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-15 00:00:00.000000,0.03511146,0.08538293,0.19089909,13,33,75,5,13,33,0.01506313,0.03460897,0.08412802,0.49612989,0.64678041,0.91955350
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-16 00:00:00.000000,0.04231872,0.10103660,0.21403419,16,39,84,6,15,39,0.01741461,0.03998370,0.09958028,0.50648140,0.63776706,0.91941959
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-17 00:00:00.000000,0.05007332,0.11736113,0.23961169,19,46,94,8,18,44,0.02080984,0.04623939,0.11332149,0.52229220,0.63685746,0.91818110
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-18 00:00:00.000000,0.05865187,0.13477661,0.26813443,23,52,105,9,20,50,0.02502891,0.05291132,0.12794656,0.49255440,0.63134121,0.90718558
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-19 00:00:00.000000,0.06818749,0.15313173,0.30896191,26,60,121,11,23,56,0.02997276,0.06062545,0.14365690,0.47734109,0.62375534,0.84232845
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-20 00:00:00.000000,0.07885072,0.17387067,0.35354114,30,68,138,13,27,63,0.03546668,0.07077785,0.16178921,0.47371988,0.62188442,0.83147670
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-21 00:00:00.000000,0.09088409,0.19458700,0.39639569,35,76,155,16,32,70,0.04099572,0.08232383,0.17966923,0.46564568,0.60860154,0.80426126
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-22 00:00:00.000000,0.10452144,0.21885142,0.42730244,41,85,167,18,36,78,0.04700367,0.09302198,0.20062960,0.43841133,0.59010908,0.79269316
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-23 00:00:00.000000,0.11923758,0.24723035,0.47644781,46,97,187,21,41,89,0.05350290,0.10513965,0.22690535,0.42773036,0.56852994,0.77633598
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-24 00:00:00.000000,0.13617899,0.28233430,0.53325978,53,110,209,24,46,100,0.06148243,0.11934998,0.25626161,0.42414233,0.55191146,0.77332324
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-25 00:00:00.000000,0.15556260,0.31158874,0.58192597,61,122,228,27,52,110,0.07043652,0.13270309,0.28249498,0.41933949,0.54593347,0.77352200
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-26 00:00:00.000000,0.17764389,0.34688415,0.61957007,69,136,243,31,57,119,0.08013853,0.14744769,0.30490319,0.40841899,0.53899892,0.77221738
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-27 00:00:00.000000,0.20267267,0.38262020,0.65897075,79,150,258,34,63,129,0.08728890,0.16234733,0.32964310,0.39021959,0.53292994,0.76944065
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-28 00:00:00.000000,0.21498225,0.41896133,0.73737857,84,164,289,38,70,142,0.09808676,0.17890295,0.36345334,0.36337326,0.50563830,0.76377495
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-29 00:00:00.000000,0.22777957,0.45247555,0.82196622,89,177,322,43,78,157,0.10947662,0.19892188,0.40025075,0.33011361,0.47839360,0.75216967
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-30 00:00:00.000000,0.24711347,0.48606728,0.87444881,97,190,343,46,85,173,0.11920352,0.21847727,0.44039397,0.32186963,0.46656170,0.73318946
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-03-31 00:00:00.000000,0.26607391,0.52127226,0.92074033,104,204,361,50,93,190,0.12856824,0.23902770,0.48470569,0.31334244,0.45965069,0.71073107
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-04-01 00:00:00.000000,0.29276237,0.55536380,0.99168699,115,218,389,54,101,208,0.13789153,0.25922480,0.53123976,0.30622175,0.45228288,0.69211664
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-04-02 00:00:00.000000,0.31135241,0.60018452,1.03808874,122,235,407,57,109,220,0.14737628,0.27889951,0.56146051,0.30203112,0.44526801,0.67507209
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-04-03 00:00:00.000000,0.33072374,0.64108936,1.07584377,129,251,422,61,118,232,0.15711393,0.30215123,0.59142657,0.29059487,0.43459229,0.64133889
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-04-04 00:00:00.000000,0.35096083,0.67790828,1.12704060,137,266,442,65,128,242,0.16720514,0.32762756,0.61686012,0.28897203,0.41670869,0.63101319
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-04-05 00:00:00.000000,0.37216606,0.71835375,1.17461986,146,282,461,70,139,251,0.17949986,0.35522070,0.63959903,0.27747387,0.40409675,0.57522273
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-04-06 00:00:00.000000,0.39592181,0.75148279,1.22358056,155,295,480,76,150,260,0.19462670,0.38366199,0.66182381,0.27169159,0.39882818,0.56911462
28113,0,USMississippiPike,Mississippi,Pike,2020-11-15 21:30:31.004252,2020-04-07 00:00:00.000000,0.42098585,0.78796109,1.27316198,165,309,500,79,160,268,0.20196048,0.40730071,0.68226024,0.26220570,0.38971218,0.53724932
