FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29003,0,USMissouriAndrew,Missouri,Andrew,2020-10-31 22:53:52.989579,2020-03-09 00:00:00.000000,0.00310264,0.01627079,0.04750621,0,2,8,0,1,4,0.00167042,0.00822879,0.02350504,0.39269316,0.56915547,0.78682106
29003,0,USMissouriAndrew,Missouri,Andrew,2020-10-31 22:53:52.989579,2020-03-10 00:00:00.000000,0.00363358,0.01851098,0.05085704,0,3,9,0,1,4,0.00169618,0.00843797,0.02467880,0.39269465,0.56844079,0.78675626
29003,0,USMissouriAndrew,Missouri,Andrew,2020-10-31 22:53:52.989579,2020-03-11 00:00:00.000000,0.00416097,0.02063894,0.05494292,0,3,9,0,1,4,0.00180520,0.00871169,0.02578588,0.39269766,0.56715867,0.78660413
29003,0,USMissouriAndrew,Missouri,Andrew,2020-10-31 22:53:52.989579,2020-03-12 00:00:00.000000,0.00472084,0.02262776,0.06036979,0,4,10,0,1,4,0.00197348,0.00917026,0.02632779,0.39270374,0.56589664,0.78624736
29003,0,USMissouriAndrew,Missouri,Andrew,2020-10-31 22:53:52.989579,2020-03-13 00:00:00.000000,0.00535898,0.02510777,0.06595402,0,4,11,0,1,4,0.00218652,0.00985849,0.02745818,0.39271604,0.56589441,0.78541237
29003,0,USMissouriAndrew,Missouri,Andrew,2020-10-31 22:53:52.989579,2020-03-14 00:00:00.000000,0.00595413,0.02764957,0.07171175,1,4,12,0,1,5,0.00243606,0.01110643,0.02903270,0.39274089,0.56588795,0.78346761
29003,0,USMissouriAndrew,Missouri,Andrew,2020-10-31 22:53:52.989579,2020-03-15 00:00:00.000000,0.00651790,0.02956885,0.07769817,1,5,13,0,2,5,0.00271784,0.01221401,0.03097755,0.39279080,0.56586800,0.77898912
29003,0,USMissouriAndrew,Missouri,Andrew,2020-10-31 22:53:52.989579,2020-03-16 00:00:00.000000,0.00721691,0.03126873,0.08395886,1,5,14,0,2,5,0.00303030,0.01293657,0.03324467,0.38924805,0.55815861,0.76893924
29003,0,USMissouriAndrew,Missouri,Andrew,2020-10-31 22:53:52.989579,2020-03-17 00:00:00.000000,0.00797662,0.03287845,0.09052791,1,5,16,0,2,6,0.00319517,0.01367141,0.03580720,0.38854675,0.55835295,0.74764299
29003,0,USMissouriAndrew,Missouri,Andrew,2020-10-31 22:53:52.989579,2020-03-18 00:00:00.000000,0.00842805,0.03484936,0.09741558,1,6,17,0,2,6,0.00356855,0.01439720,0.03896394,0.35070735,0.55878173,0.73221372
