FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-09 00:00:00.000000,0.00023884,0.00168489,0.00559704,0,4,13,0,2,8,0.00013256,0.00086621,0.00322621,0.44098233,0.58928846,0.80555044
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-10 00:00:00.000000,0.00028800,0.00193898,0.00613291,0,4,15,0,2,8,0.00013302,0.00088000,0.00321720,0.44098245,0.58928758,0.80554960
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-11 00:00:00.000000,0.00033688,0.00216354,0.00670881,0,5,16,0,2,8,0.00014326,0.00093838,0.00333393,0.44098274,0.58928600,0.80554790
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-12 00:00:00.000000,0.00038755,0.00239864,0.00729942,0,5,18,0,2,8,0.00015982,0.00101895,0.00353335,0.44098341,0.58928317,0.80554404
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-13 00:00:00.000000,0.00044149,0.00266533,0.00801900,1,6,20,0,2,9,0.00018087,0.00110391,0.00383940,0.44098498,0.58907897,0.80553367
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-14 00:00:00.000000,0.00049986,0.00294203,0.00882765,1,7,22,0,3,10,0.00020551,0.00120174,0.00423852,0.44098870,0.58786962,0.80550037
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-15 00:00:00.000000,0.00056364,0.00324441,0.00974741,1,8,24,0,3,11,0.00022644,0.00131835,0.00468034,0.44085986,0.58645465,0.80537779
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-16 00:00:00.000000,0.00108610,0.00427397,0.01137134,2,10,28,0,3,12,0.00024477,0.00149125,0.00515974,0.44025248,0.58479005,0.80488919
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-17 00:00:00.000000,0.00158078,0.00542422,0.01308579,3,13,32,0,4,14,0.00034960,0.00174124,0.00582305,0.43757235,0.57693090,0.80287048
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-18 00:00:00.000000,0.00208547,0.00650548,0.01494860,5,16,37,1,5,16,0.00047195,0.00213056,0.00665927,0.43577248,0.57514237,0.79452525
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-19 00:00:00.000000,0.00255793,0.00766117,0.01698263,6,19,42,1,6,19,0.00062471,0.00266430,0.00761571,0.41278223,0.56607624,0.78533036
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-20 00:00:00.000000,0.00301140,0.00881960,0.01920558,7,22,48,2,8,21,0.00081609,0.00329193,0.00868574,0.37494676,0.55473324,0.72925609
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-21 00:00:00.000000,0.00343104,0.00995058,0.02162272,8,24,54,2,9,24,0.00103606,0.00389720,0.00986957,0.35520535,0.53161938,0.72504117
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-22 00:00:00.000000,0.00386232,0.01119068,0.02420246,9,27,60,3,11,27,0.00127703,0.00440240,0.01116849,0.34638365,0.50571370,0.69202242
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-23 00:00:00.000000,0.00464877,0.01247503,0.02724642,11,31,68,3,12,31,0.00153626,0.00497782,0.01257572,0.33830671,0.49441234,0.68889844
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-24 00:00:00.000000,0.00578970,0.01362401,0.03026804,14,34,75,5,13,35,0.00202121,0.00556780,0.01415014,0.32042422,0.47903662,0.68460765
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-25 00:00:00.000000,0.00650624,0.01511274,0.03328599,16,37,83,5,15,39,0.00236742,0.00627160,0.01576425,0.31314882,0.46798476,0.67628992
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-26 00:00:00.000000,0.00724355,0.01670749,0.03544083,18,41,88,6,17,42,0.00275725,0.00694519,0.01681381,0.30457243,0.46121979,0.66024380
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-27 00:00:00.000000,0.00832775,0.01818380,0.03879026,20,45,96,7,19,45,0.00318856,0.00773658,0.01812651,0.30022344,0.44850014,0.64357330
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-28 00:00:00.000000,0.00949377,0.01974073,0.04233394,23,49,105,9,21,50,0.00373404,0.00842524,0.02003896,0.28628927,0.43506327,0.60686062
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-29 00:00:00.000000,0.01073354,0.02122695,0.04550220,26,53,113,10,23,55,0.00432786,0.00929427,0.02204075,0.28396851,0.41446697,0.57064430
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-30 00:00:00.000000,0.01247592,0.02274970,0.04738633,31,56,118,12,25,60,0.00496348,0.01023729,0.02413912,0.26488628,0.39673574,0.53429311
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-03-31 00:00:00.000000,0.01335222,0.02448337,0.05014819,33,61,125,14,27,65,0.00576509,0.01115138,0.02624742,0.26353432,0.38364710,0.52720595
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-01 00:00:00.000000,0.01418007,0.02619726,0.05302586,35,65,132,15,30,69,0.00605909,0.01223548,0.02769006,0.25046201,0.36926311,0.51225049
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-02 00:00:00.000000,0.01490309,0.02782999,0.05598707,37,69,139,15,32,72,0.00636813,0.01317878,0.02882781,0.20846461,0.36368591,0.49922687
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-03 00:00:00.000000,0.01623808,0.02981634,0.05897594,40,74,147,17,35,74,0.00683905,0.01404250,0.02990978,0.20402347,0.35759614,0.49804835
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-04 00:00:00.000000,0.01724576,0.03124312,0.06254924,43,78,156,18,37,78,0.00740785,0.01501708,0.03148574,0.20170512,0.34596943,0.49557749
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-05 00:00:00.000000,0.01826076,0.03312632,0.06614226,45,82,165,19,40,84,0.00798180,0.01626006,0.03398810,0.20047996,0.33676690,0.47925738
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-06 00:00:00.000000,0.01998124,0.03496962,0.06869687,49,87,171,21,43,91,0.00854118,0.01736674,0.03644368,0.19981346,0.32812882,0.48314652
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-07 00:00:00.000000,0.02172338,0.03595052,0.07080560,54,89,176,22,45,95,0.00914987,0.01819916,0.03836388,0.19936028,0.32075696,0.47144863
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-08 00:00:00.000000,0.02353220,0.03697015,0.07288291,58,92,182,24,47,99,0.00992773,0.01885743,0.03997149,0.19867801,0.31446071,0.45758689
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-09 00:00:00.000000,0.02510084,0.03881606,0.07580778,62,97,189,26,49,103,0.01062295,0.01970899,0.04140265,0.19934990,0.31830883,0.44223814
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-10 00:00:00.000000,0.02559083,0.04043817,0.07896419,63,101,197,27,50,106,0.01110350,0.02016195,0.04273958,0.20251151,0.31580411,0.42456484
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-11 00:00:00.000000,0.02610479,0.04284282,0.08233856,65,107,205,29,52,110,0.01179510,0.02081854,0.04403045,0.20941879,0.30938294,0.41756186
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-12 00:00:00.000000,0.02697517,0.04487054,0.08600621,67,112,214,31,54,113,0.01252254,0.02168482,0.04530383,0.21021168,0.31008113,0.42085994
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-13 00:00:00.000000,0.02845313,0.04713115,0.08930872,71,117,223,33,56,116,0.01329260,0.02280164,0.04657731,0.21052458,0.30499106,0.42356317
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-14 00:00:00.000000,0.02966078,0.04855138,0.09050120,74,121,226,35,59,120,0.01409737,0.02379884,0.04817507,0.21120503,0.30414974,0.42424284
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-15 00:00:00.000000,0.03119800,0.04934298,0.09432297,77,123,235,37,61,124,0.01493977,0.02458847,0.04998585,0.21291492,0.30554522,0.42427224
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-16 00:00:00.000000,0.03170141,0.05089775,0.09807562,79,127,245,38,63,129,0.01524908,0.02527250,0.05196796,0.21383561,0.30924182,0.41821645
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-17 00:00:00.000000,0.03221209,0.05276351,0.10186250,80,131,254,38,66,135,0.01533045,0.02651409,0.05416410,0.21285557,0.30305237,0.42460779
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-18 00:00:00.000000,0.03273124,0.05541305,0.10578644,81,138,264,38,68,139,0.01540983,0.02737839,0.05591922,0.21016424,0.30337408,0.42407770
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-19 00:00:00.000000,0.03322968,0.05731349,0.10974970,83,143,274,38,71,140,0.01549111,0.02859251,0.05629579,0.20396857,0.31120197,0.43534983
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-20 00:00:00.000000,0.03541942,0.05953439,0.11295955,88,148,282,39,74,143,0.01590320,0.02981101,0.05740469,0.19630151,0.31517718,0.43561901
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-21 00:00:00.000000,0.03757889,0.06279164,0.11598874,93,156,289,41,77,148,0.01668369,0.03096878,0.05938806,0.19201419,0.31524949,0.44163763
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-22 00:00:00.000000,0.03973489,0.06486845,0.11864303,99,162,296,43,80,153,0.01749695,0.03221980,0.06124051,0.19315255,0.31447181,0.44720371
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-23 00:00:00.000000,0.04204351,0.06762023,0.12286600,105,169,307,45,83,157,0.01834679,0.03348893,0.06290778,0.20687166,0.31647081,0.44279761
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-24 00:00:00.000000,0.04446372,0.07025788,0.12718024,111,175,317,48,87,160,0.01922913,0.03487039,0.06434216,0.20919502,0.31470580,0.43449254
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-25 00:00:00.000000,0.04650701,0.07230061,0.13120966,116,180,327,50,90,163,0.02013769,0.03622023,0.06556364,0.21209981,0.31313011,0.43428145
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-26 00:00:00.000000,0.04705318,0.07448263,0.13422355,117,186,335,52,93,166,0.02106258,0.03725124,0.06662652,0.20681901,0.31709435,0.46026276
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-27 00:00:00.000000,0.04841126,0.07598634,0.13657906,121,189,341,56,95,168,0.02242079,0.03839316,0.06758268,0.20586722,0.31930506,0.46192264
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-28 00:00:00.000000,0.04994414,0.07796356,0.14019111,124,194,350,59,98,172,0.02384433,0.03951907,0.06896978,0.20167852,0.32023703,0.46163990
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-29 00:00:00.000000,0.05009049,0.08201788,0.14606311,125,205,365,59,102,175,0.02398705,0.04097300,0.07032999,0.19976987,0.32791336,0.45995231
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-04-30 00:00:00.000000,0.05024741,0.08571382,0.15241085,125,214,380,60,106,184,0.02416919,0.04253020,0.07394086,0.20114457,0.33654794,0.45883855
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-01 00:00:00.000000,0.05044316,0.08906416,0.15958150,126,222,398,60,110,192,0.02427186,0.04405450,0.07709259,0.20367258,0.34045491,0.50274688
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-02 00:00:00.000000,0.05077483,0.09099584,0.16698891,126,227,417,61,115,199,0.02447079,0.04630968,0.07982483,0.20741205,0.34671724,0.51230009
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-03 00:00:00.000000,0.05148483,0.09451410,0.17531718,128,236,438,62,121,210,0.02480637,0.04854473,0.08436384,0.21253328,0.34787875,0.51054016
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-04 00:00:00.000000,0.05350556,0.10032661,0.18540822,133,250,463,63,126,222,0.02532136,0.05069310,0.08916539,0.21566956,0.35137188,0.50197868
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-05 00:00:00.000000,0.05596927,0.10595075,0.19607871,139,264,490,65,131,236,0.02603599,0.05272547,0.09479455,0.21600132,0.35144982,0.50237846
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-06 00:00:00.000000,0.05883949,0.11130675,0.20729838,147,278,518,67,138,252,0.02696050,0.05524768,0.10094654,0.22009038,0.36166268,0.49558654
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-07 00:00:00.000000,0.06209400,0.11649318,0.21620008,155,291,540,70,144,268,0.02809393,0.05798338,0.10734692,0.22757315,0.36495833,0.48638057
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-08 00:00:00.000000,0.06571563,0.12051234,0.22482069,164,301,561,73,152,284,0.02943105,0.06119185,0.11378281,0.23855681,0.36527826,0.51201308
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-09 00:00:00.000000,0.06968134,0.12501802,0.23373583,174,312,584,77,160,300,0.03096516,0.06413992,0.12012971,0.24262647,0.37400331,0.51361687
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-10 00:00:00.000000,0.07108877,0.13170467,0.24283256,177,329,606,81,167,315,0.03268760,0.06711441,0.12631536,0.24818530,0.37783588,0.51439459
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-11 00:00:00.000000,0.07339200,0.13983889,0.25226694,183,349,630,86,172,329,0.03458395,0.06913408,0.13168487,0.25672967,0.38483995,0.51487177
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-12 00:00:00.000000,0.07623185,0.14833444,0.26201896,190,370,654,93,181,345,0.03725677,0.07247855,0.13815894,0.26549294,0.39033443,0.51514500
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-13 00:00:00.000000,0.07955492,0.15626403,0.27439992,198,390,685,101,190,358,0.04046825,0.07638140,0.14358430,0.27166500,0.39227728,0.51903921
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-14 00:00:00.000000,0.08451631,0.16377839,0.28280890,211,409,706,104,200,371,0.04190231,0.08026940,0.14880809,0.27600016,0.39860726,0.51723756
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-15 00:00:00.000000,0.09110643,0.17197298,0.29581194,227,429,739,108,208,386,0.04346580,0.08354310,0.15445851,0.27536665,0.39982902,0.51549106
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-16 00:00:00.000000,0.09815578,0.17706003,0.30976596,245,442,774,113,217,401,0.04522454,0.08701555,0.16046596,0.28331479,0.40093987,0.51759908
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-17 00:00:00.000000,0.10394438,0.18645237,0.32454597,259,466,811,117,225,416,0.04713544,0.09015480,0.16663985,0.29069944,0.40481787,0.52542338
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-18 00:00:00.000000,0.10963589,0.19557825,0.34010785,274,488,850,122,232,432,0.04916809,0.09312233,0.17297099,0.29339679,0.41146636,0.55291920
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-19 00:00:00.000000,0.11586063,0.20599953,0.35648595,289,514,891,127,245,446,0.05109972,0.09839800,0.17878479,0.28990446,0.41420301,0.55382412
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-20 00:00:00.000000,0.12254524,0.21800741,0.37358879,306,544,933,132,259,465,0.05298659,0.10382852,0.18609305,0.30304912,0.41273910,0.54818690
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-21 00:00:00.000000,0.12961819,0.23014649,0.39139550,323,575,978,139,272,483,0.05565593,0.10898571,0.19341885,0.30770853,0.41494125,0.55041702
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-22 00:00:00.000000,0.13505191,0.24394680,0.40990413,337,609,1024,146,285,504,0.05857208,0.11407693,0.20186132,0.30296672,0.42163330,0.54875412
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-23 00:00:00.000000,0.13937180,0.25890490,0.42908710,348,647,1072,154,300,528,0.06166880,0.12020819,0.21127063,0.29360597,0.41800119,0.54942443
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-24 00:00:00.000000,0.14384808,0.27265703,0.45153692,359,681,1128,162,318,553,0.06502746,0.12751570,0.22152273,0.28496656,0.41659125,0.54923401
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-25 00:00:00.000000,0.14968487,0.28728260,0.47612451,374,718,1190,171,338,583,0.06869174,0.13524459,0.23361699,0.27994067,0.42042362,0.54827602
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-26 00:00:00.000000,0.15570056,0.30116285,0.50070086,389,752,1251,181,358,611,0.07252267,0.14347565,0.24461968,0.27833487,0.42781165,0.54589783
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-27 00:00:00.000000,0.16778197,0.31939679,0.52605116,419,798,1314,191,380,643,0.07661304,0.15220486,0.25728961,0.27581289,0.42589949,0.54410818
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-28 00:00:00.000000,0.18054794,0.33626625,0.55264609,451,840,1381,202,400,682,0.08097626,0.16042838,0.27311696,0.27576840,0.42072973,0.53070656
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-29 00:00:00.000000,0.19379864,0.35142089,0.58074277,484,878,1451,214,422,728,0.08565566,0.16914975,0.29153397,0.27916401,0.41074060,0.52204481
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-30 00:00:00.000000,0.20743814,0.37156855,0.61029680,518,928,1525,226,449,773,0.09066564,0.17974406,0.30941959,0.28188855,0.40788010,0.52398734
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-05-31 00:00:00.000000,0.22136817,0.39097091,0.64088091,553,977,1601,239,470,815,0.09596304,0.18823864,0.32619648,0.28310081,0.40377003,0.52105128
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-06-01 00:00:00.000000,0.23340680,0.40746870,0.67104587,583,1018,1677,253,490,854,0.10149489,0.19642981,0.34195920,0.27341909,0.39923108,0.51412259
29047,0,USMissouriClay,Missouri,Clay,2020-10-16 21:41:56.613062,2020-06-02 00:00:00.000000,0.24529174,0.42546378,0.70052408,613,1063,1750,266,510,893,0.10682209,0.20436738,0.35735082,0.26939390,0.39041996,0.50257130
