FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29049,0,USMissouriClinton,Missouri,Clinton,2020-10-16 22:19:59.000089,2020-03-09 00:00:00.000000,0.00502848,0.02388146,0.05362060,1,4,10,0,2,6,0.00261732,0.01325563,0.03177918,0.35529252,0.51601832,0.74086847
29049,0,USMissouriClinton,Missouri,Clinton,2020-10-16 22:19:59.000089,2020-03-10 00:00:00.000000,0.00552133,0.02583926,0.05987457,1,5,12,0,2,6,0.00243922,0.01356970,0.03053889,0.35529470,0.51601832,0.74086791
29049,0,USMissouriClinton,Missouri,Clinton,2020-10-16 22:19:59.000089,2020-03-11 00:00:00.000000,0.00600665,0.02804611,0.06677293,1,5,13,0,2,6,0.00248756,0.01408667,0.03372505,0.35530057,0.51601832,0.74086636
29049,0,USMissouriClinton,Missouri,Clinton,2020-10-16 22:19:59.000089,2020-03-12 00:00:00.000000,0.00650114,0.03020644,0.07428258,1,6,15,0,3,7,0.00282534,0.01475949,0.03759818,0.35531643,0.51601831,0.74086202
29049,0,USMissouriClinton,Missouri,Clinton,2020-10-16 22:19:59.000089,2020-03-13 00:00:00.000000,0.00700679,0.03256374,0.08245820,1,6,16,0,3,8,0.00293514,0.01567548,0.04190814,0.35535931,0.51601830,0.74084950
29049,0,USMissouriClinton,Missouri,Clinton,2020-10-16 22:19:59.000089,2020-03-14 00:00:00.000000,0.00780283,0.03502925,0.09132652,1,7,18,0,3,9,0.00312056,0.01686227,0.04663707,0.35547558,0.51601821,0.74081244
29049,0,USMissouriClinton,Missouri,Clinton,2020-10-16 22:19:59.000089,2020-03-15 00:00:00.000000,0.00870021,0.03793450,0.10087020,1,7,20,0,3,10,0.00337910,0.01798129,0.05178593,0.35579070,0.51251122,0.74070055
29049,0,USMissouriClinton,Missouri,Clinton,2020-10-16 22:19:59.000089,2020-03-16 00:00:00.000000,0.01519689,0.05081094,0.11560908,3,10,23,0,3,11,0.00365210,0.01873423,0.05650728,0.34287547,0.50039737,0.73777197
29049,0,USMissouriClinton,Missouri,Clinton,2020-10-16 22:19:59.000089,2020-03-17 00:00:00.000000,0.02238854,0.06022088,0.13072493,4,12,26,1,4,12,0.00643689,0.02279148,0.06190030,0.32475852,0.49459738,0.71720075
29049,0,USMissouriClinton,Missouri,Clinton,2020-10-16 22:19:59.000089,2020-03-18 00:00:00.000000,0.02915043,0.07190378,0.14630576,5,14,29,1,5,13,0.00916050,0.02674038,0.06818176,0.31723446,0.48489307,0.68192997
