FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29071,0,USMissouriFranklin,Missouri,Franklin,2020-11-09 07:45:18.686227,2020-03-09 00:00:00.000000,0.00161610,0.01059168,0.03210320,1,11,33,0,6,14,0.00078196,0.00585720,0.01378083,0.44548412,0.66030009,0.87249817
29071,0,USMissouriFranklin,Missouri,Franklin,2020-11-09 07:45:18.686227,2020-03-10 00:00:00.000000,0.00204280,0.01230896,0.03592475,2,12,37,0,6,15,0.00083431,0.00601553,0.01482623,0.44548412,0.66029555,0.87196436
29071,0,USMissouriFranklin,Missouri,Franklin,2020-11-09 07:45:18.686227,2020-03-11 00:00:00.000000,0.00248897,0.01385141,0.04015500,2,14,41,1,6,16,0.00099021,0.00658572,0.01610066,0.44548411,0.66028813,0.87109425
29071,0,USMissouriFranklin,Missouri,Franklin,2020-11-09 07:45:18.686227,2020-03-12 00:00:00.000000,0.00297031,0.01534460,0.04486215,3,15,46,1,7,18,0.00119288,0.00734818,0.01766540,0.44548407,0.66027589,0.86968468
29071,0,USMissouriFranklin,Missouri,Franklin,2020-11-09 07:45:18.686227,2020-03-13 00:00:00.000000,0.00349915,0.01677248,0.05011192,3,17,52,1,8,20,0.00142816,0.00803646,0.01947156,0.44548396,0.66025550,0.86742379
29071,0,USMissouriFranklin,Missouri,Franklin,2020-11-09 07:45:18.686227,2020-03-14 00:00:00.000000,0.00408690,0.01881233,0.05597235,4,19,58,1,9,22,0.00169282,0.00902836,0.02148633,0.44548364,0.66022070,0.86385466
29071,0,USMissouriFranklin,Missouri,Franklin,2020-11-09 07:45:18.686227,2020-03-15 00:00:00.000000,0.00474520,0.02068466,0.06251631,4,21,64,2,10,24,0.00198857,0.01018206,0.02372475,0.44548265,0.66015874,0.85835940
29071,0,USMissouriFranklin,Missouri,Franklin,2020-11-09 07:45:18.686227,2020-03-16 00:00:00.000000,0.00730680,0.02729590,0.07103996,7,28,73,2,11,27,0.00231959,0.01132832,0.02620623,0.44547971,0.66004011,0.85021565
29071,0,USMissouriFranklin,Missouri,Franklin,2020-11-09 07:45:18.686227,2020-03-17 00:00:00.000000,0.01256844,0.03321957,0.08040824,13,34,83,3,13,30,0.00311888,0.01321924,0.02951276,0.44501600,0.65843966,0.85226832
29071,0,USMissouriFranklin,Missouri,Franklin,2020-11-09 07:45:18.686227,2020-03-18 00:00:00.000000,0.01829575,0.03942384,0.09080249,19,40,94,4,17,34,0.00423706,0.01646594,0.03346796,0.44276091,0.65022924,0.85957152
