FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-09 00:00:00.000000,0.00928030,0.03853459,0.09482552,0,3,7,0,1,4,0.00547760,0.02100510,0.05547922,0.36306449,0.50868901,0.66022094
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-10 00:00:00.000000,0.01008387,0.04346965,0.10075040,0,3,8,0,1,4,0.00544655,0.02076876,0.05435788,0.36296904,0.50868881,0.66010509
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-11 00:00:00.000000,0.01090866,0.04907752,0.10656812,0,4,8,0,1,4,0.00549009,0.02212849,0.05532601,0.36279831,0.50868839,0.65987468
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-12 00:00:00.000000,0.01177132,0.05425679,0.11471280,0,4,9,0,2,4,0.00576319,0.02401755,0.05926750,0.36249258,0.50861982,0.65941644
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-13 00:00:00.000000,0.01268284,0.05955970,0.12349001,1,4,10,0,2,5,0.00617485,0.02587565,0.06221833,0.36194534,0.50861895,0.65850614
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-14 00:00:00.000000,0.01365018,0.06608458,0.13053676,1,5,10,0,2,5,0.00667472,0.02792964,0.06539971,0.36099079,0.50836536,0.65670358
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-15 00:00:00.000000,0.01467650,0.07136740,0.13973561,1,5,11,0,2,5,0.00723576,0.03010444,0.06866170,0.35940367,0.50603009,0.65542998
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-16 00:00:00.000000,0.02652040,0.08494667,0.16718345,2,7,13,0,2,6,0.00784387,0.03276302,0.07188933,0.35657836,0.50460318,0.65533236
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-17 00:00:00.000000,0.03837788,0.09937997,0.20597858,3,8,17,0,3,6,0.01051241,0.03831066,0.08354498,0.35168844,0.49313394,0.65509109
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-18 00:00:00.000000,0.04949626,0.11548177,0.24900486,4,9,20,1,3,8,0.01490063,0.04540378,0.10047227,0.33874306,0.47596152,0.65386202
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-19 00:00:00.000000,0.06111881,0.13468230,0.29447574,5,11,24,1,4,10,0.02012520,0.05220727,0.12049833,0.30654867,0.46411335,0.61640396
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-20 00:00:00.000000,0.07312721,0.15177390,0.33887249,6,12,28,2,5,11,0.02586567,0.06227336,0.14249407,0.27596759,0.44077467,0.60808407
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-21 00:00:00.000000,0.08537660,0.16640214,0.38226235,7,13,31,2,6,14,0.03190374,0.07340511,0.17103862,0.26487111,0.42075118,0.57967850
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-22 00:00:00.000000,0.09724640,0.18401590,0.42403098,8,15,35,3,6,16,0.03816886,0.08269942,0.20025303,0.26145898,0.39777037,0.55210587
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-23 00:00:00.000000,0.11278711,0.21011393,0.44621162,9,17,37,3,7,18,0.04461213,0.09323406,0.22640680,0.24099241,0.37984583,0.52481580
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-24 00:00:00.000000,0.12920768,0.23246372,0.47841580,10,19,39,4,8,20,0.05355353,0.10337990,0.24743625,0.22718511,0.36600243,0.49356960
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-25 00:00:00.000000,0.14291986,0.25260851,0.51332656,11,21,42,4,9,22,0.05895213,0.11537136,0.26816262,0.21803528,0.34934061,0.48473375
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-26 00:00:00.000000,0.15184784,0.27371956,0.55570136,12,22,46,5,10,24,0.06419605,0.12904387,0.29308990,0.21590673,0.33660288,0.47734061
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-27 00:00:00.000000,0.15979336,0.29803697,0.60022042,13,24,50,5,11,26,0.07035875,0.13912472,0.31874668,0.21005561,0.31716871,0.46901221
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-28 00:00:00.000000,0.16645467,0.32496060,0.64690801,13,27,54,6,12,28,0.07736770,0.15053745,0.34544548,0.19870654,0.30563969,0.44274526
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-29 00:00:00.000000,0.17194111,0.34737027,0.69577628,14,29,58,7,13,31,0.08406701,0.16497987,0.37338443,0.19227918,0.29663301,0.41796577
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-30 00:00:00.000000,0.18886850,0.37101681,0.76070986,15,30,63,7,15,33,0.09049923,0.17987428,0.40263913,0.18246770,0.28947524,0.39946895
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-03-31 00:00:00.000000,0.21175167,0.39848223,0.77050251,17,33,64,8,16,35,0.09780815,0.19268705,0.42410825,0.17980451,0.27819873,0.37504112
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-01 00:00:00.000000,0.22503225,0.42127000,0.79183969,18,35,66,8,17,37,0.10246611,0.20901492,0.45470047,0.17414623,0.26680182,0.37769571
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-02 00:00:00.000000,0.23055702,0.44745898,0.84097153,19,37,70,9,18,40,0.10898623,0.22166228,0.48427971,0.17281746,0.25980118,0.36718204
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-03 00:00:00.000000,0.23567636,0.47147504,0.89239295,19,39,74,10,19,42,0.11985241,0.23349840,0.51177980,0.17156006,0.25439718,0.36167070
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-04 00:00:00.000000,0.24052252,0.49142106,0.94498854,20,41,78,10,20,44,0.13061344,0.24423107,0.53620351,0.16781129,0.24524076,0.33888003
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-05 00:00:00.000000,0.24516049,0.50580891,0.97438452,20,42,81,11,21,46,0.14101610,0.25516112,0.55714444,0.15732361,0.23063264,0.31948507
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-06 00:00:00.000000,0.24116916,0.50900269,0.98092029,20,42,81,12,22,48,0.14461842,0.26408086,0.58473192,0.15540954,0.22348327,0.31086155
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-07 00:00:00.000000,0.23706235,0.50882831,0.98531229,19,42,82,12,22,50,0.14578624,0.27430123,0.60860698,0.15410202,0.21650730,0.31220380
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-08 00:00:00.000000,0.23278563,0.50854027,0.98597080,19,42,82,12,23,52,0.14553095,0.28412740,0.62317213,0.15084716,0.20982222,0.30696747
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-09 00:00:00.000000,0.22872575,0.50214185,0.98289565,19,41,82,12,24,52,0.14436177,0.28989942,0.62297602,0.14499228,0.20798620,0.28415621
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-10 00:00:00.000000,0.22522860,0.49763374,0.97112427,18,41,81,11,24,51,0.14268086,0.28759621,0.61856007,0.14448659,0.19834593,0.27684652
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-11 00:00:00.000000,0.22216382,0.49378641,0.96185399,18,41,80,11,23,50,0.14080180,0.28248821,0.61001556,0.14294922,0.19086060,0.27700650
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-12 00:00:00.000000,0.21927782,0.48772432,0.94512614,18,40,78,11,23,49,0.13485553,0.28065335,0.59783521,0.13593860,0.18482658,0.27798623
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-13 00:00:00.000000,0.21647551,0.48206319,0.92550005,18,40,77,10,23,48,0.12871656,0.27702540,0.58329345,0.13045509,0.18141946,0.27850218
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-14 00:00:00.000000,0.21024807,0.47510119,0.90320455,17,39,75,10,22,47,0.12256248,0.27305117,0.56747737,0.12661565,0.17992975,0.27795284
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-15 00:00:00.000000,0.19932535,0.46063813,0.87859458,16,38,73,9,22,46,0.11650940,0.26480448,0.55472083,0.11852247,0.17773166,0.27595516
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-16 00:00:00.000000,0.19923117,0.44894937,0.85241957,16,37,71,9,21,46,0.11335636,0.25742650,0.55105792,0.11832370,0.17689601,0.27177966
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-17 00:00:00.000000,0.20071920,0.44037908,0.82476876,16,36,68,9,20,45,0.11252627,0.25118473,0.54643453,0.11676152,0.17551973,0.25722703
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-18 00:00:00.000000,0.20162539,0.42828814,0.79704756,16,35,66,9,20,45,0.11196032,0.24594366,0.54094765,0.11410426,0.17220789,0.25592354
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-19 00:00:00.000000,0.20036946,0.41488843,0.76966294,16,34,64,9,20,44,0.11158215,0.24151181,0.53470556,0.11401282,0.17099141,0.25340719
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-20 00:00:00.000000,0.19769174,0.39990775,0.74284029,16,33,62,9,19,43,0.11126788,0.23689806,0.52393220,0.11209219,0.16930762,0.24948427
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-21 00:00:00.000000,0.19272716,0.38304620,0.71668102,16,31,59,9,19,42,0.11014614,0.22951571,0.50668961,0.10998572,0.16548121,0.24634702
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-22 00:00:00.000000,0.18763716,0.36649952,0.69117430,15,30,57,8,18,40,0.10532178,0.22194422,0.48938951,0.10834728,0.16430943,0.24498282
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-23 00:00:00.000000,0.17862941,0.35190486,0.66069206,14,29,55,8,17,38,0.10456324,0.21417397,0.46675590,0.10820773,0.16173268,0.23740624
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-24 00:00:00.000000,0.17002170,0.33915500,0.64152841,14,28,53,8,17,37,0.10179582,0.20565967,0.44472737,0.10872032,0.16206480,0.23449737
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-25 00:00:00.000000,0.16182636,0.32753959,0.61661741,13,27,51,8,16,35,0.09751933,0.19763702,0.42348669,0.10997014,0.16071227,0.23341870
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-26 00:00:00.000000,0.15406587,0.31762714,0.60187674,12,26,50,7,15,34,0.09332255,0.18956288,0.40944281,0.10757116,0.15912282,0.23325048
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-27 00:00:00.000000,0.16002145,0.33207029,0.60925009,13,27,50,7,15,33,0.08917666,0.18381682,0.40563110,0.10662993,0.15960029,0.23336083
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-28 00:00:00.000000,0.16654288,0.35134755,0.61734488,13,29,51,7,15,33,0.08877118,0.18328981,0.39907852,0.10366418,0.15988714,0.22202790
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-29 00:00:00.000000,0.17394630,0.34979059,0.63164823,14,29,52,7,15,33,0.09066965,0.18323115,0.39737055,0.10267182,0.15966205,0.22245215
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-04-30 00:00:00.000000,0.18182670,0.36531298,0.65494160,15,30,54,7,15,33,0.09394875,0.18627517,0.39790601,0.10254747,0.15821392,0.22249641
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-05-01 00:00:00.000000,0.18558258,0.38919869,0.67708500,15,32,56,8,16,33,0.09754898,0.19195211,0.40357823,0.10270372,0.16103617,0.22276568
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-05-02 00:00:00.000000,0.18549051,0.39157869,0.69319937,15,32,57,8,17,34,0.10147124,0.20509674,0.40883709,0.10290809,0.15745370,0.22350240
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-05-03 00:00:00.000000,0.18285295,0.40141264,0.72527812,15,33,60,8,17,34,0.10566404,0.21299000,0.41195404,0.10298320,0.15520423,0.22648402
29081,0,USMissouriHarrison,Missouri,Harrison,2020-12-05 06:10:00.785026,2020-05-04 00:00:00.000000,0.19646878,0.41123071,0.72077179,16,34,60,9,18,35,0.10996751,0.22409926,0.42153271,0.10108079,0.15302087,0.23802387
