FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-09 00:00:00.000000,0.00136290,0.00827373,0.03289354,0,3,13,0,1,7,0.00056628,0.00445031,0.01775238,0.38388874,0.53059113,0.72208468
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-10 00:00:00.000000,0.00155628,0.00912579,0.03533008,0,3,14,0,1,6,0.00055281,0.00446587,0.01678611,0.38383221,0.53058285,0.72192124
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-11 00:00:00.000000,0.00173840,0.00988029,0.03705349,0,3,14,0,1,7,0.00057768,0.00452872,0.01761006,0.38374257,0.53056392,0.72156769
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-12 00:00:00.000000,0.00191841,0.01064801,0.03881069,0,4,15,0,1,7,0.00062703,0.00471789,0.01863210,0.38360010,0.53051985,0.72079953
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-13 00:00:00.000000,0.00210265,0.01142565,0.04061776,0,4,16,0,1,7,0.00069246,0.00492576,0.01844359,0.38337296,0.52938540,0.71913124
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-14 00:00:00.000000,0.00229570,0.01212072,0.04360426,0,4,17,0,2,7,0.00076903,0.00519876,0.01852030,0.38300906,0.52934097,0.71553855
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-15 00:00:00.000000,0.00250099,0.01281091,0.04696208,1,5,18,0,2,7,0.00085401,0.00560699,0.01879049,0.38242212,0.52850596,0.70798281
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-16 00:00:00.000000,0.00427537,0.01708906,0.05842922,1,6,23,0,2,7,0.00094604,0.00604816,0.01922149,0.38146819,0.52496339,0.69291372
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-17 00:00:00.000000,0.00588509,0.02257846,0.06688027,2,9,26,0,2,9,0.00141385,0.00726618,0.02256547,0.36492151,0.51819033,0.68824677
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-18 00:00:00.000000,0.00808606,0.02692780,0.07677322,3,10,30,0,3,10,0.00187999,0.00889840,0.02729179,0.34364213,0.49789134,0.66381671
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-19 00:00:00.000000,0.01064220,0.03261991,0.08717114,4,13,34,0,4,11,0.00246538,0.01128063,0.02984400,0.31867895,0.47553597,0.64751162
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-20 00:00:00.000000,0.01175791,0.03834720,0.09665752,4,15,38,1,5,13,0.00331231,0.01371578,0.03293863,0.28402171,0.45853882,0.62680476
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-21 00:00:00.000000,0.01330012,0.04329898,0.10627413,5,17,42,1,6,15,0.00433567,0.01616289,0.03795245,0.26735404,0.43762307,0.62018119
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-22 00:00:00.000000,0.01496802,0.04749417,0.11606331,6,19,46,1,7,17,0.00483464,0.01904443,0.04328257,0.25926737,0.40845271,0.58215301
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-23 00:00:00.000000,0.01924762,0.05610523,0.12436088,7,22,49,2,8,19,0.00550938,0.02159285,0.04890647,0.24529861,0.39917677,0.56161784
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-24 00:00:00.000000,0.02351243,0.06147370,0.13542080,9,24,54,2,10,21,0.00672713,0.02493625,0.05389794,0.23228105,0.38372203,0.53433103
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-25 00:00:00.000000,0.02719697,0.06612153,0.14493530,10,26,58,3,11,23,0.00822958,0.02820538,0.05844547,0.22141622,0.37292876,0.51927911
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-26 00:00:00.000000,0.03020475,0.07087428,0.15361514,12,28,61,3,12,25,0.00962586,0.03112751,0.06266668,0.20938980,0.36096832,0.50683342
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-27 00:00:00.000000,0.03311467,0.07565363,0.16246984,13,30,65,4,13,27,0.01075507,0.03435401,0.06748949,0.19751175,0.34754894,0.47980246
29091,0,USMissouriHowell,Missouri,Howell,2020-10-27 18:22:11.827417,2020-03-28 00:00:00.000000,0.03608426,0.08081050,0.17124032,14,32,68,5,14,29,0.01266094,0.03684504,0.07449388,0.18213706,0.33290980,0.44759744
