FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-09 00:00:00.000000,0.00073989,0.00153568,0.00321607,5,10,22,1,4,9,0.00021672,0.00061028,0.00141980,0.45078680,0.65763385,0.87698085
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-10 00:00:00.000000,0.00096043,0.00212369,0.00405192,6,14,28,2,5,10,0.00029206,0.00071966,0.00154803,0.45078687,0.65761814,0.87697214
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-11 00:00:00.000000,0.00118474,0.00265218,0.00528220,8,18,37,2,6,12,0.00036167,0.00088228,0.00175323,0.45078718,0.65758445,0.87695942
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-12 00:00:00.000000,0.00144319,0.00317919,0.00674701,10,22,47,3,7,15,0.00045697,0.00113208,0.00219013,0.45078826,0.65751226,0.87694080
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-13 00:00:00.000000,0.00173801,0.00375767,0.00817339,12,26,57,4,9,18,0.00057116,0.00136961,0.00266714,0.45079166,0.65735779,0.87691325
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-14 00:00:00.000000,0.00205812,0.00440852,0.00969656,14,30,68,4,11,24,0.00070130,0.00165984,0.00345487,0.45080194,0.65702820,0.87687075
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-15 00:00:00.000000,0.00240626,0.00510238,0.01132698,16,35,79,5,13,31,0.00084595,0.00193311,0.00444201,0.45083224,0.65632916,0.87679572
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-16 00:00:00.000000,0.00298993,0.00592199,0.01240537,21,41,87,7,16,37,0.00100502,0.00231151,0.00531206,0.45092023,0.65486528,0.87661441
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-17 00:00:00.000000,0.00360677,0.00696280,0.01361189,25,48,95,8,19,42,0.00121835,0.00270773,0.00610787,0.45117279,0.65184382,0.87600755
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-18 00:00:00.000000,0.00427352,0.00831666,0.01531772,30,58,107,10,22,48,0.00147295,0.00316865,0.00688046,0.44811766,0.64498038,0.86836143
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-19 00:00:00.000000,0.00498518,0.00937857,0.01750874,35,65,123,12,26,56,0.00176451,0.00372220,0.00799003,0.42566095,0.63674526,0.84216970
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-20 00:00:00.000000,0.00574074,0.01059620,0.01988651,40,74,139,14,30,65,0.00208779,0.00430719,0.00937551,0.39988536,0.60471132,0.81786674
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-21 00:00:00.000000,0.00652931,0.01197490,0.02245349,45,84,157,16,35,73,0.00232469,0.00500555,0.01041467,0.37319577,0.58316808,0.80884721
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-22 00:00:00.000000,0.00724226,0.01335594,0.02526990,50,93,177,17,39,80,0.00252028,0.00568474,0.01148500,0.36500151,0.56731945,0.80515629
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-23 00:00:00.000000,0.00798840,0.01511939,0.02868054,56,106,201,19,44,91,0.00275170,0.00636345,0.01304788,0.35331874,0.55419292,0.77693428
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-24 00:00:00.000000,0.00865982,0.01683504,0.03189960,60,118,224,22,50,103,0.00316184,0.00717064,0.01477824,0.34405946,0.53463932,0.75332334
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-25 00:00:00.000000,0.00940247,0.01864916,0.03525244,66,131,247,25,56,117,0.00360912,0.00805224,0.01666991,0.34041650,0.52096326,0.72834552
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-26 00:00:00.000000,0.01043875,0.02030012,0.03936509,73,142,276,28,63,131,0.00408536,0.00905860,0.01872795,0.33489693,0.49959705,0.71282517
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-27 00:00:00.000000,0.01113849,0.02243566,0.04393139,78,157,308,32,71,147,0.00458654,0.01016553,0.02095347,0.33109966,0.48018220,0.71076794
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-28 00:00:00.000000,0.01185196,0.02418218,0.04898536,83,170,344,35,78,163,0.00510608,0.01118952,0.02332797,0.31904458,0.46925758,0.68727706
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-29 00:00:00.000000,0.01251486,0.02603729,0.05454142,87,183,383,39,84,181,0.00560289,0.01206089,0.02583344,0.31316481,0.45572202,0.65571318
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-30 00:00:00.000000,0.01354987,0.02781679,0.06000054,95,195,421,41,91,200,0.00596601,0.01295460,0.02846315,0.29451114,0.43395142,0.62482529
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-03-31 00:00:00.000000,0.01479303,0.02971379,0.06532638,103,208,459,44,97,219,0.00632078,0.01393521,0.03126964,0.28552536,0.41860239,0.59835886
29095,0,USMissouriJackson,Missouri,Jackson,2020-11-26 13:51:08.683154,2020-04-01 00:00:00.000000,0.01600377,0.03125223,0.07058009,112,219,496,47,104,240,0.00677286,0.01490125,0.03422787,0.26799354,0.41024611,0.57617228
