FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29145,0,USMissouriNewton,Missouri,Newton,2020-11-09 07:25:22.251149,2020-03-09 00:00:00.000000,0.00103321,0.00501492,0.01581470,0,2,9,0,1,4,0.00063969,0.00269269,0.00823430,0.39007024,0.53553965,0.71374248
29145,0,USMissouriNewton,Missouri,Newton,2020-11-09 07:25:22.251149,2020-03-10 00:00:00.000000,0.00115194,0.00565850,0.01725298,0,3,10,0,1,4,0.00062142,0.00281633,0.00849808,0.39007009,0.53553965,0.71374193
29145,0,USMissouriNewton,Missouri,Newton,2020-11-09 07:25:22.251149,2020-03-11 00:00:00.000000,0.00127322,0.00619011,0.01841542,0,3,10,0,1,5,0.00064612,0.00304380,0.00912977,0.39006961,0.53553965,0.71374015
29145,0,USMissouriNewton,Missouri,Newton,2020-11-09 07:25:22.251149,2020-03-12 00:00:00.000000,0.00140062,0.00676975,0.01966519,0,3,11,0,1,5,0.00069513,0.00331922,0.00971157,0.39006807,0.53553965,0.71373414
29145,0,USMissouriNewton,Missouri,Newton,2020-11-09 07:25:22.251149,2020-03-13 00:00:00.000000,0.00153636,0.00757881,0.02100481,0,4,12,0,2,6,0.00075886,0.00363752,0.01035266,0.39006301,0.53553965,0.71371331
29145,0,USMissouriNewton,Missouri,Newton,2020-11-09 07:25:22.251149,2020-03-14 00:00:00.000000,0.00168163,0.00846364,0.02243873,0,4,13,0,2,6,0.00083277,0.00400191,0.01123014,0.39004610,0.53553963,0.71363995
29145,0,USMissouriNewton,Missouri,Newton,2020-11-09 07:25:22.251149,2020-03-15 00:00:00.000000,0.00183686,0.00931214,0.02397211,1,5,13,0,2,7,0.00091470,0.00432395,0.01225943,0.38998898,0.53391795,0.71337895
29145,0,USMissouriNewton,Missouri,Newton,2020-11-09 07:25:22.251149,2020-03-16 00:00:00.000000,0.00374384,0.01169091,0.02734972,2,6,15,0,2,7,0.00100359,0.00473486,0.01336705,0.38979768,0.53329555,0.71244798
29145,0,USMissouriNewton,Missouri,Newton,2020-11-09 07:25:22.251149,2020-03-17 00:00:00.000000,0.00537182,0.01397926,0.03083251,3,8,17,1,3,8,0.00174982,0.00556095,0.01507311,0.38496936,0.52776068,0.70012488
29145,0,USMissouriNewton,Missouri,Newton,2020-11-09 07:25:22.251149,2020-03-18 00:00:00.000000,0.00722544,0.01679793,0.03539387,4,9,20,1,3,10,0.00237259,0.00660003,0.01742790,0.37005585,0.51313525,0.67731844
