FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-09 00:00:00.000000,0.00502913,0.03081970,0.20136625,0,0,5,0,0,3,0.00267989,0.01759559,0.11401090,0.40102309,0.53146024,0.69009206
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-10 00:00:00.000000,0.00585700,0.03402227,0.22666928,0,0,6,0,0,3,0.00272016,0.01673234,0.11138926,0.40102292,0.53146018,0.69009160
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-11 00:00:00.000000,0.00645769,0.03734365,0.25176866,0,1,7,0,0,3,0.00297857,0.01672514,0.11702034,0.40102257,0.53146005,0.69009007
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-12 00:00:00.000000,0.00706795,0.04093654,0.27786563,0,1,7,0,0,3,0.00310316,0.01768955,0.12756495,0.40102185,0.53145978,0.69008490
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-13 00:00:00.000000,0.00770971,0.04477155,0.30574170,0,1,8,0,0,4,0.00336883,0.01860420,0.14117805,0.40102033,0.53145919,0.69006711
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-14 00:00:00.000000,0.00839991,0.04885579,0.33594957,0,1,9,0,0,4,0.00386958,0.01965119,0.15708121,0.40101694,0.53145784,0.69000555
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-15 00:00:00.000000,0.00904132,0.05323890,0.36891198,0,1,10,0,0,4,0.00405698,0.02199010,0.17484616,0.40100891,0.53145458,0.68979167
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-16 00:00:00.000000,0.00976921,0.05869109,0.40490158,0,1,11,0,0,5,0.00427861,0.02488429,0.19432381,0.40098871,0.53144588,0.68904877
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-17 00:00:00.000000,0.01053816,0.06447696,0.44347732,0,1,12,0,0,6,0.00452948,0.02777234,0.21550464,0.38650917,0.52840049,0.68749741
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-18 00:00:00.000000,0.01134328,0.07028681,0.48047013,0,2,13,0,0,6,0.00480580,0.03073489,0.23830810,0.37114958,0.51061398,0.68730118
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-19 00:00:00.000000,0.01217349,0.07568884,0.50809884,0,2,14,0,0,7,0.00510430,0.03338003,0.25216785,0.37116359,0.49586962,0.68704527
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-20 00:00:00.000000,0.01301393,0.08114980,0.53067277,0,2,15,0,1,7,0.00548916,0.03616362,0.26566166,0.35932989,0.48578081,0.68672956
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-21 00:00:00.000000,0.01385325,0.08655246,0.55304622,0,2,15,0,1,7,0.00590138,0.03870024,0.27891536,0.34102981,0.47015706,0.65290986
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-22 00:00:00.000000,0.01469089,0.09212603,0.57621851,0,2,16,0,1,8,0.00632693,0.04099239,0.29154353,0.32314557,0.43680744,0.64306604
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-23 00:00:00.000000,0.01553639,0.09805702,0.60032239,0,2,17,0,1,8,0.00676219,0.04377801,0.30368812,0.32033304,0.41670705,0.63036247
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-24 00:00:00.000000,0.01640279,0.10413161,0.62527365,0,2,17,0,1,8,0.00720577,0.04639290,0.31541075,0.30647549,0.40192206,0.61860213
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-25 00:00:00.000000,0.01730142,0.11006122,0.65070009,0,3,18,0,1,9,0.00765842,0.04861688,0.32674828,0.26178016,0.39141215,0.60913784
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-26 00:00:00.000000,0.01824001,0.11511114,0.67547502,0,3,19,0,1,9,0.00812227,0.05047973,0.33767561,0.25768859,0.38218366,0.56248255
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-27 00:00:00.000000,0.01922191,0.12006375,0.69692938,0,3,19,0,1,9,0.00859999,0.05224968,0.34812445,0.24315178,0.36727821,0.53576370
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-28 00:00:00.000000,0.02024303,0.12514713,0.71150301,0,3,20,0,1,10,0.00909406,0.05395630,0.35802800,0.21894649,0.34786802,0.50133818
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-29 00:00:00.000000,0.02128421,0.12890170,0.71865359,0,3,20,0,1,10,0.00960577,0.05621686,0.36734862,0.20272890,0.34417037,0.49250128
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-30 00:00:00.000000,0.02230403,0.13240054,0.72118539,0,3,20,0,1,10,0.01013350,0.05899921,0.37609165,0.19448313,0.33335696,0.49166536
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-03-31 00:00:00.000000,0.02326384,0.13593854,0.72151777,0,3,20,0,1,10,0.01067038,0.06162125,0.38432002,0.19292981,0.32599609,0.48369179
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-01 00:00:00.000000,0.02417703,0.14206314,0.72075669,0,4,20,0,1,11,0.01120597,0.06442361,0.39212806,0.18484418,0.32123502,0.44130735
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-02 00:00:00.000000,0.02508480,0.14525708,0.71887836,0,4,20,0,1,11,0.01173420,0.06644479,0.39961961,0.17011442,0.30813744,0.43987756
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-03 00:00:00.000000,0.02601534,0.14832834,0.71572494,0,4,20,0,1,11,0.01225615,0.06847454,0.40688855,0.16518401,0.30439952,0.41245626
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-04 00:00:00.000000,0.02698275,0.15117114,0.71084834,0,4,20,0,2,11,0.01277652,0.07050746,0.40596108,0.15864143,0.29651446,0.40285072
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-05 00:00:00.000000,0.02799429,0.15372136,0.70305438,0,4,20,0,2,11,0.01330081,0.07264734,0.40216386,0.15420502,0.29003518,0.41173452
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-06 00:00:00.000000,0.02905306,0.15529722,0.69134249,0,4,19,0,2,11,0.01383411,0.07533586,0.39770689,0.14904044,0.28786683,0.39836887
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-07 00:00:00.000000,0.03015929,0.15726490,0.67580835,0,4,19,0,2,11,0.01438066,0.07668569,0.39278982,0.14490130,0.27494254,0.37641591
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-08 00:00:00.000000,0.03131226,0.15763575,0.65734459,0,4,18,0,2,11,0.01494366,0.07691382,0.38754799,0.14312630,0.26883238,0.38006698
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-09 00:00:00.000000,0.03251167,0.15783922,0.63677925,0,4,18,0,2,10,0.01552540,0.07824052,0.38199530,0.14382855,0.26341087,0.36875381
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-10 00:00:00.000000,0.03220177,0.15932926,0.61474903,0,4,17,0,2,10,0.01612757,0.07960526,0.37587456,0.14899006,0.25197694,0.36004404
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-11 00:00:00.000000,0.03131763,0.15921990,0.59188722,0,4,16,0,2,10,0.01675143,0.07953014,0.36941236,0.12703482,0.24816181,0.34954501
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-12 00:00:00.000000,0.03036776,0.15852896,0.56879175,0,4,16,0,2,10,0.01739779,0.07998429,0.36255221,0.11940590,0.24542040,0.34808783
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-13 00:00:00.000000,0.02937237,0.16136918,0.54590796,0,4,15,0,2,10,0.01806648,0.08043979,0.35533890,0.11334518,0.24470757,0.34667504
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-14 00:00:00.000000,0.02904775,0.16418150,0.53658244,0,4,15,0,2,9,0.01875463,0.08012916,0.34787625,0.11006151,0.24068065,0.34968673
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-15 00:00:00.000000,0.03007866,0.16598620,0.53993177,0,4,15,0,2,9,0.01854661,0.07940981,0.34026909,0.10886462,0.23671330,0.35060555
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-16 00:00:00.000000,0.03106375,0.16628274,0.54327754,0,4,15,0,2,9,0.01794385,0.07866172,0.33260255,0.10919313,0.23286895,0.35054998
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-17 00:00:00.000000,0.03188573,0.16423007,0.54662336,0,4,15,0,2,9,0.01734101,0.07937875,0.32493913,0.11021372,0.23374297,0.34651141
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-18 00:00:00.000000,0.03247523,0.16181662,0.54988704,0,4,15,0,2,9,0.01674514,0.08092275,0.32494817,0.11056615,0.22175542,0.32123871
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-19 00:00:00.000000,0.03290053,0.15937602,0.53934720,0,4,15,0,2,9,0.01653959,0.08165988,0.31642837,0.11064472,0.21594689,0.32320874
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-20 00:00:00.000000,0.03325441,0.15614611,0.51718765,0,4,14,0,2,8,0.01692873,0.08067590,0.30368869,0.11029063,0.21181821,0.32405382
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-21 00:00:00.000000,0.03360692,0.14962764,0.49530765,0,4,14,0,2,8,0.01726886,0.07955398,0.29130046,0.11024493,0.20382116,0.32418921
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-22 00:00:00.000000,0.03396067,0.14645176,0.47368627,0,4,13,0,2,7,0.01756903,0.07845141,0.28041375,0.10740552,0.20079625,0.32343419
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-23 00:00:00.000000,0.03431462,0.14684917,0.45219524,0,4,12,0,2,7,0.01783850,0.07805768,0.26982442,0.10380174,0.20078369,0.32080786
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-24 00:00:00.000000,0.03467366,0.14751858,0.44252693,0,4,12,0,2,7,0.01808514,0.07693890,0.25905278,0.09808968,0.20033978,0.31480519
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-25 00:00:00.000000,0.03335936,0.14417133,0.43285139,0,4,12,0,2,7,0.01831541,0.07536746,0.24814699,0.09152324,0.19638324,0.30355131
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-26 00:00:00.000000,0.03158072,0.13960598,0.42219912,0,3,12,0,2,6,0.01804705,0.07375053,0.24254339,0.08621255,0.19393890,0.30026884
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-27 00:00:00.000000,0.02983252,0.13473414,0.41047068,0,3,11,0,2,6,0.01712061,0.07290166,0.23728317,0.08305621,0.19251064,0.29786313
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-28 00:00:00.000000,0.02803454,0.13000571,0.39828120,0,3,11,0,2,6,0.01622284,0.07255826,0.23155503,0.08000537,0.18980161,0.29268892
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-29 00:00:00.000000,0.02620902,0.12666052,0.38564186,0,3,10,0,2,6,0.01533660,0.07195100,0.22632122,0.07441040,0.18572877,0.28248526
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-04-30 00:00:00.000000,0.02583269,0.12429029,0.38744877,0,3,11,0,2,6,0.01445350,0.07163176,0.22152575,0.07417859,0.18478786,0.28614666
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-05-01 00:00:00.000000,0.02601151,0.12379863,0.38866233,0,3,11,0,2,6,0.01370450,0.07116404,0.22090226,0.07408385,0.18285126,0.29265861
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-05-02 00:00:00.000000,0.02618823,0.12286368,0.38899811,0,3,11,0,1,6,0.01384156,0.06916062,0.22252881,0.07408295,0.17967200,0.29676890
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-05-03 00:00:00.000000,0.02636609,0.12233988,0.38859532,0,3,11,0,1,6,0.01396898,0.06853723,0.22361149,0.07575995,0.17599670,0.29603699
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-05-04 00:00:00.000000,0.02654551,0.12185762,0.38761807,0,3,11,0,1,6,0.01408953,0.06745553,0.22419491,0.07850398,0.17092238,0.29499076
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-05-05 00:00:00.000000,0.02672391,0.11945120,0.38623822,0,3,10,0,1,6,0.01420527,0.06754867,0.22434320,0.08043768,0.16939168,0.29405998
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-05-06 00:00:00.000000,0.02673711,0.11710159,0.38459286,0,3,10,0,1,6,0.01431731,0.06535531,0.22413418,0.08093452,0.17050001,0.29096992
30025,0,USMontanaFallon,Montana,Fallon,2020-10-31 22:24:52.599137,2020-05-07 00:00:00.000000,0.02518767,0.11480513,0.37683220,0,3,10,0,1,6,0.01432016,0.06466716,0.22246804,0.08144098,0.16790130,0.28007002
