FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-09 00:00:00.000000,0.00222638,0.01485468,0.05737011,0,1,6,0,0,4,0.00122507,0.00786398,0.03628920,0.40655339,0.53638939,0.76074218
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-10 00:00:00.000000,0.00243439,0.01613069,0.06180102,0,1,6,0,0,3,0.00120770,0.00768907,0.03483773,0.40655140,0.53636503,0.76074217
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-11 00:00:00.000000,0.00264481,0.01748712,0.06832176,0,1,7,0,0,3,0.00122997,0.00794678,0.03450671,0.40654566,0.53632309,0.76074217
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-12 00:00:00.000000,0.00286264,0.01948744,0.07487713,0,2,8,0,0,4,0.00127999,0.00812592,0.03638279,0.40652899,0.53625050,0.76074217
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-13 00:00:00.000000,0.00309761,0.02115204,0.08154433,0,2,9,0,0,4,0.00135041,0.00875536,0.03980667,0.40648046,0.53612426,0.76074217
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-14 00:00:00.000000,0.00360695,0.02318838,0.08838552,0,2,9,0,1,4,0.00149057,0.00955443,0.04354726,0.40633916,0.53590398,0.76074214
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-15 00:00:00.000000,0.00418733,0.02552060,0.09545298,0,2,10,0,1,5,0.00175261,0.01047105,0.04749586,0.40592897,0.53551913,0.76073017
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-16 00:00:00.000000,0.00485135,0.02844376,0.10279121,0,3,11,0,1,5,0.00205179,0.01138898,0.05161985,0.40475117,0.53484815,0.76042244
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-17 00:00:00.000000,0.00561290,0.03172980,0.11043609,0,3,12,0,1,6,0.00239338,0.01223399,0.05591590,0.40147788,0.52667776,0.76000229
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-18 00:00:00.000000,0.00636791,0.03366479,0.11840925,0,3,13,0,1,6,0.00257563,0.01330064,0.05934788,0.38860428,0.51850307,0.75447786
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-19 00:00:00.000000,0.00658972,0.03587046,0.12670367,0,3,14,0,1,6,0.00272627,0.01413331,0.06278186,0.37141807,0.49918630,0.75349764
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-20 00:00:00.000000,0.00678751,0.03937196,0.13571058,0,4,14,0,1,7,0.00286574,0.01534216,0.06640886,0.35238509,0.46712347,0.74802989
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-21 00:00:00.000000,0.00697624,0.04263458,0.14582606,0,4,16,0,1,7,0.00299372,0.01691681,0.07022150,0.33306569,0.45058002,0.71968090
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-22 00:00:00.000000,0.00716427,0.04494460,0.15633812,0,4,17,0,2,8,0.00311211,0.01817819,0.07421403,0.32015333,0.43184242,0.66859339
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-23 00:00:00.000000,0.00735982,0.04665967,0.16528405,0,5,18,0,2,8,0.00322346,0.01928220,0.07834720,0.31426753,0.40818320,0.62630371
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-24 00:00:00.000000,0.00758144,0.04801283,0.17222109,0,5,19,0,2,9,0.00333073,0.02038331,0.08234744,0.28550145,0.39897053,0.61751376
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-25 00:00:00.000000,0.00784569,0.04941268,0.17913689,0,5,19,0,2,9,0.00343861,0.02187018,0.08572242,0.27362395,0.38607294,0.60917543
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-26 00:00:00.000000,0.00814055,0.05058295,0.18618855,0,5,20,0,2,9,0.00355274,0.02329035,0.08843898,0.25361891,0.37335582,0.58766622
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-27 00:00:00.000000,0.00845324,0.05199870,0.19335113,0,5,21,0,2,10,0.00367571,0.02424617,0.09062793,0.24121168,0.37179922,0.58593720
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-28 00:00:00.000000,0.00877861,0.05415618,0.19888695,0,5,21,0,2,10,0.00380914,0.02499568,0.09239659,0.22273834,0.36436754,0.58018513
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-29 00:00:00.000000,0.00911716,0.05625936,0.19723764,1,6,21,0,2,10,0.00395034,0.02607753,0.09351731,0.22230975,0.34564666,0.55729409
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-30 00:00:00.000000,0.00959061,0.05840325,0.19547008,1,6,21,0,3,10,0.00421202,0.02721291,0.09410657,0.20702192,0.32934964,0.51821406
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-03-31 00:00:00.000000,0.00996121,0.06062116,0.19361168,1,6,21,0,3,10,0.00454241,0.02840103,0.09429091,0.18246787,0.31755120,0.50420359
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-01 00:00:00.000000,0.01020044,0.06161968,0.19168292,1,6,21,0,3,10,0.00483268,0.02963515,0.09491815,0.18221615,0.30818881,0.47871572
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-02 00:00:00.000000,0.01058405,0.06193671,0.18964932,1,6,20,0,3,10,0.00506978,0.03089163,0.09711505,0.18194906,0.30035262,0.46766871
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-03 00:00:00.000000,0.01098008,0.06270107,0.18747974,1,6,20,0,3,10,0.00525460,0.03161471,0.09912811,0.18093932,0.28170785,0.46742359
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-04 00:00:00.000000,0.01138947,0.06470162,0.18508663,1,7,20,0,3,11,0.00539119,0.03185390,0.10091469,0.17748432,0.27583600,0.47237781
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-05 00:00:00.000000,0.01181866,0.06636244,0.19266763,1,7,21,0,3,11,0.00548608,0.03205810,0.10242679,0.15948790,0.26690519,0.45232387
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-06 00:00:00.000000,0.01226114,0.06681973,0.20179052,1,7,22,0,3,11,0.00554720,0.03265104,0.10362506,0.14645763,0.25698611,0.44759948
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-07 00:00:00.000000,0.01271907,0.06736196,0.20361178,1,7,22,0,3,11,0.00558230,0.03334847,0.10449058,0.13131784,0.25097254,0.41850640
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-08 00:00:00.000000,0.01319208,0.06685957,0.19818235,1,7,21,0,3,11,0.00571367,0.03334900,0.10802105,0.13076920,0.24513306,0.41666646
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-09 00:00:00.000000,0.01367792,0.06828495,0.19273245,1,7,21,0,3,12,0.00592558,0.03492145,0.11034709,0.13072325,0.24170174,0.39810210
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-10 00:00:00.000000,0.01417847,0.06804775,0.18734280,1,7,20,0,3,12,0.00614441,0.03501244,0.10953093,0.12864038,0.23899190,0.38442705
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-11 00:00:00.000000,0.01469665,0.06869519,0.18192689,1,7,20,0,3,11,0.00637110,0.03550131,0.10790898,0.12759442,0.23545246,0.37075982
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-12 00:00:00.000000,0.01523385,0.07008816,0.17664117,1,7,19,0,3,11,0.00660604,0.03555248,0.10567559,0.12735681,0.23520210,0.36707493
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-13 00:00:00.000000,0.02603530,0.08215316,0.17683125,2,9,19,0,3,11,0.00684889,0.03539269,0.10428092,0.12729916,0.22630551,0.36372494
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-14 00:00:00.000000,0.03453207,0.08810364,0.19881472,3,9,21,0,4,11,0.00849111,0.03716404,0.10510023,0.12728179,0.22203315,0.36147992
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-15 00:00:00.000000,0.04260824,0.10445005,0.22653498,4,11,25,1,4,11,0.01117132,0.04033847,0.10463413,0.12270927,0.22144309,0.36036158
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-16 00:00:00.000000,0.04816032,0.11863863,0.25580202,5,13,28,1,4,11,0.01463714,0.04444128,0.10415741,0.11460016,0.21665454,0.35981659
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-17 00:00:00.000000,0.05375438,0.13001945,0.30313969,5,14,33,2,5,11,0.01849840,0.05272923,0.10499322,0.10940143,0.21097171,0.34926097
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-18 00:00:00.000000,0.06031630,0.14201068,0.35025602,6,15,38,2,6,12,0.02191663,0.05993393,0.11366681,0.10587019,0.20460486,0.32548863
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-19 00:00:00.000000,0.06226188,0.15350791,0.39150612,6,16,43,2,7,13,0.02559183,0.06451916,0.12040956,0.10299129,0.20019658,0.30817838
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-20 00:00:00.000000,0.07201160,0.16233230,0.40375136,7,17,44,3,7,14,0.02946658,0.06985057,0.13230100,0.09783526,0.19567982,0.30158380
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-21 00:00:00.000000,0.07769900,0.17543514,0.41567824,8,19,45,3,8,15,0.03485642,0.07746123,0.14286973,0.09572273,0.19182995,0.29967592
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-22 00:00:00.000000,0.08156312,0.18767044,0.42710617,9,20,47,4,9,16,0.03914328,0.08382989,0.15235288,0.09561071,0.18866370,0.30062244
30027,0,USMontanaFergus,Montana,Fergus,2020-12-05 05:11:58.723016,2020-04-23 00:00:00.000000,0.08768374,0.19942680,0.43801879,9,22,48,4,9,17,0.03984906,0.08998838,0.16093814,0.09301281,0.18105391,0.30144592
