FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
30077,0,USMontanaPowell,Montana,Powell,2020-11-09 06:58:49.690852,2020-03-09 00:00:00.000000,0.00120046,0.01258704,0.05015525,0,0,3,0,0,1,0.00061546,0.00668705,0.02606696,0.38570142,0.52157258,0.67361955
30077,0,USMontanaPowell,Montana,Powell,2020-11-09 06:58:49.690852,2020-03-10 00:00:00.000000,0.00140923,0.01443368,0.05398828,0,0,3,0,0,1,0.00059931,0.00659555,0.02510950,0.38570140,0.52154732,0.67361100
30077,0,USMontanaPowell,Montana,Powell,2020-11-09 06:58:49.690852,2020-03-11 00:00:00.000000,0.00165564,0.01607809,0.05789626,0,1,3,0,0,1,0.00063532,0.00695818,0.02487108,0.38570135,0.52148786,0.67358786
30077,0,USMontanaPowell,Montana,Powell,2020-11-09 06:58:49.690852,2020-03-12 00:00:00.000000,0.00190491,0.01783752,0.06194867,0,1,4,0,0,1,0.00070683,0.00771544,0.02512759,0.38570115,0.52134813,0.67352522
30077,0,USMontanaPowell,Montana,Powell,2020-11-09 06:58:49.690852,2020-03-13 00:00:00.000000,0.00216759,0.01916605,0.06619439,0,1,4,0,0,1,0.00080414,0.00837887,0.02573320,0.38570030,0.52102080,0.67335561
30077,0,USMontanaPowell,Montana,Powell,2020-11-09 06:58:49.690852,2020-03-14 00:00:00.000000,0.00245172,0.02077641,0.07067049,0,1,4,0,0,1,0.00092199,0.00932784,0.02712468,0.38569664,0.52025952,0.67289701
30077,0,USMontanaPowell,Montana,Powell,2020-11-09 06:58:49.690852,2020-03-15 00:00:00.000000,0.00276387,0.02274911,0.07540733,0,1,5,0,0,2,0.00105793,0.01003276,0.02961539,0.38568080,0.51826686,0.67166213
30077,0,USMontanaPowell,Montana,Powell,2020-11-09 06:58:49.690852,2020-03-16 00:00:00.000000,0.00310983,0.02519769,0.08043157,0,1,5,0,0,2,0.00121128,0.01114315,0.03238913,0.38561768,0.51009202,0.67092101
30077,0,USMontanaPowell,Montana,Powell,2020-11-09 06:58:49.690852,2020-03-17 00:00:00.000000,0.00349455,0.02741551,0.08576771,0,1,5,0,0,2,0.00138257,0.01221854,0.03545130,0.38346991,0.49515149,0.67067666
30077,0,USMontanaPowell,Montana,Powell,2020-11-09 06:58:49.690852,2020-03-18 00:00:00.000000,0.00392045,0.02905192,0.09143832,0,2,6,0,0,2,0.00157305,0.01322156,0.03881784,0.35501540,0.49165939,0.66988356
30077,0,USMontanaPowell,Montana,Powell,2020-11-09 06:58:49.690852,2020-03-19 00:00:00.000000,0.00438077,0.03092748,0.09746203,0,2,6,0,0,2,0.00178410,0.01425929,0.04251141,0.34293446,0.47964291,0.66797846
30077,0,USMontanaPowell,Montana,Powell,2020-11-09 06:58:49.690852,2020-03-20 00:00:00.000000,0.00485211,0.03274736,0.10384555,0,2,7,0,1,3,0.00201571,0.01560600,0.04655910,0.33367724,0.46885946,0.66326127
30077,0,USMontanaPowell,Montana,Powell,2020-11-09 06:58:49.690852,2020-03-21 00:00:00.000000,0.00532345,0.03414995,0.11055642,0,2,7,0,1,3,0.00226423,0.01683134,0.05099043,0.31893096,0.44819953,0.64572913
30077,0,USMontanaPowell,Montana,Powell,2020-11-09 06:58:49.690852,2020-03-22 00:00:00.000000,0.00562919,0.03532919,0.11743692,0,2,8,0,1,3,0.00252547,0.01775139,0.05583269,0.29771664,0.42391323,0.59506093
30077,0,USMontanaPowell,Montana,Powell,2020-11-09 06:58:49.690852,2020-03-23 00:00:00.000000,0.00577825,0.03647156,0.12401039,0,2,8,0,1,4,0.00280057,0.01859572,0.06108913,0.29540405,0.40588376,0.57531222
30077,0,USMontanaPowell,Montana,Powell,2020-11-09 06:58:49.690852,2020-03-24 00:00:00.000000,0.00592315,0.03816854,0.12950760,0,2,8,0,1,4,0.00290099,0.01952899,0.06662417,0.29039943,0.39072725,0.57376061
