FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-09 00:00:00.000000,0.00207406,0.02851789,0.14929275,0,1,5,0,0,3,0.00101261,0.01449857,0.08502315,0.43521997,0.58404091,0.78852525
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-10 00:00:00.000000,0.00241539,0.03173874,0.16112076,0,1,6,0,0,3,0.00105001,0.01424293,0.08237185,0.43500675,0.58403506,0.78847026
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-11 00:00:00.000000,0.00276183,0.03553162,0.17303405,0,1,6,0,0,3,0.00115441,0.01457108,0.08426185,0.43464578,0.58401967,0.78836116
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-12 00:00:00.000000,0.00312075,0.03852503,0.18493406,0,1,6,0,0,3,0.00129742,0.01568364,0.08847884,0.43403667,0.58363291,0.78814623
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-13 00:00:00.000000,0.00349932,0.04147223,0.19680900,0,1,7,0,0,3,0.00146531,0.01701867,0.09163906,0.43301450,0.58289103,0.78772911
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-14 00:00:00.000000,0.00390301,0.04551303,0.20866228,0,1,7,0,0,3,0.00165187,0.01853848,0.09439601,0.43131488,0.58174210,0.77610512
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-15 00:00:00.000000,0.00433593,0.05085752,0.22041502,0,1,8,0,0,3,0.00185480,0.02052281,0.09761145,0.42853170,0.57979204,0.77369249
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-16 00:00:00.000000,0.00484250,0.05681426,0.22926578,0,2,8,0,0,3,0.00207379,0.02290854,0.10106621,0.41904787,0.57605165,0.75492831
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-17 00:00:00.000000,0.00543180,0.06203191,0.23689067,0,2,8,0,0,3,0.00230922,0.02506875,0.10463952,0.41075975,0.56772269,0.74272721
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-18 00:00:00.000000,0.00608595,0.06610690,0.24455313,0,2,9,0,1,4,0.00256103,0.02763559,0.10826955,0.37622258,0.54380743,0.73917954
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-19 00:00:00.000000,0.00680661,0.07058239,0.25159609,0,2,9,0,1,4,0.00282730,0.03020694,0.11193229,0.36333758,0.52066722,0.73406873
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-20 00:00:00.000000,0.00758907,0.07596807,0.25343397,0,2,9,0,1,4,0.00310257,0.03248449,0.11563221,0.33028950,0.50524820,0.71491450
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-21 00:00:00.000000,0.00841766,0.08140892,0.26519241,0,3,9,0,1,4,0.00345049,0.03522042,0.12490121,0.31030399,0.48431828,0.70008982
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-22 00:00:00.000000,0.00926304,0.08591721,0.27721283,0,3,10,0,1,5,0.00384439,0.03780946,0.13424046,0.30072018,0.46943581,0.70351991
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-23 00:00:00.000000,0.01008966,0.09053581,0.29038890,0,3,10,0,1,5,0.00426020,0.04012317,0.13798990,0.30000243,0.45509637,0.70340588
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-24 00:00:00.000000,0.01087287,0.09518859,0.31037570,0,3,11,0,1,5,0.00468597,0.04247183,0.13858123,0.29826121,0.44753866,0.69140174
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-25 00:00:00.000000,0.01160634,0.09864182,0.32592438,0,3,12,0,1,5,0.00510922,0.04486223,0.14488565,0.29220903,0.43858714,0.66292048
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-26 00:00:00.000000,0.01229335,0.10026605,0.34768240,0,3,12,0,1,5,0.00552078,0.04709245,0.15245906,0.29208377,0.43124132,0.64230371
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-27 00:00:00.000000,0.01293949,0.10170236,0.36133621,0,3,13,0,1,5,0.00591559,0.04904437,0.16005901,0.29144196,0.42961596,0.61424308
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-28 00:00:00.000000,0.01355271,0.10402565,0.36364017,0,3,13,0,1,6,0.00629167,0.05060700,0.16827511,0.26537066,0.42384784,0.61414122
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-29 00:00:00.000000,0.01414332,0.10421650,0.36725867,0,3,13,0,1,6,0.00664940,0.05174411,0.17544421,0.24717402,0.40850411,0.61373933
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-30 00:00:00.000000,0.01472144,0.10647295,0.36849317,0,3,13,0,1,6,0.00699109,0.05274966,0.18010880,0.23358936,0.39109894,0.57508612
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-03-31 00:00:00.000000,0.01529634,0.10912356,0.36864052,0,4,13,0,1,6,0.00732019,0.05285930,0.18327153,0.22888750,0.38352594,0.56463836
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-01 00:00:00.000000,0.01587610,0.11042758,0.36829116,0,4,13,0,2,6,0.00764075,0.05371556,0.18437175,0.22804825,0.37762757,0.55654402
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-02 00:00:00.000000,0.01646445,0.10951312,0.36755584,0,4,13,0,2,6,0.00795696,0.05505150,0.18478151,0.22641978,0.36091832,0.53343250
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-03 00:00:00.000000,0.01705876,0.10922077,0.37367956,0,4,13,0,2,6,0.00827223,0.05585009,0.18533342,0.22304311,0.34922296,0.51086019
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-04 00:00:00.000000,0.01764982,0.11032222,0.38121345,0,4,14,0,2,6,0.00858818,0.05649885,0.18711173,0.21057712,0.34184209,0.51435389
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-05 00:00:00.000000,0.01819739,0.11136051,0.38855526,0,4,14,0,2,7,0.00890400,0.05711936,0.19234763,0.20392256,0.33743513,0.49974088
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-06 00:00:00.000000,0.01847556,0.11242867,0.39556861,0,4,14,0,2,7,0.00921794,0.05807629,0.19870961,0.18993924,0.33007483,0.49225458
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-07 00:00:00.000000,0.01823129,0.11324017,0.39788787,0,4,14,0,2,7,0.00953003,0.05948309,0.20390715,0.18485182,0.32792983,0.47476752
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-08 00:00:00.000000,0.01776316,0.11441650,0.39055244,0,4,14,0,2,7,0.00984228,0.05921735,0.20756195,0.18863323,0.31937333,0.45039795
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-09 00:00:00.000000,0.01725546,0.11597745,0.38300274,0,4,14,0,2,7,0.01015719,0.05983422,0.20455323,0.19061864,0.31667084,0.44326132
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-10 00:00:00.000000,0.01676056,0.11716345,0.37500952,0,4,14,0,2,7,0.01046502,0.06210243,0.20122781,0.19340607,0.30686846,0.42769152
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-11 00:00:00.000000,0.01631173,0.11931571,0.37065645,0,4,13,0,2,7,0.01021244,0.06363823,0.19760824,0.18918518,0.28925606,0.43707870
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-12 00:00:00.000000,0.01591797,0.12141691,0.36652546,0,4,13,0,2,7,0.00995231,0.06352982,0.19371353,0.18481567,0.28526132,0.43355098
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-13 00:00:00.000000,0.01556410,0.12171675,0.37386971,0,4,13,0,2,7,0.00970518,0.06453823,0.18961534,0.18539770,0.28150746,0.42406862
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-14 00:00:00.000000,0.01522338,0.12040206,0.38106545,0,4,14,0,2,7,0.00947684,0.06544534,0.19036358,0.18540988,0.27858963,0.42377821
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-15 00:00:00.000000,0.01485804,0.12326653,0.38819520,0,4,14,0,2,7,0.00926213,0.06574053,0.19090884,0.18528466,0.26952535,0.42296269
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-16 00:00:00.000000,0.01442361,0.12651601,0.39530599,0,4,14,0,2,7,0.00904725,0.06647096,0.19105949,0.18286632,0.26251352,0.42043752
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-17 00:00:00.000000,0.01391385,0.12935415,0.40239471,0,4,15,0,2,7,0.00881208,0.06688185,0.19083298,0.17647431,0.25778903,0.41283985
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-18 00:00:00.000000,0.01336623,0.13135750,0.40937342,0,4,15,0,2,7,0.00854408,0.06654638,0.19134674,0.16401162,0.25707215,0.40629318
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-19 00:00:00.000000,0.01281201,0.13045602,0.40459197,0,4,15,0,2,7,0.00824759,0.06810187,0.19219347,0.16326069,0.25431331,0.39659711
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-20 00:00:00.000000,0.01243522,0.12955757,0.39497515,0,4,14,0,2,6,0.00793446,0.06948677,0.18697867,0.15407222,0.24898333,0.36171114
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-21 00:00:00.000000,0.01237626,0.12853559,0.38438674,0,4,14,0,2,6,0.00761550,0.06926632,0.18400012,0.15366451,0.24490327,0.36943404
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-22 00:00:00.000000,0.01228989,0.12580297,0.37343715,0,4,13,0,2,6,0.00729855,0.06852390,0.18017759,0.15360923,0.24385697,0.36653866
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-23 00:00:00.000000,0.01214615,0.12480386,0.36234344,0,4,13,0,2,6,0.00699033,0.06782574,0.17585074,0.15368938,0.24173297,0.36042076
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-24 00:00:00.000000,0.01191658,0.12239793,0.35100463,0,4,13,0,2,6,0.00683489,0.06756406,0.17120385,0.15340675,0.24272508,0.36235810
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-25 00:00:00.000000,0.01160068,0.12264855,0.33957227,0,4,12,0,2,6,0.00675000,0.06720047,0.16636356,0.15144193,0.24138051,0.34758455
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-26 00:00:00.000000,0.01122736,0.12185945,0.32785665,0,4,12,0,2,6,0.00662848,0.06683202,0.16139449,0.14975667,0.24026561,0.34283710
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-27 00:00:00.000000,0.01082698,0.11960255,0.31564623,0,4,11,0,2,5,0.00647193,0.06684185,0.15629865,0.14872200,0.23926306,0.35346099
30097,0,USMontanaSweetGrass,Montana,Sweet Grass,2020-11-26 12:05:44.908469,2020-04-28 00:00:00.000000,0.01041862,0.11838227,0.30300679,0,4,11,0,2,5,0.00628827,0.06598122,0.15103968,0.14809811,0.23764382,0.35569641
