FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
31057,0,USNebraskaDundy,Nebraska,Dundy,2020-10-27 17:35:27.320272,2020-03-09 00:00:00.000000,0.00633597,0.06532862,0.29229592,0,1,4,0,0,2,0.00318870,0.03196959,0.16965883,0.41034209,0.54158332,0.74301134
31057,0,USNebraskaDundy,Nebraska,Dundy,2020-10-27 17:35:27.320272,2020-03-10 00:00:00.000000,0.00740419,0.07457364,0.32094200,0,1,5,0,0,2,0.00330486,0.03362201,0.15652535,0.41034149,0.54157864,0.74283676
31057,0,USNebraskaDundy,Nebraska,Dundy,2020-10-27 17:35:27.320272,2020-03-11 00:00:00.000000,0.00895492,0.08485193,0.33459437,0,1,5,0,0,2,0.00360081,0.03748645,0.15297718,0.41034055,0.54156841,0.74249683
31057,0,USNebraskaDundy,Nebraska,Dundy,2020-10-27 17:35:27.320272,2020-03-12 00:00:00.000000,0.01031157,0.09548136,0.34913768,0,1,5,0,0,2,0.00413620,0.03974957,0.16042029,0.41033908,0.54154608,0.74183613
31057,0,USNebraskaDundy,Nebraska,Dundy,2020-10-27 17:35:27.320272,2020-03-13 00:00:00.000000,0.01139250,0.10498308,0.36859274,0,1,6,0,0,2,0.00472372,0.04320939,0.16815474,0.41033677,0.54111214,0.74055634
31057,0,USNebraskaDundy,Nebraska,Dundy,2020-10-27 17:35:27.320272,2020-03-14 00:00:00.000000,0.01214050,0.11459258,0.40197673,0,1,6,0,0,3,0.00529209,0.04764336,0.18533411,0.41033319,0.53946271,0.73809365
31057,0,USNebraskaDundy,Nebraska,Dundy,2020-10-27 17:35:27.320272,2020-03-15 00:00:00.000000,0.01310520,0.12485020,0.44475652,0,2,7,0,0,3,0.00596417,0.05243613,0.20048001,0.41032762,0.53858983,0.73341415
31057,0,USNebraskaDundy,Nebraska,Dundy,2020-10-27 17:35:27.320272,2020-03-16 00:00:00.000000,0.01461741,0.13583602,0.49108750,0,2,8,0,0,3,0.00668061,0.05769945,0.21634159,0.39548618,0.53505472,0.72473130
31057,0,USNebraskaDundy,Nebraska,Dundy,2020-10-27 17:35:27.320272,2020-03-17 00:00:00.000000,0.01631597,0.14762002,0.52043910,0,2,8,0,1,3,0.00751004,0.06477228,0.23199098,0.38612106,0.53151835,0.70930526
31057,0,USNebraskaDundy,Nebraska,Dundy,2020-10-27 17:35:27.320272,2020-03-18 00:00:00.000000,0.01820835,0.15774950,0.54100742,0,2,9,0,1,4,0.00844128,0.07248532,0.24675294,0.37282446,0.51862456,0.68388177
