FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-09 00:00:00.000000,0.01343723,0.09135010,0.42598162,0,1,4,0,0,2,0.00626566,0.04962388,0.20277002,0.38082252,0.51760616,0.70556581
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-10 00:00:00.000000,0.01578924,0.10012748,0.42115828,0,1,4,0,0,2,0.00726397,0.04902143,0.17974858,0.38082240,0.51760471,0.70556580
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-11 00:00:00.000000,0.01832773,0.10948627,0.42034244,0,1,4,0,0,1,0.00837551,0.05133335,0.16586911,0.38082197,0.51760108,0.70556577
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-12 00:00:00.000000,0.02110405,0.11941316,0.42234668,0,1,4,0,0,2,0.00956655,0.05575793,0.17257275,0.38082043,0.51759200,0.70556555
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-13 00:00:00.000000,0.02416518,0.12892194,0.42636511,0,1,4,0,0,2,0.01093506,0.06116147,0.18353056,0.38081482,0.51756932,0.70556432
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-14 00:00:00.000000,0.02752057,0.13963007,0.43184804,0,1,5,0,0,2,0.01246889,0.06733611,0.19642799,0.38079444,0.51751260,0.70555705
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-15 00:00:00.000000,0.02923395,0.15228477,0.44644766,0,1,5,0,0,2,0.01417103,0.07375070,0.21098868,0.37911631,0.51737078,0.70551381
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-16 00:00:00.000000,0.03095670,0.16337717,0.48678768,0,1,5,0,0,2,0.01600994,0.08013751,0.22710086,0.37458151,0.51137654,0.70525584
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-17 00:00:00.000000,0.03263963,0.17633159,0.53043550,0,2,6,0,1,2,0.01716846,0.08858152,0.24473237,0.36624547,0.51078666,0.70372341
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-18 00:00:00.000000,0.03425974,0.19095201,0.57703688,0,2,6,0,1,3,0.01830667,0.09665831,0.26384783,0.35847670,0.50915560,0.69565233
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-19 00:00:00.000000,0.03583598,0.20559826,0.62576390,0,2,7,0,1,3,0.01940895,0.10240583,0.28619437,0.33552899,0.49782641,0.68642073
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-20 00:00:00.000000,0.03765889,0.22372775,0.67339674,0,2,7,0,1,3,0.02047319,0.10786203,0.31094630,0.30944443,0.47059232,0.65344074
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-21 00:00:00.000000,0.04182489,0.23323861,0.71262544,0,2,8,0,1,3,0.02150979,0.11627467,0.33226920,0.28545638,0.44137572,0.63944957
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-22 00:00:00.000000,0.04624176,0.24709723,0.73654270,0,2,8,0,1,4,0.02253422,0.12510553,0.34641730,0.26720476,0.41442062,0.61969542
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-23 00:00:00.000000,0.05074113,0.26136017,0.74756699,0,3,8,0,1,4,0.02356085,0.13594446,0.36629901,0.25276939,0.39328855,0.59356937
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-24 00:00:00.000000,0.05538053,0.27260139,0.75132956,0,3,8,0,1,4,0.02578602,0.14564171,0.38382888,0.24128611,0.37492657,0.59962330
31165,0,USNebraskaSioux,Nebraska,Sioux,2020-12-05 03:55:20.131417,2020-03-25 00:00:00.000000,0.06028831,0.28776165,0.75277492,0,3,8,0,1,4,0.02835656,0.15431149,0.39412271,0.22620670,0.37136449,0.60012105
