FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-09 00:00:00.000000,0.00636370,0.03584361,0.16596504,0,1,9,0,1,4,0.00340902,0.01910839,0.07702562,0.40759704,0.56304800,0.83922403
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-10 00:00:00.000000,0.00762271,0.04124969,0.18163868,0,2,10,0,1,4,0.00373917,0.01978159,0.07634149,0.40759663,0.56304354,0.83921489
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-11 00:00:00.000000,0.00890508,0.04616428,0.19689481,0,2,10,0,1,4,0.00429476,0.02108091,0.07847795,0.40759532,0.56303380,0.83919962
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-12 00:00:00.000000,0.01041631,0.05064860,0.21203592,0,2,11,0,1,4,0.00485293,0.02274110,0.08238498,0.40759114,0.56083539,0.83917316
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-13 00:00:00.000000,0.01176399,0.05544104,0.22728788,0,3,12,0,1,4,0.00543581,0.02435182,0.08742333,0.40757779,0.56078379,0.83912481
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-14 00:00:00.000000,0.01341984,0.06151069,0.24282558,0,3,13,0,1,5,0.00611532,0.02665451,0.09321109,0.40753509,0.56066656,0.83903012
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-15 00:00:00.000000,0.01527624,0.06709371,0.25878976,0,3,14,0,1,5,0.00688862,0.02964088,0.10037788,0.40739900,0.56039938,0.83882961
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-16 00:00:00.000000,0.01736379,0.07312449,0.27529813,0,4,15,0,1,6,0.00745905,0.03262498,0.11155768,0.40696850,0.55558188,0.83837178
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-17 00:00:00.000000,0.01896147,0.07965129,0.29245307,1,4,16,0,1,6,0.00803824,0.03600781,0.12404591,0.40271157,0.54616423,0.83725960
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-18 00:00:00.000000,0.02032411,0.08733131,0.31034896,1,4,17,0,2,7,0.00914860,0.03952280,0.13796116,0.37990903,0.54169668,0.83444304
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-19 00:00:00.000000,0.02176761,0.09457369,0.33820865,1,5,18,0,2,8,0.01039769,0.04234361,0.14895987,0.35318661,0.53774140,0.81929533
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-20 00:00:00.000000,0.02325337,0.09965403,0.37464877,1,5,20,0,2,9,0.01164060,0.04552013,0.17066873,0.33939953,0.50934739,0.76643915
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-21 00:00:00.000000,0.02475786,0.10383319,0.41584984,1,5,23,0,2,10,0.01249536,0.04987272,0.18962425,0.33214923,0.48730600,0.74639922
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-22 00:00:00.000000,0.02626954,0.10964557,0.46942312,1,6,25,0,2,11,0.01337767,0.05348828,0.20944943,0.31631779,0.46811991,0.71759069
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-23 00:00:00.000000,0.02733754,0.11867872,0.51608872,1,6,28,0,3,12,0.01428507,0.05839394,0.22910463,0.30771969,0.45444528,0.69980614
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-24 00:00:00.000000,0.02828342,0.12816377,0.56583172,1,7,31,0,3,13,0.01520476,0.06339732,0.24196656,0.29525018,0.43751700,0.69809435
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-25 00:00:00.000000,0.02920834,0.13683115,0.62681651,1,7,34,0,3,14,0.01606972,0.06834205,0.25403288,0.28934089,0.42880930,0.69690539
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-26 00:00:00.000000,0.03012976,0.14714111,0.65584995,1,8,36,0,4,14,0.01669097,0.07413373,0.27061728,0.26078390,0.41152528,0.69448937
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-27 00:00:00.000000,0.03106263,0.15433048,0.68158074,1,8,37,0,4,16,0.01729467,0.07932385,0.29963871,0.25041173,0.39982882,0.67734263
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-28 00:00:00.000000,0.03201481,0.16236841,0.70708205,1,8,39,0,4,17,0.01788937,0.08333094,0.31871173,0.24251190,0.39429781,0.61683068
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-29 00:00:00.000000,0.03298801,0.17201376,0.73299083,1,9,40,1,4,18,0.01848231,0.08817228,0.33568694,0.22589208,0.38813659,0.54601551
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-30 00:00:00.000000,0.03397984,0.18182566,0.75962218,1,10,42,1,5,19,0.01907861,0.09118659,0.35239382,0.22134477,0.37844276,0.53497578
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-03-31 00:00:00.000000,0.03498104,0.19114686,0.78712601,1,10,43,1,5,20,0.01968114,0.09566686,0.36890694,0.19763831,0.37072270,0.53157231
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-01 00:00:00.000000,0.03594349,0.19667149,0.81553660,1,10,45,1,5,21,0.02028975,0.10023256,0.38536217,0.19719795,0.35247916,0.53390243
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-02 00:00:00.000000,0.03669326,0.20207110,0.85441802,2,11,47,1,5,22,0.02089418,0.10370155,0.40191017,0.19719295,0.34052408,0.53187293
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-03 00:00:00.000000,0.03700978,0.20824692,0.89637956,2,11,49,1,5,23,0.02145122,0.10747606,0.41868472,0.19749598,0.32177830,0.49640056
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-04 00:00:00.000000,0.03701396,0.21825193,0.94402090,2,12,52,1,6,24,0.02188604,0.11342054,0.44548633,0.18604854,0.30900845,0.50354615
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-05 00:00:00.000000,0.03689517,0.22741824,0.99362653,2,12,54,1,6,26,0.02217440,0.11881811,0.47158588,0.17754165,0.30064759,0.51161983
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-06 00:00:00.000000,0.06718244,0.27608508,1.08312617,3,15,59,1,6,27,0.02234104,0.12199211,0.49731173,0.17367299,0.29638390,0.50961585
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-07 00:00:00.000000,0.08874885,0.32568044,1.18898024,4,18,65,1,7,29,0.02885272,0.13191624,0.54167798,0.16828121,0.29160004,0.50180914
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-08 00:00:00.000000,0.10531736,0.37604365,1.30682733,5,20,72,2,8,32,0.03722013,0.14800404,0.59275030,0.15839362,0.29077506,0.49772678
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-09 00:00:00.000000,0.11200542,0.43063188,1.43191706,6,23,79,2,9,35,0.04494174,0.17299914,0.64979108,0.14570661,0.29113023,0.49529498
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-10 00:00:00.000000,0.12520581,0.47532193,1.56330215,6,26,86,2,10,39,0.05287532,0.18890162,0.71224462,0.13651839,0.28943352,0.49284368
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-11 00:00:00.000000,0.14145877,0.52797537,1.69923171,7,29,94,3,11,43,0.06024650,0.21301213,0.77955612,0.13385913,0.28612931,0.48813785
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-12 00:00:00.000000,0.15779004,0.58147776,1.83734835,8,32,101,3,12,47,0.06940156,0.22996887,0.85101682,0.13327525,0.27859929,0.47310763
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-13 00:00:00.000000,0.23465606,0.64302043,2.03565484,12,35,112,4,13,51,0.07882149,0.25001821,0.92570885,0.13307421,0.26528161,0.46058470
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-14 00:00:00.000000,0.24733117,0.72239056,2.23340904,13,39,123,5,15,56,0.10639464,0.27438450,1.01393452,0.13187222,0.25675793,0.44774840
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-15 00:00:00.000000,0.26066435,0.77904754,2.34321550,14,43,129,6,17,60,0.11644732,0.31981786,1.08471726,0.12869810,0.25457829,0.44637864
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-16 00:00:00.000000,0.27326805,0.85102848,2.44226303,15,47,135,6,20,62,0.12548695,0.36743754,1.13856269,0.12401042,0.24812825,0.43137235
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-17 00:00:00.000000,0.29510338,0.90985917,2.54267438,16,50,140,7,22,65,0.13381287,0.39855624,1.19256723,0.11665840,0.23994154,0.43119575
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-18 00:00:00.000000,0.31167660,0.97121268,2.64095383,17,53,146,8,24,68,0.14665543,0.44595611,1.24689230,0.10894703,0.22585392,0.42455786
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-19 00:00:00.000000,0.32237184,1.04174469,2.73785809,17,57,151,8,26,72,0.15407307,0.48622826,1.31558782,0.10380342,0.21772147,0.41780223
32015,0,USNevadaLander,Nevada,Lander,2020-11-09 06:27:06.478691,2020-04-20 00:00:00.000000,0.46004949,1.16407502,2.95947523,25,64,163,8,29,78,0.16091345,0.53353289,1.40999116,0.10137398,0.21333955,0.41851860
