FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
33011,0,USNewHampshireHillsborough,New Hampshire,Hillsborough,2020-11-09 06:34:11.168615,2020-03-09 00:00:00.000000,0.00302979,0.00543601,0.01126187,12,22,46,3,9,18,0.00094056,0.00216154,0.00433757,0.65855021,0.89706921,1.16274818
33011,0,USNewHampshireHillsborough,New Hampshire,Hillsborough,2020-11-09 06:34:11.168615,2020-03-10 00:00:00.000000,0.00445210,0.00728871,0.01313677,18,30,54,5,10,21,0.00131417,0.00258811,0.00522017,0.65854809,0.89706921,1.16274807
33011,0,USNewHampshireHillsborough,New Hampshire,Hillsborough,2020-11-09 06:34:11.168615,2020-03-11 00:00:00.000000,0.00558957,0.00951521,0.01605498,23,39,66,7,13,25,0.00186813,0.00334559,0.00613194,0.65854401,0.89706921,1.16274780
33011,0,USNewHampshireHillsborough,New Hampshire,Hillsborough,2020-11-09 06:34:11.168615,2020-03-12 00:00:00.000000,0.00674489,0.01177603,0.02012773,28,49,83,11,18,31,0.00270991,0.00442364,0.00748156,0.65853626,0.89706920,1.16274713
33011,0,USNewHampshireHillsborough,New Hampshire,Hillsborough,2020-11-09 06:34:11.168615,2020-03-13 00:00:00.000000,0.00806026,0.01429640,0.02507062,33,59,104,14,23,37,0.00353898,0.00566755,0.00901645,0.65852200,0.89706917,1.16274535
33011,0,USNewHampshireHillsborough,New Hampshire,Hillsborough,2020-11-09 06:34:11.168615,2020-03-14 00:00:00.000000,0.00957385,0.01739613,0.03075269,39,72,128,17,29,46,0.00424251,0.00710906,0.01126673,0.65849800,0.89658160,1.16274062
33011,0,USNewHampshireHillsborough,New Hampshire,Hillsborough,2020-11-09 06:34:11.168615,2020-03-15 00:00:00.000000,0.01160463,0.02112061,0.03726558,48,88,155,21,37,58,0.00505026,0.00892840,0.01396726,0.65846915,0.89632401,1.16272778
33011,0,USNewHampshireHillsborough,New Hampshire,Hillsborough,2020-11-09 06:34:11.168615,2020-03-16 00:00:00.000000,0.01432294,0.02548654,0.04301559,59,106,179,24,45,71,0.00597513,0.01097681,0.01706611,0.65849797,0.89729979,1.16269252
33011,0,USNewHampshireHillsborough,New Hampshire,Hillsborough,2020-11-09 06:34:11.168615,2020-03-17 00:00:00.000000,0.01766552,0.03031316,0.04990131,73,126,208,30,55,85,0.00737032,0.01323257,0.02049832,0.65895823,0.89572523,1.16259462
33011,0,USNewHampshireHillsborough,New Hampshire,Hillsborough,2020-11-09 06:34:11.168615,2020-03-18 00:00:00.000000,0.02155485,0.03620017,0.05796786,89,150,241,38,65,102,0.00917512,0.01568487,0.02447138,0.66173237,0.88049415,1.16232062
