FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-09 00:00:00.000000,0.00142770,0.01275919,0.04335281,0,5,18,0,2,10,0.00072605,0.00669779,0.02325434,0.40828267,0.53381881,0.71251891
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-10 00:00:00.000000,0.00157812,0.01414876,0.04681145,0,6,20,0,2,10,0.00073986,0.00658234,0.02428401,0.40828266,0.53381881,0.71248986
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-11 00:00:00.000000,0.00173566,0.01542082,0.05017638,0,6,21,0,2,11,0.00077598,0.00666941,0.02565867,0.40828266,0.53370162,0.71242539
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-12 00:00:00.000000,0.00190363,0.01666187,0.05352842,0,7,23,0,3,11,0.00082822,0.00716495,0.02723199,0.40828268,0.53324220,0.71228236
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-13 00:00:00.000000,0.00208461,0.01770241,0.05692505,0,7,24,0,3,11,0.00089304,0.00772130,0.02780217,0.40828276,0.52839088,0.71196537
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-14 00:00:00.000000,0.00228081,0.01879263,0.06040826,0,8,26,0,3,12,0.00096858,0.00833498,0.02877644,0.39072800,0.52736200,0.71126415
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-15 00:00:00.000000,0.00249426,0.02006809,0.06400969,1,8,27,0,3,12,0.00104615,0.00877518,0.03004406,0.39044065,0.52326071,0.70971968
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-16 00:00:00.000000,0.00697001,0.02450901,0.07049336,3,10,30,0,3,13,0.00111581,0.00923096,0.03153312,0.39037293,0.51250870,0.70634991
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-17 00:00:00.000000,0.01137499,0.02890905,0.07713701,4,12,33,0,4,14,0.00185701,0.01028005,0.03365014,0.37360199,0.51119819,0.69914707
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-18 00:00:00.000000,0.01515967,0.03338284,0.08405257,6,14,36,1,5,15,0.00303791,0.01202790,0.03623931,0.36740005,0.50558513,0.69154426
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-19 00:00:00.000000,0.01805662,0.03917293,0.09124751,7,16,39,1,6,16,0.00444832,0.01399912,0.03919951,0.35221882,0.49766717,0.69356661
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-20 00:00:00.000000,0.02078578,0.04474244,0.09869255,8,19,42,2,7,18,0.00613328,0.01651752,0.04246252,0.33785961,0.47697438,0.69713676
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-21 00:00:00.000000,0.02351296,0.05162440,0.10635478,10,22,45,3,8,19,0.00745836,0.01876958,0.04597656,0.30939729,0.46541828,0.65855485
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-22 00:00:00.000000,0.02636672,0.05766872,0.11424360,11,24,49,3,9,21,0.00917106,0.02218496,0.04970045,0.29110675,0.45358795,0.63331039
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-23 00:00:00.000000,0.03037251,0.06420597,0.12461492,13,27,53,4,11,23,0.01056820,0.02567606,0.05360722,0.28949696,0.42252279,0.63188452
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-24 00:00:00.000000,0.03840081,0.07143400,0.13475877,16,30,58,5,12,25,0.01211307,0.02865622,0.05809071,0.28655073,0.40609456,0.61840325
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-25 00:00:00.000000,0.04256620,0.07786890,0.14487718,18,33,62,6,13,27,0.01396656,0.03199684,0.06296164,0.27824193,0.39025104,0.61556185
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-26 00:00:00.000000,0.04709470,0.08385006,0.15455159,20,36,66,6,15,29,0.01566501,0.03523565,0.06792500,0.26464623,0.37429715,0.60369381
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-27 00:00:00.000000,0.05132158,0.09014038,0.16355667,22,38,70,7,16,31,0.01845654,0.03838313,0.07299184,0.24902378,0.35206667,0.54868707
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-28 00:00:00.000000,0.05547480,0.09821939,0.17223029,23,42,74,8,17,33,0.02081824,0.04146272,0.07802348,0.23636544,0.32998275,0.53500082
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-29 00:00:00.000000,0.05989607,0.10785774,0.18077636,25,46,77,9,19,36,0.02288402,0.04444443,0.08383715,0.21651270,0.31710884,0.51853230
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-30 00:00:00.000000,0.06327563,0.11466030,0.18992816,27,49,81,10,20,38,0.02500605,0.04826236,0.08902227,0.20849869,0.30884302,0.50986345
33019,0,USNewHampshireSullivan,New Hampshire,Sullivan,2020-10-16 20:24:17.281014,2020-03-31 00:00:00.000000,0.06638810,0.11893185,0.19926224,28,51,85,11,22,40,0.02697139,0.05153278,0.09385581,0.20193558,0.29299037,0.49971908
