FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
34023,0,USNewJerseyMiddlesex,New Jersey,Middlesex,2020-10-31 22:09:04.975043,2020-03-09 00:00:00.000000,0.01950442,0.04114346,0.06775014,160,339,558,79,157,252,0.00960074,0.01904475,0.03064552,0.74906701,0.91992966,1.13659044
34023,0,USNewJerseyMiddlesex,New Jersey,Middlesex,2020-10-31 22:09:04.975043,2020-03-10 00:00:00.000000,0.02401037,0.04875946,0.08121241,198,402,670,95,185,308,0.01157486,0.02244653,0.03734332,0.74909355,0.91985374,1.13632435
34023,0,USNewJerseyMiddlesex,New Jersey,Middlesex,2020-10-31 22:09:04.975043,2020-03-11 00:00:00.000000,0.02950403,0.05825817,0.09461976,243,480,780,121,230,370,0.01473914,0.02789872,0.04495700,0.74915365,0.91965197,1.13589402
34023,0,USNewJerseyMiddlesex,New Jersey,Middlesex,2020-10-31 22:09:04.975043,2020-03-12 00:00:00.000000,0.03622547,0.06977478,0.11036177,298,575,910,152,277,442,0.01846392,0.03367719,0.05368402,0.74928941,0.91947558,1.13519833
34023,0,USNewJerseyMiddlesex,New Jersey,Middlesex,2020-10-31 22:09:04.975043,2020-03-13 00:00:00.000000,0.04488391,0.08494485,0.13198517,370,700,1088,187,337,527,0.02269244,0.04087245,0.06399462,0.74959530,0.91947004,1.13407446
34023,0,USNewJerseyMiddlesex,New Jersey,Middlesex,2020-10-31 22:09:04.975043,2020-03-14 00:00:00.000000,0.05560461,0.10328886,0.15749732,458,852,1299,232,411,616,0.02816477,0.04992344,0.07473759,0.75028239,0.91945702,1.13226131
34023,0,USNewJerseyMiddlesex,New Jersey,Middlesex,2020-10-31 22:09:04.975043,2020-03-15 00:00:00.000000,0.06871644,0.12446388,0.18747789,566,1026,1546,288,492,728,0.03501642,0.05969425,0.08833411,0.75150640,0.91942231,1.12934372
34023,0,USNewJerseyMiddlesex,New Jersey,Middlesex,2020-10-31 22:09:04.975043,2020-03-16 00:00:00.000000,0.08477884,0.14947875,0.22291552,699,1233,1839,357,587,873,0.04338397,0.07118369,0.10592907,0.75158759,0.91931998,1.12467378
34023,0,USNewJerseyMiddlesex,New Jersey,Middlesex,2020-10-31 22:09:04.975043,2020-03-17 00:00:00.000000,0.10446280,0.17826105,0.26462367,861,1470,2183,442,696,1044,0.05361867,0.08436045,0.12655642,0.75183896,0.91899862,1.11728430
34023,0,USNewJerseyMiddlesex,New Jersey,Middlesex,2020-10-31 22:09:04.975043,2020-03-18 00:00:00.000000,0.12859985,0.21356133,0.31289710,1061,1762,2581,536,823,1245,0.06500652,0.09983147,0.15094716,0.76010172,0.91404204,1.10589651
34023,0,USNewJerseyMiddlesex,New Jersey,Middlesex,2020-10-31 22:09:04.975043,2020-03-19 00:00:00.000000,0.15820721,0.25295932,0.36434181,1305,2087,3006,661,982,1484,0.08016912,0.11909908,0.17987260,0.76394012,0.90725296,1.07112299
34023,0,USNewJerseyMiddlesex,New Jersey,Middlesex,2020-10-31 22:09:04.975043,2020-03-20 00:00:00.000000,0.19483357,0.30190226,0.42669153,1607,2490,3520,783,1181,1767,0.09499666,0.14317344,0.21420569,0.75831690,0.90190035,1.07007262
34023,0,USNewJerseyMiddlesex,New Jersey,Middlesex,2020-10-31 22:09:04.975043,2020-03-21 00:00:00.000000,0.23888051,0.36036106,0.50981875,1970,2973,4206,951,1414,2082,0.11533584,0.17145678,0.25245792,0.73845176,0.89379629,1.06250118
34023,0,USNewJerseyMiddlesex,New Jersey,Middlesex,2020-10-31 22:09:04.975043,2020-03-22 00:00:00.000000,0.29325742,0.42987830,0.60899518,2419,3546,5024,1162,1694,2420,0.14091914,0.20542630,0.29342262,0.73184669,0.88825604,1.03014197
