FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
35001,0,USNewMexicoBernalillo,New Mexico,Bernalillo,2020-10-27 17:05:18.207019,2020-03-09 00:00:00.000000,0.00442293,0.00880673,0.01590542,30,59,108,12,26,43,0.00184956,0.00392831,0.00640593,0.64618546,0.82966983,1.10857862
35001,0,USNewMexicoBernalillo,New Mexico,Bernalillo,2020-10-27 17:05:18.207019,2020-03-10 00:00:00.000000,0.00570758,0.01060747,0.01850478,38,72,125,15,30,51,0.00222491,0.00451751,0.00760082,0.64618546,0.82915671,1.10849740
35001,0,USNewMexicoBernalillo,New Mexico,Bernalillo,2020-10-27 17:05:18.207019,2020-03-11 00:00:00.000000,0.00713580,0.01272935,0.02146887,48,86,145,19,36,61,0.00280002,0.00537276,0.00912836,0.64618544,0.82819637,1.10838653
35001,0,USNewMexicoBernalillo,New Mexico,Bernalillo,2020-10-27 17:05:18.207019,2020-03-12 00:00:00.000000,0.00869478,0.01516385,0.02503118,59,102,169,24,43,75,0.00355204,0.00641708,0.01116414,0.64618539,0.82800507,1.10823605
35001,0,USNewMexicoBernalillo,New Mexico,Bernalillo,2020-10-27 17:05:18.207019,2020-03-13 00:00:00.000000,0.01050732,0.01810395,0.02982258,71,122,202,29,51,91,0.00437527,0.00760629,0.01352011,0.64618531,0.82796108,1.10803344
35001,0,USNewMexicoBernalillo,New Mexico,Bernalillo,2020-10-27 17:05:18.207019,2020-03-14 00:00:00.000000,0.01261818,0.02136589,0.03532587,85,145,239,35,61,110,0.00524486,0.00899417,0.01623076,0.64618525,0.82789526,1.10490524
35001,0,USNewMexicoBernalillo,New Mexico,Bernalillo,2020-10-27 17:05:18.207019,2020-03-15 00:00:00.000000,0.01499461,0.02497699,0.04241196,101,169,288,42,72,131,0.00623638,0.01071704,0.01934139,0.64618577,0.82779973,1.09067163
35001,0,USNewMexicoBernalillo,New Mexico,Bernalillo,2020-10-27 17:05:18.207019,2020-03-16 00:00:00.000000,0.01843869,0.02916888,0.05038183,125,198,342,50,86,155,0.00743978,0.01272808,0.02297041,0.64619034,0.82767115,1.05242962
35001,0,USNewMexicoBernalillo,New Mexico,Bernalillo,2020-10-27 17:05:18.207019,2020-03-17 00:00:00.000000,0.02199836,0.03399913,0.05832629,149,230,396,61,102,182,0.00911925,0.01505036,0.02690682,0.64621718,0.82495335,1.03372541
35001,0,USNewMexicoBernalillo,New Mexico,Bernalillo,2020-10-27 17:05:18.207019,2020-03-18 00:00:00.000000,0.02614195,0.04020227,0.06717740,177,273,456,75,121,212,0.01116957,0.01781914,0.03133922,0.64635717,0.82018147,1.01957987
