FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-09 00:00:00.000000,0.00024953,0.00628817,0.01761027,0,3,8,0,1,4,0.00013470,0.00274134,0.00996180,0.39190591,0.52364133,0.74239157
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-10 00:00:00.000000,0.00029594,0.00721615,0.01871362,0,3,9,0,1,4,0.00014807,0.00276678,0.00976097,0.39231353,0.52364126,0.74239150
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-11 00:00:00.000000,0.00034495,0.00775942,0.02069631,0,3,10,0,1,4,0.00015589,0.00299349,0.00977412,0.39297095,0.52364108,0.74239122
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-12 00:00:00.000000,0.00036968,0.00812284,0.02205865,0,3,10,0,1,4,0.00016525,0.00333176,0.00999990,0.39402575,0.52364063,0.74238993
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-13 00:00:00.000000,0.00039163,0.00845380,0.02393206,0,4,11,0,1,5,0.00017702,0.00371197,0.01035941,0.38665715,0.52363931,0.74238408
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-14 00:00:00.000000,0.00042653,0.00916407,0.02593980,0,4,12,0,2,5,0.00019012,0.00414425,0.01081348,0.37661866,0.52363469,0.74235757
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-15 00:00:00.000000,0.00047615,0.00980387,0.02768163,0,4,13,0,2,5,0.00020406,0.00461763,0.01195759,0.37279710,0.52361062,0.74223752
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-16 00:00:00.000000,0.00216320,0.01352183,0.03314782,1,6,16,0,2,6,0.00022809,0.00496633,0.01312592,0.36654294,0.51584231,0.74169435
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-17 00:00:00.000000,0.00388580,0.01667090,0.03837284,1,8,18,0,2,7,0.00086479,0.00591245,0.01498080,0.36403490,0.51030403,0.73925281
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-18 00:00:00.000000,0.00532657,0.02042682,0.04625244,2,9,22,0,3,8,0.00148295,0.00718806,0.01738245,0.34116856,0.49993023,0.72771770
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-19 00:00:00.000000,0.00720013,0.02402930,0.05209020,3,11,25,0,4,9,0.00194099,0.00889448,0.02009230,0.30882818,0.47727270,0.68702055
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-20 00:00:00.000000,0.00931306,0.02749807,0.06256194,4,13,30,1,5,11,0.00281009,0.01088506,0.02301556,0.28824930,0.46069934,0.63552546
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-21 00:00:00.000000,0.01131029,0.03046567,0.07202369,5,14,35,1,6,13,0.00377595,0.01318775,0.02702582,0.27688720,0.44616746,0.59229427
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-22 00:00:00.000000,0.01277215,0.03337880,0.07999139,6,16,39,2,7,15,0.00442689,0.01477069,0.03195760,0.27351672,0.42199370,0.57244037
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-23 00:00:00.000000,0.01570727,0.03788836,0.08328402,7,18,40,2,7,17,0.00485074,0.01627992,0.03626513,0.27214337,0.39791020,0.55351839
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-24 00:00:00.000000,0.01725419,0.04160970,0.08599103,8,20,42,2,8,20,0.00566192,0.01788516,0.04098936,0.25862834,0.38064815,0.54603919
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-25 00:00:00.000000,0.02030252,0.04466714,0.08877476,9,21,43,3,9,22,0.00673050,0.02018807,0.04612065,0.24269630,0.36783406,0.54278872
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-26 00:00:00.000000,0.02360872,0.04863891,0.09835323,11,23,48,3,10,25,0.00798011,0.02229424,0.05165683,0.23678586,0.34715237,0.53671294
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-27 00:00:00.000000,0.02528575,0.05276695,0.10822497,12,25,52,4,11,28,0.00939023,0.02413001,0.05757216,0.23538175,0.33115667,0.52006733
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-28 00:00:00.000000,0.02704299,0.05628357,0.11804589,13,27,57,5,12,31,0.01084583,0.02624599,0.06379556,0.23060660,0.31517875,0.48775111
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-29 00:00:00.000000,0.02886865,0.06041682,0.12741349,14,29,62,6,14,34,0.01238523,0.02925092,0.07018975,0.21774042,0.30130051,0.46962656
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-30 00:00:00.000000,0.03114877,0.06487002,0.13558061,15,31,66,6,15,36,0.01313669,0.03136799,0.07417661,0.21472176,0.28836062,0.44911752
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-03-31 00:00:00.000000,0.03518414,0.06953456,0.14251882,17,34,69,7,16,38,0.01431885,0.03364637,0.07776147,0.20543209,0.28359043,0.42016838
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-01 00:00:00.000000,0.03841026,0.07406392,0.14835550,18,36,72,8,17,39,0.01659326,0.03553223,0.08153964,0.18677796,0.27724587,0.40113734
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-02 00:00:00.000000,0.04076832,0.07807333,0.15353628,19,38,75,8,18,41,0.01806034,0.03790814,0.08540995,0.17631950,0.27119625,0.38129232
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-03 00:00:00.000000,0.04311727,0.08195259,0.15840718,21,40,77,9,19,43,0.01928949,0.04013872,0.08929200,0.17319065,0.26221437,0.37545705
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-04 00:00:00.000000,0.04549693,0.08549109,0.16314449,22,41,79,10,20,45,0.02046076,0.04238573,0.09309365,0.15801310,0.25491383,0.37494214
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-05 00:00:00.000000,0.04790205,0.08881284,0.16771263,23,43,82,10,21,47,0.02155411,0.04449254,0.09664772,0.15122135,0.24922269,0.36994819
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-06 00:00:00.000000,0.05002260,0.09228923,0.17109546,24,45,83,10,22,48,0.02232081,0.04603109,0.09983668,0.14747814,0.23998304,0.36175870
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-07 00:00:00.000000,0.05220877,0.09600843,0.17432711,25,46,85,11,23,49,0.02352658,0.04805861,0.10139231,0.14335157,0.23677415,0.35735356
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-08 00:00:00.000000,0.05562325,0.09937877,0.17741528,27,48,86,12,24,49,0.02561958,0.04955312,0.10181218,0.13762204,0.23503030,0.35455567
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-09 00:00:00.000000,0.06140519,0.10245802,0.17863112,30,50,87,13,25,49,0.02715504,0.05126240,0.10146751,0.13585631,0.23180990,0.35218027
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-10 00:00:00.000000,0.06475234,0.10973135,0.18288692,31,53,89,13,26,49,0.02847095,0.05366554,0.10141471,0.14231704,0.22548105,0.32562911
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-11 00:00:00.000000,0.06382817,0.11353707,0.18482179,31,55,90,14,27,52,0.02962592,0.05607891,0.10626408,0.14603021,0.22178704,0.32142592
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-12 00:00:00.000000,0.06314545,0.11924568,0.18930782,30,58,92,15,28,54,0.03087798,0.05844741,0.11087988,0.13606382,0.21856811,0.31931761
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-13 00:00:00.000000,0.06511133,0.11984267,0.19072201,31,58,93,16,29,56,0.03355512,0.06034512,0.11532604,0.13422648,0.21247883,0.33743406
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-14 00:00:00.000000,0.06673195,0.12283756,0.19586300,32,60,95,16,29,57,0.03389813,0.06123797,0.11821286,0.13444560,0.21121242,0.34489306
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-15 00:00:00.000000,0.06934344,0.12694897,0.19953901,33,62,97,17,30,58,0.03476796,0.06324952,0.12004354,0.13183521,0.20973134,0.35412684
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-16 00:00:00.000000,0.07348876,0.13070929,0.19648988,35,63,96,18,31,59,0.03680986,0.06524145,0.12160356,0.13883806,0.20712222,0.35187826
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-17 00:00:00.000000,0.07442846,0.13429680,0.19821837,36,65,97,18,32,60,0.03831467,0.06675127,0.12263614,0.14674925,0.20395268,0.34620525
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-18 00:00:00.000000,0.07532534,0.13711259,0.20266419,36,67,99,19,33,60,0.03889154,0.06839317,0.12337488,0.14805406,0.20192432,0.33995176
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-19 00:00:00.000000,0.07617129,0.14251562,0.20832533,37,69,101,19,34,60,0.03996524,0.07072037,0.12403064,0.14259474,0.19873857,0.33322124
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-20 00:00:00.000000,0.08150164,0.14519437,0.21211334,39,71,103,19,36,61,0.04051990,0.07387254,0.12476753,0.14330378,0.19532956,0.32639002
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-21 00:00:00.000000,0.08391070,0.14574280,0.21906338,41,71,107,20,37,62,0.04141639,0.07695050,0.12708014,0.14269330,0.19217179,0.31942672
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-22 00:00:00.000000,0.08420115,0.14816511,0.22600769,41,72,110,21,38,66,0.04352595,0.07870571,0.13488263,0.14365301,0.19198492,0.31152546
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-23 00:00:00.000000,0.08451512,0.15102052,0.23305981,41,73,114,22,39,68,0.04549163,0.08027817,0.13948277,0.14326055,0.19278415,0.30097268
35009,0,USNewMexicoCurry,New Mexico,Curry,2020-11-26 10:09:22.475539,2020-04-24 00:00:00.000000,0.08486931,0.15230593,0.24021446,41,74,117,21,40,68,0.04444004,0.08199766,0.14094371,0.13998494,0.19110233,0.29600726
