FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
35049,0,USNewMexicoSantaFe,New Mexico,Santa Fe,2020-11-09 06:16:35.176099,2020-03-09 00:00:00.000000,0.00218758,0.00620591,0.01098552,3,9,16,0,2,5,0.00008884,0.00143091,0.00364111,0.48385168,0.61083261,0.82017916
35049,0,USNewMexicoSantaFe,New Mexico,Santa Fe,2020-11-09 06:16:35.176099,2020-03-10 00:00:00.000000,0.00323856,0.00892075,0.01614513,4,13,24,1,3,6,0.00085504,0.00218478,0.00464384,0.48384892,0.61072141,0.82016474
35049,0,USNewMexicoSantaFe,New Mexico,Santa Fe,2020-11-09 06:16:35.176099,2020-03-11 00:00:00.000000,0.00437269,0.01214981,0.02338306,6,18,35,1,4,9,0.00132739,0.00325176,0.00618998,0.48384407,0.61052329,0.82013889
35049,0,USNewMexicoSantaFe,New Mexico,Santa Fe,2020-11-09 06:16:35.176099,2020-03-12 00:00:00.000000,0.00561903,0.01514297,0.03132456,8,22,47,2,7,12,0.00184605,0.00471977,0.00826509,0.48383555,0.61017098,0.82009247
35049,0,USNewMexicoSantaFe,New Mexico,Santa Fe,2020-11-09 06:16:35.176099,2020-03-13 00:00:00.000000,0.00700083,0.01879696,0.03994067,10,28,60,3,9,17,0.00245997,0.00623151,0.01145813,0.48382064,0.60854039,0.82000886
35049,0,USNewMexicoSantaFe,New Mexico,Santa Fe,2020-11-09 06:16:35.176099,2020-03-14 00:00:00.000000,0.00853945,0.02313772,0.04932223,12,34,74,4,11,23,0.00316197,0.00785632,0.01535783,0.48379462,0.60572571,0.81985712
35049,0,USNewMexicoSantaFe,New Mexico,Santa Fe,2020-11-09 06:16:35.176099,2020-03-15 00:00:00.000000,0.01025634,0.02768002,0.05986856,15,41,90,5,14,29,0.00395357,0.00954135,0.01966551,0.48374952,0.60207808,0.81957709
35049,0,USNewMexicoSantaFe,New Mexico,Santa Fe,2020-11-09 06:16:35.176099,2020-03-16 00:00:00.000000,0.01292460,0.03195008,0.06512525,19,48,97,7,17,36,0.00484121,0.01162786,0.02442555,0.48367191,0.59865600,0.81904002
35049,0,USNewMexicoSantaFe,New Mexico,Santa Fe,2020-11-09 06:16:35.176099,2020-03-17 00:00:00.000000,0.01726946,0.03688056,0.07121782,25,55,107,9,20,43,0.00602443,0.01371468,0.02876019,0.48353864,0.59663319,0.81792479
35049,0,USNewMexicoSantaFe,New Mexico,Santa Fe,2020-11-09 06:16:35.176099,2020-03-18 00:00:00.000000,0.02022745,0.04298475,0.08129840,30,64,122,11,24,49,0.00749126,0.01615953,0.03298519,0.48330232,0.59019693,0.81531325
