FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-09 00:00:00.000000,0.00764214,0.03065551,0.09197575,1,4,14,0,2,8,0.00415872,0.01524710,0.05554252,0.37201780,0.50772079,0.69428474
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-10 00:00:00.000000,0.00818006,0.03263259,0.10001013,1,5,15,0,2,8,0.00415169,0.01557986,0.05230509,0.37201781,0.50714060,0.69428474
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-11 00:00:00.000000,0.00870799,0.03517954,0.10835579,1,5,16,0,2,8,0.00409381,0.01653374,0.05215136,0.37201782,0.50611026,0.69428474
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-12 00:00:00.000000,0.00923489,0.03773139,0.11716366,1,5,18,0,2,8,0.00415809,0.01762923,0.05628530,0.37201781,0.50429761,0.69428474
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-13 00:00:00.000000,0.00976741,0.04120044,0.12638618,1,6,19,0,3,9,0.00429936,0.01941940,0.06127004,0.37201776,0.50315720,0.69428474
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-14 00:00:00.000000,0.01031065,0.04482135,0.13616602,1,6,21,0,3,10,0.00449009,0.02131444,0.06692673,0.37201750,0.50315711,0.69428473
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-15 00:00:00.000000,0.01086863,0.04895793,0.14651513,1,7,22,0,3,11,0.00471372,0.02318023,0.07318379,0.37201653,0.50315647,0.69428471
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-16 00:00:00.000000,0.01688405,0.06671873,0.17071800,2,10,26,0,3,12,0.00496047,0.02481329,0.08002492,0.37201306,0.50315205,0.69428460
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-17 00:00:00.000000,0.02310434,0.08309910,0.19540701,3,12,30,0,4,13,0.00615884,0.02834165,0.08934685,0.37200085,0.50219503,0.69428394
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-18 00:00:00.000000,0.02904418,0.09932404,0.22723024,4,15,35,1,5,14,0.00812948,0.03543976,0.09607707,0.35538816,0.49902610,0.69427985
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-19 00:00:00.000000,0.03531958,0.11444633,0.26244273,5,17,40,1,6,16,0.01103627,0.04338259,0.10778637,0.33818172,0.48438463,0.69425419
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-20 00:00:00.000000,0.04125312,0.13191562,0.28710530,6,20,44,2,8,18,0.01368086,0.05215352,0.12278188,0.28940598,0.46070104,0.66216872
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-21 00:00:00.000000,0.04577812,0.14989205,0.31551807,7,23,48,2,9,21,0.01599834,0.06233128,0.13673110,0.26729364,0.42147771,0.62789860
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-22 00:00:00.000000,0.05016297,0.16729232,0.35106050,7,25,54,2,11,23,0.01902763,0.07237018,0.15362504,0.25707134,0.39183374,0.61530036
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-23 00:00:00.000000,0.06459390,0.18102364,0.37940647,9,27,58,3,12,26,0.02159195,0.08156358,0.17322753,0.23630898,0.37630158,0.54975605
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-24 00:00:00.000000,0.07318243,0.19917490,0.39932676,11,30,61,3,14,29,0.02540399,0.09201060,0.19025955,0.22682547,0.36159635,0.52988571
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-25 00:00:00.000000,0.08231215,0.22049973,0.43415100,12,34,67,5,15,31,0.03304353,0.10255468,0.20360414,0.21307133,0.34791354,0.49678770
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-26 00:00:00.000000,0.09188756,0.23801335,0.48884223,14,36,75,6,17,33,0.03962795,0.11260254,0.21600605,0.20056248,0.34046378,0.47548351
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-27 00:00:00.000000,0.10192072,0.26101302,0.52798219,15,40,81,6,19,36,0.04474704,0.12346247,0.23513708,0.19233272,0.33850967,0.47199474
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-28 00:00:00.000000,0.11241954,0.28152433,0.55846632,17,43,86,7,20,39,0.05013865,0.13118843,0.25543700,0.18637315,0.32377738,0.43046681
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-29 00:00:00.000000,0.12331721,0.29902897,0.58517955,19,46,90,8,22,41,0.05418917,0.14691469,0.26854481,0.17996257,0.29767283,0.41428437
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-30 00:00:00.000000,0.14573164,0.31143784,0.59622528,22,48,92,8,24,45,0.05546281,0.15711658,0.29440887,0.16970789,0.27908408,0.39951811
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-03-31 00:00:00.000000,0.16456488,0.32518194,0.60533468,25,50,93,10,25,48,0.06844658,0.16516897,0.31245637,0.16076578,0.26455407,0.38009554
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-01 00:00:00.000000,0.18206702,0.34825872,0.63624276,28,53,98,11,26,49,0.07666027,0.17392342,0.32292144,0.15606458,0.26171880,0.37389683
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-02 00:00:00.000000,0.18854886,0.36044904,0.67291246,29,55,104,12,28,51,0.08028002,0.18531462,0.33124634,0.15042023,0.25460546,0.36216807
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-03 00:00:00.000000,0.19469634,0.37157454,0.70572976,30,57,109,12,30,52,0.08372426,0.19656580,0.33808922,0.14072938,0.24169539,0.35342271
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-04 00:00:00.000000,0.20044597,0.38628384,0.71731585,30,59,110,13,31,54,0.08705835,0.20635375,0.35079181,0.13637660,0.23438507,0.33839283
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-05 00:00:00.000000,0.20534918,0.40414823,0.74605266,31,62,115,13,33,57,0.09015136,0.21441639,0.37159098,0.13250827,0.22702024,0.32503847
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-06 00:00:00.000000,0.20995560,0.41252067,0.77280573,32,63,119,14,34,60,0.09280082,0.22002092,0.39001874,0.12804946,0.22109827,0.31108662
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-07 00:00:00.000000,0.21210340,0.41571442,0.81168216,32,64,125,14,34,63,0.09582732,0.22635870,0.40879875,0.12795420,0.21194527,0.31472481
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-08 00:00:00.000000,0.21276307,0.41696688,0.84270331,32,64,130,15,35,65,0.09905509,0.22861969,0.42197951,0.12672381,0.20803778,0.30703291
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-09 00:00:00.000000,0.21262780,0.42928642,0.86328802,32,66,133,15,35,66,0.10236990,0.23204135,0.43276845,0.12177598,0.20477326,0.30292054
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-10 00:00:00.000000,0.21173946,0.42829644,0.88387128,32,66,136,16,36,68,0.10565995,0.23538618,0.44523313,0.11935795,0.20410353,0.30224063
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-11 00:00:00.000000,0.20953634,0.43956406,0.90444965,32,67,139,16,36,72,0.10620166,0.23599937,0.46733214,0.11645372,0.19990262,0.29782042
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-12 00:00:00.000000,0.20360757,0.43921837,0.92502678,31,67,143,16,36,74,0.10577532,0.23863914,0.48247933,0.11035710,0.19567269,0.28903053
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-13 00:00:00.000000,0.20897581,0.44751792,0.93535971,32,69,144,16,37,76,0.10525154,0.24047295,0.49219334,0.10977668,0.19078416,0.28287002
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-14 00:00:00.000000,0.20765910,0.45307841,0.94568102,32,70,146,16,37,77,0.10512156,0.24313043,0.50027609,0.10858990,0.18619343,0.27936361
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-15 00:00:00.000000,0.20457637,0.45616540,0.95575738,31,70,147,16,38,78,0.10526037,0.24735692,0.50717341,0.10634015,0.18195089,0.28013583
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-16 00:00:00.000000,0.20175076,0.45818571,0.96555903,31,70,149,16,39,79,0.10558121,0.25327320,0.51320648,0.10548414,0.17825742,0.27932683
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-17 00:00:00.000000,0.19914271,0.45832018,0.97469390,30,70,150,16,39,80,0.10444339,0.25663203,0.51860708,0.10517412,0.18016946,0.27839255
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-18 00:00:00.000000,0.19675827,0.45554683,0.98116575,30,70,151,15,40,80,0.10294316,0.25999118,0.52356073,0.10532444,0.18257849,0.28121894
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-19 00:00:00.000000,0.19679649,0.45612556,0.99118404,30,70,153,15,40,81,0.10156680,0.25985997,0.52835098,0.10542215,0.18238973,0.28267863
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-20 00:00:00.000000,0.21081093,0.45394944,0.99751293,32,70,154,15,40,82,0.10032202,0.26368276,0.53319407,0.10502279,0.18054333,0.28435223
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-21 00:00:00.000000,0.20990324,0.45669755,1.00336836,32,70,155,16,41,83,0.10389815,0.26754569,0.53996032,0.10402909,0.18008824,0.27812001
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-22 00:00:00.000000,0.20915762,0.45896636,1.01270566,32,70,156,16,41,84,0.10706209,0.26840231,0.54811623,0.10246972,0.17861260,0.27517680
35057,0,USNewMexicoTorrance,New Mexico,Torrance,2020-11-26 09:49:38.904040,2020-04-23 00:00:00.000000,0.20877086,0.45989411,1.02123621,32,71,157,16,41,86,0.10611064,0.26835756,0.55729781,0.10029067,0.18365495,0.28548555
