FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-09 00:00:00.000000,0.00340458,0.02049667,0.03832431,2,14,27,1,7,12,0.00173100,0.00995988,0.01778494,0.56734231,0.71589945,0.93100338
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-10 00:00:00.000000,0.00386038,0.02302529,0.04422534,2,16,31,1,7,14,0.00186296,0.01049460,0.02039802,0.56734007,0.71589873,0.93100312
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-11 00:00:00.000000,0.00438513,0.02574560,0.05087001,3,18,36,1,8,16,0.00206120,0.01141607,0.02358902,0.56733258,0.71589670,0.93100265
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-12 00:00:00.000000,0.00498785,0.02887979,0.05839380,3,20,41,1,9,19,0.00231168,0.01285499,0.02689310,0.56730562,0.71589094,0.93100184
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-13 00:00:00.000000,0.00567879,0.03233333,0.06824372,4,22,48,1,10,22,0.00261031,0.01422188,0.03128089,0.56720522,0.71587435,0.93100042
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-14 00:00:00.000000,0.00646958,0.03573375,0.07981048,4,25,56,2,11,25,0.00295807,0.01574025,0.03615285,0.56682771,0.71582612,0.93099788
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-15 00:00:00.000000,0.00737386,0.04006977,0.09332597,5,28,66,2,12,29,0.00335946,0.01753637,0.04160603,0.56542966,0.71568496,0.93099325
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-16 00:00:00.000000,0.02020088,0.05126306,0.11120127,14,36,78,2,14,33,0.00382063,0.01996007,0.04786731,0.56279342,0.71527029,0.93098449
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-17 00:00:00.000000,0.02954965,0.06396146,0.13144253,20,45,93,5,17,39,0.00729905,0.02446602,0.05546771,0.56225953,0.71234568,0.93096683
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-18 00:00:00.000000,0.03685570,0.07677851,0.15704192,26,54,111,8,21,45,0.01206591,0.02996256,0.06433627,0.56178903,0.70813699,0.93092687
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-19 00:00:00.000000,0.04516287,0.09234943,0.18130799,32,65,128,12,25,54,0.01719914,0.03571994,0.07634188,0.53430658,0.70471848,0.92643607
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-20 00:00:00.000000,0.05466603,0.10811124,0.20534518,38,76,145,15,30,63,0.02144906,0.04296210,0.08979297,0.52383564,0.68806385,0.89940672
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-21 00:00:00.000000,0.06551090,0.12499343,0.23206140,46,88,164,17,36,72,0.02501398,0.05169286,0.10211969,0.51080430,0.66614471,0.88457584
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-22 00:00:00.000000,0.07783057,0.14535188,0.26202340,55,103,185,21,43,82,0.03007647,0.06141642,0.11569481,0.49770382,0.65555106,0.85923787
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-23 00:00:00.000000,0.09237865,0.16435247,0.29440958,65,116,208,25,51,92,0.03648877,0.07211918,0.13069047,0.46720189,0.63883667,0.84579386
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-24 00:00:00.000000,0.11143001,0.18391159,0.33310379,79,130,236,30,59,106,0.04287892,0.08456388,0.15021704,0.45152889,0.61665235,0.82654929
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-25 00:00:00.000000,0.12897891,0.20288635,0.38744654,91,143,274,38,68,124,0.05383943,0.09587187,0.17568723,0.43385401,0.58279003,0.80264956
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-26 00:00:00.000000,0.14588756,0.22611309,0.44756749,103,160,317,44,77,145,0.06280264,0.10917255,0.20488487,0.40825342,0.56565469,0.80172513
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-27 00:00:00.000000,0.16361943,0.25005128,0.47258856,116,177,335,49,85,168,0.06978080,0.12060861,0.23818294,0.38898061,0.52752494,0.79719787
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-28 00:00:00.000000,0.18296483,0.27202047,0.52432838,129,192,371,54,94,182,0.07663815,0.13366639,0.25759875,0.35590766,0.49715290,0.71939434
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-29 00:00:00.000000,0.19634456,0.29324009,0.58386172,139,208,414,59,103,194,0.08321185,0.14611439,0.27380150,0.33606835,0.47123816,0.68683875
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-30 00:00:00.000000,0.20017810,0.31405862,0.64298943,142,222,456,64,113,207,0.09123374,0.15969744,0.29291567,0.31457759,0.45129487,0.63396997
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-03-31 00:00:00.000000,0.20385568,0.33404441,0.68760665,144,236,487,71,122,232,0.10083358,0.17222592,0.32736631,0.30275970,0.43630576,0.60496424
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-04-01 00:00:00.000000,0.20966028,0.35356863,0.73777016,148,250,523,73,131,259,0.10353885,0.18523942,0.36600601,0.29751905,0.42884507,0.57487032
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-04-02 00:00:00.000000,0.22179372,0.37783204,0.77816166,157,268,552,76,141,290,0.10826305,0.19878922,0.40956021,0.29569590,0.41585596,0.54256206
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-04-03 00:00:00.000000,0.23464394,0.39924728,0.81607208,166,283,578,81,149,323,0.11481474,0.21054540,0.45632404,0.29498080,0.40267613,0.52058435
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-04-04 00:00:00.000000,0.24854447,0.41817965,0.85099284,176,296,603,86,155,339,0.12168838,0.21979168,0.47895180,0.28497077,0.38589963,0.50615011
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-04-05 00:00:00.000000,0.26409128,0.43529537,0.88566251,187,308,628,91,165,353,0.12894217,0.23259732,0.49812052,0.26391550,0.37950833,0.49882024
36053,0,USNewYorkMadison,New York,Madison,2020-11-09 05:59:49.788564,2020-04-06 00:00:00.000000,0.28435177,0.45501441,0.93339870,201,322,662,97,172,365,0.13681305,0.24349148,0.51482406,0.26291679,0.37614116,0.49363212
