FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
36099,0,USNewYorkSeneca,New York,Seneca,2020-11-09 05:47:18.716892,2020-03-09 00:00:00.000000,0.00356732,0.01597737,0.06845522,1,5,23,0,2,12,0.00172679,0.00772281,0.03626193,0.51527295,0.66115900,0.97422166
36099,0,USNewYorkSeneca,New York,Seneca,2020-11-09 05:47:18.716892,2020-03-10 00:00:00.000000,0.00425561,0.01857158,0.07589957,1,6,25,0,2,13,0.00187887,0.00841712,0.03852608,0.51527293,0.66115870,0.97419999
36099,0,USNewYorkSeneca,New York,Seneca,2020-11-09 05:47:18.716892,2020-03-11 00:00:00.000000,0.00489015,0.02170161,0.08412534,1,7,28,0,3,14,0.00216158,0.00938273,0.04199677,0.51527290,0.66115794,0.97415506
36099,0,USNewYorkSeneca,New York,Seneca,2020-11-09 05:47:18.716892,2020-03-12 00:00:00.000000,0.00544008,0.02453017,0.09375664,1,8,31,0,3,16,0.00248415,0.01066669,0.04763228,0.51527285,0.66115600,0.97406198
36099,0,USNewYorkSeneca,New York,Seneca,2020-11-09 05:47:18.716892,2020-03-13 00:00:00.000000,0.00605238,0.02775637,0.10436116,2,9,35,0,4,18,0.00285825,0.01203856,0.05449296,0.51527277,0.66115094,0.97386933
36099,0,USNewYorkSeneca,New York,Seneca,2020-11-09 05:47:18.716892,2020-03-14 00:00:00.000000,0.00673472,0.03108961,0.11608937,2,10,39,1,4,20,0.00324653,0.01344575,0.06141023,0.51527261,0.66113722,0.97347164
36099,0,USNewYorkSeneca,New York,Seneca,2020-11-09 05:47:18.716892,2020-03-15 00:00:00.000000,0.00749523,0.03455947,0.12908447,2,11,43,1,5,23,0.00364649,0.01521352,0.06819992,0.51527217,0.66109825,0.97265492
36099,0,USNewYorkSeneca,New York,Seneca,2020-11-09 05:47:18.716892,2020-03-16 00:00:00.000000,0.01246007,0.04380609,0.14868764,4,14,50,1,5,25,0.00408646,0.01723251,0.07579018,0.51527018,0.66098076,0.97099498
36099,0,USNewYorkSeneca,New York,Seneca,2020-11-09 05:47:18.716892,2020-03-17 00:00:00.000000,0.01889753,0.05850806,0.16983944,6,19,57,1,7,29,0.00560987,0.02085752,0.08561575,0.51525724,0.65747397,0.96768878
36099,0,USNewYorkSeneca,New York,Seneca,2020-11-09 05:47:18.716892,2020-03-18 00:00:00.000000,0.02425518,0.07208240,0.19308303,8,24,65,2,8,33,0.00716118,0.02604637,0.09724746,0.51433684,0.65535502,0.96134464
36099,0,USNewYorkSeneca,New York,Seneca,2020-11-09 05:47:18.716892,2020-03-19 00:00:00.000000,0.03140821,0.08559042,0.21862932,10,29,74,3,10,37,0.01005559,0.03123561,0.11051882,0.50797424,0.65356513,0.94991438
