FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37005,0,USNorthCarolinaAlleghany,North Carolina,Alleghany,2020-12-05 01:41:02.503694,2020-03-09 00:00:00.000000,0.00707394,0.03825035,0.11315046,0,4,12,0,2,7,0.00424262,0.02319756,0.07005111,0.37174828,0.49222412,0.67149133
37005,0,USNorthCarolinaAlleghany,North Carolina,Alleghany,2020-12-05 01:41:02.503694,2020-03-10 00:00:00.000000,0.00740824,0.04133419,0.11811464,0,4,13,0,2,7,0.00423628,0.02367221,0.06705071,0.37174350,0.49199076,0.67040480
37005,0,USNorthCarolinaAlleghany,North Carolina,Alleghany,2020-12-05 01:41:02.503694,2020-03-11 00:00:00.000000,0.00778677,0.04479134,0.12418181,0,4,13,0,2,7,0.00438679,0.02457238,0.06894962,0.37173207,0.49153992,0.66878295
37005,0,USNorthCarolinaAlleghany,North Carolina,Alleghany,2020-12-05 01:41:02.503694,2020-03-12 00:00:00.000000,0.00819093,0.04850747,0.13150759,0,5,14,0,2,8,0.00460487,0.02564973,0.07515260,0.37170469,0.49067452,0.66637342
37005,0,USNorthCarolinaAlleghany,North Carolina,Alleghany,2020-12-05 01:41:02.503694,2020-03-13 00:00:00.000000,0.00861359,0.05120246,0.14228096,0,5,15,0,3,9,0.00485347,0.02758913,0.08193751,0.37163910,0.48903507,0.66281861
37005,0,USNorthCarolinaAlleghany,North Carolina,Alleghany,2020-12-05 01:41:02.503694,2020-03-14 00:00:00.000000,0.00905193,0.05362239,0.15595014,1,5,17,0,3,9,0.00511771,0.02980948,0.08911442,0.37148206,0.48728897,0.66142732
37005,0,USNorthCarolinaAlleghany,North Carolina,Alleghany,2020-12-05 01:41:02.503694,2020-03-15 00:00:00.000000,0.00950419,0.05612317,0.17059072,1,6,18,0,3,10,0.00539191,0.03212019,0.09662717,0.37124440,0.48692181,0.66139728
37005,0,USNorthCarolinaAlleghany,North Carolina,Alleghany,2020-12-05 01:41:02.503694,2020-03-16 00:00:00.000000,0.02501631,0.07642959,0.18598662,2,8,20,0,3,11,0.00567385,0.03429407,0.10429696,0.37110248,0.48441146,0.66129120
37005,0,USNorthCarolinaAlleghany,North Carolina,Alleghany,2020-12-05 01:41:02.503694,2020-03-17 00:00:00.000000,0.03401062,0.09159945,0.22472419,3,10,25,1,4,12,0.00971782,0.04052149,0.11370817,0.36793274,0.47636713,0.66091646
37005,0,USNorthCarolinaAlleghany,North Carolina,Alleghany,2020-12-05 01:41:02.503694,2020-03-18 00:00:00.000000,0.04264803,0.10781362,0.25586052,4,12,28,1,5,14,0.01730631,0.05068138,0.12927628,0.34514843,0.46678908,0.65904479
37005,0,USNorthCarolinaAlleghany,North Carolina,Alleghany,2020-12-05 01:41:02.503694,2020-03-19 00:00:00.000000,0.05171887,0.12913102,0.31068729,5,14,34,2,7,16,0.02303433,0.06349535,0.14737033,0.31095943,0.44015488,0.62607328
37005,0,USNorthCarolinaAlleghany,North Carolina,Alleghany,2020-12-05 01:41:02.503694,2020-03-20 00:00:00.000000,0.05863972,0.15090302,0.37670329,6,16,41,3,8,18,0.03062942,0.07802310,0.16728483,0.28937664,0.43346089,0.62227009
37005,0,USNorthCarolinaAlleghany,North Carolina,Alleghany,2020-12-05 01:41:02.503694,2020-03-21 00:00:00.000000,0.06583142,0.16840453,0.44494184,7,18,49,3,9,22,0.03437094,0.08940198,0.20282278,0.27984165,0.42148067,0.60376050
37005,0,USNorthCarolinaAlleghany,North Carolina,Alleghany,2020-12-05 01:41:02.503694,2020-03-22 00:00:00.000000,0.07286334,0.18955532,0.50709020,8,21,56,4,11,27,0.03729290,0.10186226,0.24256188,0.26308488,0.38839556,0.54334909
37005,0,USNorthCarolinaAlleghany,North Carolina,Alleghany,2020-12-05 01:41:02.503694,2020-03-23 00:00:00.000000,0.08600172,0.21476589,0.53726656,9,23,59,4,12,31,0.04011314,0.11448858,0.28103674,0.24587106,0.36673183,0.51989417
37005,0,USNorthCarolinaAlleghany,North Carolina,Alleghany,2020-12-05 01:41:02.503694,2020-03-24 00:00:00.000000,0.10120373,0.23273064,0.55257053,11,25,61,5,14,34,0.04611490,0.12897311,0.30760705,0.23616995,0.35551759,0.50222591
