FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-09 00:00:00.000000,0.00414199,0.01071092,0.02522203,4,12,29,0,4,13,0.00077133,0.00387385,0.01171892,0.59011058,0.70336502,0.91814612
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-10 00:00:00.000000,0.00616036,0.01783954,0.02903388,7,20,34,1,5,16,0.00142716,0.00451257,0.01389100,0.59010887,0.70336339,0.91814604
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-11 00:00:00.000000,0.00827825,0.02569805,0.03359343,9,30,39,2,7,18,0.00222084,0.00614405,0.01609568,0.59009859,0.70336104,0.91814586
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-12 00:00:00.000000,0.01057905,0.03295232,0.04088863,12,38,48,3,10,21,0.00322201,0.00870566,0.01845773,0.59003681,0.70335690,0.91814542
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-13 00:00:00.000000,0.01324923,0.03939770,0.05219299,15,46,61,5,14,24,0.00439903,0.01215424,0.02105751,0.58966639,0.70334638,0.91814417
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-14 00:00:00.000000,0.01627199,0.04624736,0.06539603,19,54,76,6,18,28,0.00574523,0.01575159,0.02458759,0.58748005,0.70330786,0.91814021
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-15 00:00:00.000000,0.01970015,0.05349683,0.08034623,23,62,94,8,24,36,0.00721921,0.02045831,0.03091911,0.57569782,0.70239587,0.91812681
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-16 00:00:00.000000,0.02549932,0.06178482,0.09293213,29,72,109,10,30,46,0.00894651,0.02566137,0.03934042,0.55641994,0.69620394,0.91807954
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-17 00:00:00.000000,0.03152453,0.07087575,0.10832828,37,83,127,13,35,56,0.01152141,0.03015034,0.04774727,0.52124118,0.69128155,0.91790907
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-18 00:00:00.000000,0.03705239,0.08099141,0.12634199,43,95,148,17,40,66,0.01450849,0.03441695,0.05681539,0.50877811,0.68869393,0.91728841
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-19 00:00:00.000000,0.04203867,0.09384860,0.14703304,49,110,172,21,45,78,0.01821339,0.03870099,0.06696489,0.50311186,0.68609753,0.91503216
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-20 00:00:00.000000,0.04733787,0.10802901,0.17004616,55,126,199,25,51,92,0.02143021,0.04348275,0.07846543,0.50214024,0.66872474,0.90703438
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-21 00:00:00.000000,0.05292681,0.12040795,0.19469340,62,141,228,28,56,107,0.02430739,0.04850282,0.09139456,0.50196279,0.63004128,0.90148188
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-22 00:00:00.000000,0.05902372,0.13069867,0.22138222,69,153,259,32,64,124,0.02734543,0.05526578,0.10562238,0.50192614,0.61007069,0.90378364
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-23 00:00:00.000000,0.07139972,0.14585553,0.25064067,83,171,294,35,74,142,0.03061289,0.06341539,0.12115734,0.49507227,0.59243932,0.90231785
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-24 00:00:00.000000,0.08257063,0.16404314,0.28367408,96,192,333,40,82,162,0.03484369,0.07061208,0.13814873,0.49394650,0.58316343,0.90237742
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-25 00:00:00.000000,0.09446823,0.18058110,0.32096325,110,212,376,47,90,184,0.04010050,0.07669144,0.15698948,0.49334075,0.58039563,0.90206236
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-26 00:00:00.000000,0.10714319,0.19498510,0.36298481,125,228,426,54,98,209,0.04631036,0.08383990,0.17804907,0.47654124,0.57671594,0.90121486
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-27 00:00:00.000000,0.12062776,0.21153068,0.41014102,141,248,481,62,106,236,0.05322653,0.09060517,0.20167461,0.45406510,0.57276172,0.89897630
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-28 00:00:00.000000,0.13484632,0.22677052,0.46241663,158,266,542,70,117,267,0.06013897,0.10022643,0.22818145,0.44819383,0.55942429,0.89218103
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-29 00:00:00.000000,0.14941631,0.24280145,0.51831339,175,285,608,79,126,302,0.06758888,0.10782039,0.25776439,0.43344650,0.53017409,0.87006502
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-30 00:00:00.000000,0.15884291,0.26114437,0.57256918,186,306,672,88,135,340,0.07549219,0.11570474,0.29018117,0.42604988,0.49467139,0.80913781
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-03-31 00:00:00.000000,0.17167335,0.27542740,0.61861320,201,323,726,97,145,380,0.08263956,0.12397151,0.32397177,0.40925936,0.46354492,0.71274634
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-04-01 00:00:00.000000,0.18731898,0.28753084,0.65271105,219,337,766,104,160,418,0.08922269,0.13650806,0.35659421,0.37051464,0.43904543,0.64216729
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2020-10-16 20:00:45.829564,2020-04-02 00:00:00.000000,0.20415849,0.30769875,0.67673275,239,361,794,112,172,452,0.09548688,0.14715315,0.38548752,0.31836919,0.42355669,0.60701221
