FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-09 00:00:00.000000,0.00413609,0.01055421,0.02986187,2,6,18,0,2,8,0.00080735,0.00474423,0.01318533,0.48813018,0.68580355,0.85149074
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-10 00:00:00.000000,0.00670557,0.01493828,0.03790876,4,9,23,0,3,8,0.00135721,0.00520728,0.01376002,0.48813070,0.68580359,0.85149068
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-11 00:00:00.000000,0.00929899,0.01870050,0.04753547,5,11,29,1,3,9,0.00216359,0.00605031,0.01501547,0.48813195,0.68580372,0.85149039
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-12 00:00:00.000000,0.01164168,0.02268575,0.05765412,7,14,35,1,4,11,0.00317481,0.00745748,0.01821129,0.48813499,0.68580411,0.85148893
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-13 00:00:00.000000,0.01452207,0.02683513,0.06848072,8,16,42,2,5,13,0.00396861,0.00927364,0.02238341,0.48814246,0.68580514,0.85148123
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-14 00:00:00.000000,0.01763608,0.03135187,0.07604124,10,19,46,3,7,16,0.00489297,0.01173777,0.02717631,0.48816090,0.68580749,0.85143841
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-15 00:00:00.000000,0.02101606,0.03679376,0.08404515,12,22,51,3,8,20,0.00601102,0.01409871,0.03256849,0.48820666,0.68581143,0.85119162
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-16 00:00:00.000000,0.02445470,0.04477866,0.09367112,15,27,57,4,10,23,0.00737936,0.01656928,0.03854976,0.48832055,0.67513257,0.84974145
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-17 00:00:00.000000,0.02869899,0.05314266,0.10366474,17,32,64,5,12,26,0.00884747,0.01966432,0.04329018,0.48860435,0.66941139,0.84679121
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-18 00:00:00.000000,0.03410057,0.06222512,0.11403834,21,38,70,6,14,29,0.01049887,0.02320934,0.04810825,0.48931032,0.66131346,0.84204517
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-19 00:00:00.000000,0.04001730,0.07135051,0.13497631,24,44,83,7,16,32,0.01264200,0.02742702,0.05325504,0.49105293,0.66059883,0.81350525
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-20 00:00:00.000000,0.04652631,0.08058161,0.15147529,28,49,93,9,19,36,0.01506316,0.03195233,0.05868423,0.49023417,0.65511318,0.81355017
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-21 00:00:00.000000,0.05245538,0.09151006,0.17160969,32,56,106,10,22,42,0.01776969,0.03638361,0.06860141,0.48174889,0.64871446,0.81905547
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-22 00:00:00.000000,0.05927916,0.10380583,0.19869014,36,64,122,12,26,49,0.02078028,0.04279321,0.08008916,0.47374169,0.64597945,0.82114821
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-23 00:00:00.000000,0.06805192,0.11872948,0.22341331,42,73,138,14,30,57,0.02412394,0.04859404,0.09357671,0.46490944,0.64218610,0.81943387
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-24 00:00:00.000000,0.07786018,0.13536619,0.25245640,48,83,155,17,34,66,0.02785300,0.05587216,0.10770678,0.46216965,0.63777280,0.80941441
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-25 00:00:00.000000,0.08883435,0.15442200,0.28592606,54,95,176,19,38,76,0.03200912,0.06288019,0.12308091,0.45933281,0.64046493,0.80849076
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-26 00:00:00.000000,0.10111107,0.17545421,0.32412312,62,108,200,22,43,88,0.03663307,0.06989008,0.14279697,0.45665406,0.63994473,0.80834408
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-27 00:00:00.000000,0.11485049,0.19585766,0.36742887,70,120,226,25,48,102,0.04177438,0.07848371,0.16533676,0.45349820,0.63878431,0.80774990
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-28 00:00:00.000000,0.12691068,0.21838188,0.41612264,78,134,257,29,54,117,0.04748399,0.08833155,0.19045924,0.45203341,0.63409050,0.80608082
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-29 00:00:00.000000,0.13958383,0.24201251,0.46873849,86,149,289,33,61,134,0.05381310,0.09884531,0.21841643,0.45126153,0.62548682,0.80468258
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-30 00:00:00.000000,0.15355074,0.27222650,0.51901004,94,168,320,37,68,153,0.06081153,0.11128770,0.24909497,0.42617615,0.61401639,0.84451881
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-03-31 00:00:00.000000,0.16908503,0.30472902,0.57121160,104,188,352,42,77,172,0.06899989,0.12576162,0.27903302,0.40872921,0.61337142,0.85232431
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-01 00:00:00.000000,0.18679250,0.34582682,0.63518885,115,213,392,48,88,192,0.07803489,0.14381735,0.31192337,0.40418126,0.61993421,0.85110884
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-02 00:00:00.000000,0.20291083,0.38553444,0.71449854,125,238,441,54,102,215,0.08798881,0.16569379,0.34817539,0.40728455,0.61418035,0.84805912
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-03 00:00:00.000000,0.22315247,0.42991809,0.80191420,137,265,495,61,114,239,0.09900623,0.18523823,0.38800679,0.40942546,0.60714353,0.84346007
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-04 00:00:00.000000,0.25009762,0.47776214,0.89292612,154,295,551,68,127,266,0.11124785,0.20666663,0.43118947,0.41072891,0.60562185,0.85033986
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-05 00:00:00.000000,0.27360298,0.53240578,0.98928274,169,328,611,77,140,294,0.12490080,0.22716843,0.47718588,0.41149204,0.60733361,0.89066625
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-06 00:00:00.000000,0.30911211,0.58697229,1.09522638,190,362,676,85,154,324,0.13884762,0.24963944,0.52588372,0.41837539,0.60728621,0.86915125
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-07 00:00:00.000000,0.34923945,0.63626337,1.21246177,215,393,749,92,171,357,0.14947803,0.27758545,0.57808674,0.42358870,0.60652035,0.85163307
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-08 00:00:00.000000,0.38684802,0.69315539,1.34196968,238,428,829,99,188,391,0.16160992,0.30526867,0.63436601,0.41246538,0.60203895,0.83746881
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-09 00:00:00.000000,0.41974114,0.75828746,1.48459857,259,468,917,110,206,429,0.17860676,0.33384687,0.69532100,0.41242953,0.60417621,0.82666854
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-10 00:00:00.000000,0.45479460,0.82967297,1.64000368,280,512,1013,122,227,470,0.19761801,0.36866407,0.76156379,0.40919746,0.59815455,0.81450824
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-11 00:00:00.000000,0.50599361,0.91464032,1.80318053,312,565,1113,134,249,515,0.21805786,0.40350327,0.83375919,0.40500094,0.59934049,0.78982919
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-12 00:00:00.000000,0.56258425,1.00604889,1.97549944,347,621,1220,148,274,563,0.23977671,0.44389137,0.91268545,0.40255258,0.58022087,0.76557346
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-13 00:00:00.000000,0.62964070,1.10341138,2.16320506,388,681,1336,162,302,617,0.26371621,0.48911755,0.99925762,0.38772318,0.57638932,0.75055130
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-14 00:00:00.000000,0.70340927,1.21085152,2.36759927,434,748,1462,181,332,675,0.29344977,0.53865028,1.09400611,0.38231848,0.56897757,0.74828841
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-15 00:00:00.000000,0.77443553,1.33176224,2.57944898,478,822,1593,197,368,739,0.32016733,0.59710265,1.19732365,0.37013840,0.55472755,0.73176450
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-16 00:00:00.000000,0.83843559,1.48592964,2.77348391,517,917,1713,213,407,807,0.34507875,0.65993012,1.30775457,0.36422697,0.54194565,0.72163494
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-17 00:00:00.000000,0.89921085,1.63884438,2.93207859,555,1012,1811,229,451,877,0.37222641,0.73109779,1.42026023,0.35078779,0.52540525,0.71124424
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-18 00:00:00.000000,0.95059611,1.79285082,3.07262037,587,1107,1898,248,498,943,0.40208181,0.80614955,1.52790286,0.32788472,0.48614002,0.67466574
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-19 00:00:00.000000,1.00391884,1.87913738,3.21122762,620,1160,1983,268,545,1006,0.43479725,0.88296656,1.62883636,0.32210542,0.46628863,0.63918894
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-20 00:00:00.000000,1.06102740,1.99422796,3.35504841,655,1232,2072,291,580,1065,0.47219611,0.93943601,1.72475079,0.31767615,0.43557389,0.60596594
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-21 00:00:00.000000,1.12986280,2.09907432,3.50348193,698,1296,2164,316,619,1123,0.51296383,1.00208909,1.81821919,0.30263830,0.41483461,0.59405796
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-22 00:00:00.000000,1.20169386,2.20674767,3.65699565,742,1363,2259,342,662,1180,0.55367992,1.07247308,1.91095764,0.29019222,0.39368450,0.57524656
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-23 00:00:00.000000,1.26855555,2.32350013,3.75899646,783,1435,2322,367,714,1232,0.59439964,1.15617217,1.99536074,0.26722161,0.36846216,0.56657535
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-24 00:00:00.000000,1.32354251,2.43821858,3.83740452,817,1506,2370,392,753,1281,0.63497032,1.21951192,2.07466140,0.25531716,0.34662023,0.53519222
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-25 00:00:00.000000,1.40873740,2.52909034,3.91505218,870,1562,2418,417,789,1328,0.67523693,1.27791270,2.15068464,0.23861086,0.33399462,0.51302036
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-26 00:00:00.000000,1.48239190,2.60464893,3.99174649,915,1609,2466,441,829,1372,0.71459668,1.34241298,2.22201119,0.22990120,0.31366910,0.48055439
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-27 00:00:00.000000,1.54893762,2.64021543,4.07090147,956,1631,2514,465,862,1413,0.75291605,1.39636759,2.28769947,0.22355789,0.29914805,0.46926348
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-28 00:00:00.000000,1.58206141,2.73352674,4.14993754,977,1688,2563,487,898,1450,0.78953983,1.45505548,2.34754785,0.21624499,0.28856919,0.44785940
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-29 00:00:00.000000,1.60941544,2.80143421,4.22872361,994,1730,2612,509,920,1483,0.82477948,1.49040086,2.40167080,0.21514332,0.27717939,0.42537529
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-04-30 00:00:00.000000,1.62280200,2.84211913,4.30475568,1002,1755,2659,530,937,1513,0.85808976,1.51730454,2.44981688,0.21121437,0.26972366,0.39745297
37105,0,USNorthCarolinaLee,North Carolina,Lee,2020-10-27 15:23:51.222505,2020-05-01 00:00:00.000000,1.62842166,2.84645779,4.36703935,1006,1758,2697,548,967,1538,0.88743546,1.56623468,2.49045665,0.19793443,0.26215126,0.37012924
