FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-09 00:00:00.000000,0.00356475,0.02129797,0.07356732,0,3,11,0,1,5,0.00171489,0.01143651,0.03969620,0.38497981,0.54952728,0.79607337
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-10 00:00:00.000000,0.00405585,0.02347633,0.07783149,0,3,11,0,1,5,0.00177635,0.01090787,0.03824234,0.38497977,0.54950390,0.79605115
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-11 00:00:00.000000,0.00436642,0.02499936,0.08548522,0,3,12,0,1,5,0.00196231,0.01125802,0.03915566,0.38497968,0.54945333,0.79601528
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-12 00:00:00.000000,0.00468771,0.02694490,0.09332351,0,4,13,0,1,6,0.00219298,0.01246330,0.04202400,0.38497942,0.54934370,0.79595809
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-13 00:00:00.000000,0.00502467,0.02954057,0.10134016,0,4,15,0,1,6,0.00228548,0.01308047,0.04547201,0.38497831,0.54910568,0.79472181
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-14 00:00:00.000000,0.00538095,0.03360653,0.10951524,0,5,16,0,2,7,0.00240774,0.01389966,0.04854519,0.38497194,0.54869245,0.78945702
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-15 00:00:00.000000,0.00575947,0.03668098,0.11585638,0,5,17,0,2,7,0.00255276,0.01481222,0.05127050,0.38493070,0.54515409,0.78185066
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-16 00:00:00.000000,0.01205123,0.04600529,0.13173261,1,6,19,0,2,8,0.00271659,0.01585701,0.05424041,0.38364208,0.54005675,0.77157164
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-17 00:00:00.000000,0.01641693,0.05672109,0.15533215,2,8,23,0,2,8,0.00408639,0.01821699,0.05906444,0.37950922,0.53312572,0.75886454
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-18 00:00:00.000000,0.02109857,0.06681374,0.17932113,3,9,26,0,3,9,0.00597341,0.02200085,0.06515614,0.35672306,0.52692160,0.75200005
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-19 00:00:00.000000,0.02628150,0.07992948,0.20201010,3,11,30,1,3,11,0.00784065,0.02620448,0.07655345,0.34921471,0.50705847,0.73079907
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-20 00:00:00.000000,0.03256140,0.09057491,0.24017141,4,13,35,1,4,13,0.00999792,0.03051946,0.08998112,0.31434164,0.48555834,0.72310285
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-21 00:00:00.000000,0.03761448,0.10149628,0.27258354,5,15,40,1,5,15,0.01237498,0.03675422,0.10451308,0.30542086,0.44632442,0.70485489
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-22 00:00:00.000000,0.04407646,0.11269758,0.30589912,6,16,45,2,6,17,0.01489691,0.04140299,0.11632746,0.28910661,0.42998108,0.68764065
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-23 00:00:00.000000,0.05604960,0.12951691,0.31692383,8,19,47,2,6,19,0.01752613,0.04674773,0.12720652,0.28805571,0.41247697,0.65189288
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-24 00:00:00.000000,0.06815827,0.14250253,0.32653095,10,21,48,3,8,20,0.02255201,0.05395679,0.13613564,0.26825768,0.39648592,0.62014756
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-25 00:00:00.000000,0.07667011,0.15735184,0.33427543,11,23,50,4,9,21,0.02894264,0.06246432,0.14377118,0.25019927,0.38566659,0.59793407
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-26 00:00:00.000000,0.08633285,0.17600217,0.33993613,12,26,50,5,10,22,0.03380708,0.07095942,0.15047333,0.23996077,0.37524539,0.57333884
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-27 00:00:00.000000,0.10039308,0.19313733,0.35083998,15,28,52,5,11,23,0.03834843,0.07861422,0.15932626,0.21943483,0.35985354,0.55008857
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-28 00:00:00.000000,0.10986066,0.20509754,0.37037699,16,30,55,6,13,25,0.04292252,0.08695944,0.16965961,0.20067743,0.35110018,0.54059056
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-29 00:00:00.000000,0.11937198,0.21786620,0.38364990,17,32,57,7,14,26,0.04945688,0.09391435,0.17937072,0.19440091,0.33959631,0.53567819
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-30 00:00:00.000000,0.13342718,0.22920822,0.38477757,19,34,57,8,15,28,0.05721227,0.10105252,0.18854272,0.19280366,0.32675817,0.52060260
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-03-31 00:00:00.000000,0.14754770,0.24065502,0.40192522,22,36,60,9,16,28,0.06288534,0.10860863,0.19352766,0.18669163,0.31794531,0.50345234
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-01 00:00:00.000000,0.15608766,0.25298027,0.41713201,23,37,62,10,17,30,0.06684207,0.11684724,0.20165457,0.17854262,0.30974927,0.50572439
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-02 00:00:00.000000,0.16475056,0.26428549,0.42212415,24,39,63,10,18,31,0.07089958,0.12323178,0.20897366,0.17596789,0.29512394,0.49947243
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-03 00:00:00.000000,0.17349432,0.27388182,0.42618025,25,40,63,11,19,32,0.07668804,0.12933213,0.21743868,0.17100573,0.28913811,0.48653954
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-04 00:00:00.000000,0.18230767,0.28275984,0.44496927,27,42,66,12,20,33,0.08289832,0.13626054,0.22389607,0.15965648,0.28595158,0.48238737
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-05 00:00:00.000000,0.19313147,0.29140267,0.46440192,28,43,69,12,21,35,0.08630357,0.14068704,0.23821306,0.15255322,0.26977355,0.46793622
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-06 00:00:00.000000,0.20437005,0.30451270,0.47380975,30,45,70,13,21,37,0.09017973,0.14691566,0.25202110,0.15182624,0.25886789,0.44574789
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-07 00:00:00.000000,0.21437063,0.31409886,0.49537836,32,47,74,14,22,39,0.09366158,0.15317250,0.26201063,0.14600390,0.24350730,0.44215374
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-08 00:00:00.000000,0.22343862,0.31937833,0.51968273,33,47,77,14,23,39,0.09829278,0.15654741,0.26580062,0.15035718,0.23825840,0.43440885
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-09 00:00:00.000000,0.22580003,0.32645834,0.54432007,33,48,81,15,23,39,0.10319128,0.15926819,0.26718788,0.15330996,0.23448109,0.42096426
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-10 00:00:00.000000,0.22604815,0.34185584,0.56020935,33,51,83,16,24,40,0.10821850,0.16323187,0.26943660,0.15425075,0.23120399,0.41322366
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-11 00:00:00.000000,0.22628424,0.35307392,0.57047950,33,52,85,16,25,40,0.11063134,0.16857774,0.27387038,0.15591537,0.22548515,0.40213855
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-12 00:00:00.000000,0.22656183,0.35538171,0.58182798,33,53,87,16,25,41,0.11235703,0.17357014,0.27676721,0.15458238,0.21742838,0.39181174
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-13 00:00:00.000000,0.21822515,0.35077931,0.58823478,32,52,88,17,26,43,0.11401021,0.17901685,0.28934701,0.15228355,0.21296083,0.38391913
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-14 00:00:00.000000,0.21000037,0.35206216,0.59706748,31,52,89,17,27,44,0.11461672,0.18252423,0.29851608,0.14794170,0.21484719,0.37645541
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-15 00:00:00.000000,0.20162636,0.35147141,0.60465337,30,52,90,17,27,45,0.11449223,0.18056634,0.30531946,0.13673362,0.21928506,0.37164938
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-16 00:00:00.000000,0.19329089,0.35090965,0.60989056,28,52,91,17,26,46,0.11387098,0.17992191,0.31073667,0.13277053,0.21478287,0.35871950
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-17 00:00:00.000000,0.18515295,0.34278323,0.61036392,27,51,91,16,26,46,0.11294333,0.17950665,0.31008108,0.13169630,0.21235715,0.34187907
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-18 00:00:00.000000,0.17738111,0.33378680,0.62207759,26,49,93,16,26,46,0.10848551,0.17812335,0.30855530,0.13119610,0.20514913,0.32953111
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-19 00:00:00.000000,0.17011592,0.32503053,0.62763329,25,48,93,15,26,46,0.10389066,0.17570344,0.31276377,0.12997367,0.20422072,0.32448585
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-20 00:00:00.000000,0.16345532,0.31642231,0.63138924,24,47,94,14,25,46,0.09936746,0.17265111,0.31405436,0.12973450,0.19809210,0.31604730
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-21 00:00:00.000000,0.15719713,0.30918097,0.63245415,23,46,94,14,25,46,0.09498613,0.16901234,0.31311855,0.12907753,0.19817499,0.31240883
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-22 00:00:00.000000,0.15223123,0.30495987,0.62923265,22,45,94,13,25,47,0.09079200,0.16740947,0.31481614,0.12871221,0.19671814,0.31289783
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-23 00:00:00.000000,0.15002492,0.29654752,0.62460227,22,44,93,12,24,47,0.08681448,0.16614514,0.31543333,0.13212344,0.19629210,0.31049922
37121,0,USNorthCarolinaMitchell,North Carolina,Mitchell,2020-11-26 07:56:28.599634,2020-04-24 00:00:00.000000,0.14803921,0.28794716,0.61959676,22,43,92,12,24,47,0.08309076,0.16442337,0.31504414,0.13146059,0.19563430,0.30108014
