FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37133,0,USNorthCarolinaOnslow,North Carolina,Onslow,2020-10-16 21:17:09.340973,2020-03-09 00:00:00.000000,0.00103413,0.00262068,0.00574898,2,5,11,0,1,4,0.00013408,0.00084862,0.00218007,0.43207873,0.58394083,0.80017723
37133,0,USNorthCarolinaOnslow,North Carolina,Onslow,2020-10-16 21:17:09.340973,2020-03-10 00:00:00.000000,0.00152161,0.00374662,0.00786332,3,7,15,0,1,4,0.00034076,0.00096498,0.00222486,0.43207207,0.58394091,0.80014632
37133,0,USNorthCarolinaOnslow,North Carolina,Onslow,2020-10-16 21:17:09.340973,2020-03-11 00:00:00.000000,0.00189771,0.00472384,0.01070886,3,9,21,0,2,5,0.00045286,0.00130035,0.00255495,0.43205854,0.58394108,0.80008148
37133,0,USNorthCarolinaOnslow,North Carolina,Onslow,2020-10-16 21:17:09.340973,2020-03-12 00:00:00.000000,0.00221140,0.00583069,0.01416124,4,11,28,1,3,6,0.00067101,0.00170305,0.00336598,0.43203108,0.58394131,0.79994547
37133,0,USNorthCarolinaOnslow,North Carolina,Onslow,2020-10-16 21:17:09.340973,2020-03-13 00:00:00.000000,0.00262147,0.00705886,0.01733231,5,13,34,1,4,8,0.00079916,0.00206904,0.00443346,0.43197530,0.58394120,0.79966038
37133,0,USNorthCarolinaOnslow,North Carolina,Onslow,2020-10-16 21:17:09.340973,2020-03-14 00:00:00.000000,0.00300466,0.00860528,0.02071324,5,17,40,1,5,11,0.00095440,0.00253191,0.00572162,0.43186209,0.58393820,0.79907466
37133,0,USNorthCarolinaOnslow,North Carolina,Onslow,2020-10-16 21:17:09.340973,2020-03-15 00:00:00.000000,0.00340645,0.01017140,0.02441269,6,20,48,2,6,14,0.00118322,0.00319736,0.00729043,0.43163268,0.58392031,0.79895331
37133,0,USNorthCarolinaOnslow,North Carolina,Onslow,2020-10-16 21:17:09.340973,2020-03-16 00:00:00.000000,0.00436722,0.01157966,0.02727755,8,22,53,2,7,17,0.00134548,0.00382875,0.00900774,0.43116938,0.58383522,0.79861297
37133,0,USNorthCarolinaOnslow,North Carolina,Onslow,2020-10-16 21:17:09.340973,2020-03-17 00:00:00.000000,0.00534796,0.01328900,0.03054756,10,26,60,3,8,21,0.00157511,0.00448886,0.01073886,0.43024054,0.58346676,0.79751708
37133,0,USNorthCarolinaOnslow,North Carolina,Onslow,2020-10-16 21:17:09.340973,2020-03-18 00:00:00.000000,0.00640766,0.01526490,0.03420095,12,30,67,3,10,24,0.00185609,0.00528055,0.01252532,0.42526209,0.56785996,0.79367058
37133,0,USNorthCarolinaOnslow,North Carolina,Onslow,2020-10-16 21:17:09.340973,2020-03-19 00:00:00.000000,0.00756365,0.01738366,0.03825229,14,34,75,4,12,28,0.00218892,0.00614222,0.01437312,0.40610744,0.55314454,0.77854458
37133,0,USNorthCarolinaOnslow,North Carolina,Onslow,2020-10-16 21:17:09.340973,2020-03-20 00:00:00.000000,0.00859668,0.01906152,0.04261053,17,37,84,5,13,32,0.00262702,0.00694816,0.01619309,0.40071469,0.52947949,0.74808814
37133,0,USNorthCarolinaOnslow,North Carolina,Onslow,2020-10-16 21:17:09.340973,2020-03-21 00:00:00.000000,0.00968253,0.02129489,0.04547614,19,42,90,6,15,35,0.00310851,0.00791570,0.01790494,0.37657185,0.51630687,0.72153333
37133,0,USNorthCarolinaOnslow,North Carolina,Onslow,2020-10-16 21:17:09.340973,2020-03-22 00:00:00.000000,0.01082653,0.02358677,0.04871343,21,46,96,7,18,38,0.00363029,0.00913942,0.01948857,0.35456824,0.50487795,0.70206675
37133,0,USNorthCarolinaOnslow,North Carolina,Onslow,2020-10-16 21:17:09.340973,2020-03-23 00:00:00.000000,0.01308015,0.02584941,0.05310031,25,51,105,8,20,41,0.00406330,0.01024389,0.02089126,0.34142965,0.48276154,0.67580129
37133,0,USNorthCarolinaOnslow,North Carolina,Onslow,2020-10-16 21:17:09.340973,2020-03-24 00:00:00.000000,0.01524826,0.02805198,0.05615932,30,55,111,8,22,44,0.00452033,0.01160531,0.02254379,0.33367478,0.46753657,0.65224435
