FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37157,0,USNorthCarolinaRockingham,North Carolina,Rockingham,2020-10-16 19:50:01.825443,2020-03-09 00:00:00.000000,0.00088608,0.00383752,0.01071961,0,3,9,0,1,4,0.00045146,0.00203204,0.00525360,0.39430711,0.56262173,0.72339494
37157,0,USNorthCarolinaRockingham,North Carolina,Rockingham,2020-10-16 19:50:01.825443,2020-03-10 00:00:00.000000,0.00098330,0.00432695,0.01177974,0,3,10,0,1,4,0.00045148,0.00203859,0.00512847,0.39426117,0.56261485,0.72339488
37157,0,USNorthCarolinaRockingham,North Carolina,Rockingham,2020-10-16 19:50:01.825443,2020-03-11 00:00:00.000000,0.00107910,0.00498082,0.01285972,0,4,11,0,1,4,0.00045903,0.00218432,0.00543704,0.39413281,0.56259840,0.72339478
37157,0,USNorthCarolinaRockingham,North Carolina,Rockingham,2020-10-16 19:50:01.825443,2020-03-12 00:00:00.000000,0.00117631,0.00554984,0.01398436,1,5,12,0,2,5,0.00048254,0.00238575,0.00605855,0.39377460,0.56255904,0.72339461
37157,0,USNorthCarolinaRockingham,North Carolina,Rockingham,2020-10-16 19:50:01.825443,2020-03-13 00:00:00.000000,0.00127705,0.00602098,0.01516852,1,5,13,0,2,6,0.00051973,0.00263630,0.00679352,0.39277979,0.56254192,0.72339431
37157,0,USNorthCarolinaRockingham,North Carolina,Rockingham,2020-10-16 19:50:01.825443,2020-03-14 00:00:00.000000,0.00138294,0.00668640,0.01640744,1,6,14,0,2,6,0.00056694,0.00290901,0.00762993,0.39005724,0.56304074,0.72339376
37157,0,USNorthCarolinaRockingham,North Carolina,Rockingham,2020-10-16 19:50:01.825443,2020-03-15 00:00:00.000000,0.00149523,0.00748299,0.01763802,1,6,16,0,2,7,0.00062193,0.00324010,0.00856442,0.38290118,0.56386728,0.72339266
37157,0,USNorthCarolinaRockingham,North Carolina,Rockingham,2020-10-16 19:50:01.825443,2020-03-16 00:00:00.000000,0.00282451,0.00964410,0.02075173,2,8,18,0,3,8,0.00068184,0.00362420,0.00934738,0.37809435,0.56447375,0.72338973
37157,0,USNorthCarolinaRockingham,North Carolina,Rockingham,2020-10-16 19:50:01.825443,2020-03-17 00:00:00.000000,0.00425230,0.01206104,0.02380361,3,10,21,0,3,9,0.00090214,0.00420092,0.01041253,0.37815053,0.55935710,0.72337743
37157,0,USNorthCarolinaRockingham,North Carolina,Rockingham,2020-10-16 19:50:01.825443,2020-03-18 00:00:00.000000,0.00579159,0.01427512,0.02725096,5,12,24,1,4,10,0.00124247,0.00498545,0.01174263,0.37177845,0.55130255,0.72329978
