FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-09 00:00:00.000000,0.00313599,0.00521843,0.00871419,34,58,96,13,26,40,0.00125213,0.00236197,0.00366687,0.58359736,0.75800511,0.96431968
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-10 00:00:00.000000,0.00420861,0.00642999,0.01021006,46,71,113,17,30,46,0.00155134,0.00271025,0.00418886,0.58359731,0.75800401,0.96431962
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-11 00:00:00.000000,0.00515943,0.00771340,0.01188663,57,85,132,21,35,54,0.00195549,0.00318286,0.00489727,0.58359718,0.75800163,0.96431949
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-12 00:00:00.000000,0.00617634,0.00918870,0.01377642,68,102,153,27,41,63,0.00243691,0.00376633,0.00569430,0.58359687,0.75799646,0.96431922
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-13 00:00:00.000000,0.00732090,0.01090402,0.01591746,81,121,176,33,49,73,0.00299844,0.00449438,0.00661905,0.58359607,0.75798534,0.96431864
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-14 00:00:00.000000,0.00865614,0.01264467,0.01838726,96,140,204,40,59,85,0.00361399,0.00530834,0.00772006,0.58359397,0.75796229,0.96431736
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-15 00:00:00.000000,0.01011834,0.01457208,0.02160398,112,162,240,47,68,99,0.00431026,0.00614971,0.00899467,0.58358830,0.75791908,0.96431426
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-16 00:00:00.000000,0.01210828,0.01663751,0.02499991,134,184,277,56,80,116,0.00507658,0.00719994,0.01045021,0.58357217,0.75732987,0.96430538
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-17 00:00:00.000000,0.01404322,0.01922214,0.02892175,156,213,321,66,93,133,0.00600027,0.00839818,0.01205019,0.58352356,0.75416291,0.96417864
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-18 00:00:00.000000,0.01621824,0.02213305,0.03350071,180,246,372,78,108,156,0.00707518,0.00971646,0.01411033,0.58336810,0.74542964,0.94473379
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-19 00:00:00.000000,0.01871101,0.02575872,0.03829020,208,286,425,92,127,183,0.00827583,0.01147653,0.01652083,0.57244333,0.73211853,0.94299679
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-20 00:00:00.000000,0.02154180,0.02938715,0.04355928,239,326,484,106,147,213,0.00957173,0.01329666,0.01922483,0.52278626,0.71839129,0.93764130
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-21 00:00:00.000000,0.02470239,0.03347623,0.04842096,274,372,538,122,170,245,0.01104685,0.01530249,0.02204024,0.48136295,0.68713888,0.91457925
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-22 00:00:00.000000,0.02812094,0.03803477,0.05352715,312,422,595,139,195,280,0.01257366,0.01757483,0.02519886,0.45561696,0.65037346,0.88111978
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-23 00:00:00.000000,0.03166265,0.04287824,0.06002277,352,476,667,160,221,323,0.01441566,0.01991646,0.02910345,0.44740445,0.61444795,0.83245275
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-24 00:00:00.000000,0.03501032,0.04832237,0.06666345,389,537,741,179,250,373,0.01613300,0.02251178,0.03357817,0.43847943,0.58204242,0.77695840
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-25 00:00:00.000000,0.03862915,0.05355781,0.07353038,429,595,817,200,281,421,0.01800924,0.02533398,0.03787146,0.40698462,0.54975861,0.76419245
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-26 00:00:00.000000,0.04257302,0.05985317,0.08108716,473,665,901,219,317,467,0.01975412,0.02852070,0.04208893,0.36849689,0.53747624,0.72070621
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-27 00:00:00.000000,0.04669472,0.06509177,0.08938043,519,723,993,240,348,518,0.02159888,0.03135887,0.04660099,0.32295121,0.50980005,0.70115088
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-28 00:00:00.000000,0.05102088,0.07067941,0.09827248,567,785,1092,263,386,574,0.02373709,0.03474365,0.05164541,0.31186206,0.48290450,0.68034539
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-11-15 22:13:40.149529,2020-03-29 00:00:00.000000,0.05510656,0.07545132,0.10620083,612,838,1180,285,423,648,0.02570511,0.03812668,0.05835663,0.28853737,0.46288180,0.65438337
