FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37191,0,USNorthCarolinaWayne,North Carolina,Wayne,2020-10-31 21:14:29.165912,2020-03-09 00:00:00.000000,0.00065844,0.00393048,0.01040870,0,4,12,0,2,7,0.00040254,0.00201843,0.00622994,0.57567634,0.79542630,1.14671916
37191,0,USNorthCarolinaWayne,North Carolina,Wayne,2020-10-31 21:14:29.165912,2020-03-10 00:00:00.000000,0.00074374,0.00458934,0.01243047,0,5,15,0,2,8,0.00042076,0.00225570,0.00652537,0.57567633,0.79545402,1.14671814
37191,0,USNorthCarolinaWayne,North Carolina,Wayne,2020-10-31 21:14:29.165912,2020-03-11 00:00:00.000000,0.00084619,0.00543481,0.01471324,1,6,18,0,3,8,0.00046598,0.00267829,0.00723949,0.57567632,0.79549643,1.14671522
37191,0,USNorthCarolinaWayne,North Carolina,Wayne,2020-10-31 21:14:29.165912,2020-03-12 00:00:00.000000,0.00096501,0.00640384,0.01736235,1,7,21,0,3,10,0.00052537,0.00320149,0.00831525,0.57567630,0.79556130,1.14670680
37191,0,USNorthCarolinaWayne,North Carolina,Wayne,2020-10-31 21:14:29.165912,2020-03-13 00:00:00.000000,0.00110131,0.00749617,0.02046143,1,9,25,0,4,11,0.00059593,0.00375611,0.00959142,0.57567632,0.79566050,1.14668254
37191,0,USNorthCarolinaWayne,North Carolina,Wayne,2020-10-31 21:14:29.165912,2020-03-14 00:00:00.000000,0.00125731,0.00893933,0.02408833,1,11,29,0,5,13,0.00067797,0.00443528,0.01107212,0.57567646,0.79581218,1.14661269
37191,0,USNorthCarolinaWayne,North Carolina,Wayne,2020-10-31 21:14:29.165912,2020-03-15 00:00:00.000000,0.00143592,0.01055501,0.02831569,1,12,34,0,6,15,0.00077242,0.00531688,0.01281236,0.57567716,0.79604506,1.14641169
37191,0,USNorthCarolinaWayne,North Carolina,Wayne,2020-10-31 21:14:29.165912,2020-03-16 00:00:00.000000,0.00452070,0.01469813,0.03444037,5,18,42,1,7,18,0.00088089,0.00636204,0.01520469,0.57568015,0.79641172,1.14583430
37191,0,USNorthCarolinaWayne,North Carolina,Wayne,2020-10-31 21:14:29.165912,2020-03-17 00:00:00.000000,0.00650668,0.01846907,0.04128985,8,22,50,3,9,22,0.00244711,0.00810788,0.01844287,0.57569238,0.79972529,1.14418394
37191,0,USNorthCarolinaWayne,North Carolina,Wayne,2020-10-31 21:14:29.165912,2020-03-18 00:00:00.000000,0.00879504,0.02236247,0.04908961,10,27,60,4,12,27,0.00340592,0.01030112,0.02243875,0.56529119,0.80261844,1.13953331
