FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
38013,0,USNorthDakotaBurke,North Dakota,Burke,2020-11-09 05:05:50.107615,2020-03-09 00:00:00.000000,0.00652764,0.14213775,0.45489266,0,3,9,0,1,6,0.00428037,0.07172227,0.31518114,0.33577294,0.47959918,0.85575296
38013,0,USNorthDakotaBurke,North Dakota,Burke,2020-11-09 05:05:50.107615,2020-03-10 00:00:00.000000,0.00692414,0.15297302,0.50314313,0,3,10,0,1,6,0.00401794,0.07287404,0.28848252,0.33576869,0.47958193,0.85566412
38013,0,USNorthDakotaBurke,North Dakota,Burke,2020-11-09 05:05:50.107615,2020-03-11 00:00:00.000000,0.00733375,0.16496011,0.53673846,0,3,11,0,1,5,0.00396681,0.07350263,0.27276422,0.33575863,0.47953754,0.85548018
38013,0,USNorthDakotaBurke,North Dakota,Burke,2020-11-09 05:05:50.107615,2020-03-12 00:00:00.000000,0.00775515,0.17815832,0.56999301,0,3,12,0,1,5,0.00403852,0.07744867,0.27126183,0.33573474,0.47942335,0.85510930
38013,0,USNorthDakotaBurke,North Dakota,Burke,2020-11-09 05:05:50.107615,2020-03-13 00:00:00.000000,0.00818843,0.18996306,0.60399161,0,4,12,0,1,6,0.00418265,0.08332510,0.28483831,0.33567800,0.47912976,0.85440303
38013,0,USNorthDakotaBurke,North Dakota,Burke,2020-11-09 05:05:50.107615,2020-03-14 00:00:00.000000,0.00863439,0.20499658,0.63899848,0,4,13,0,1,6,0.00446085,0.09096436,0.30124602,0.33554453,0.47837797,0.81669756
38013,0,USNorthDakotaBurke,North Dakota,Burke,2020-11-09 05:05:50.107615,2020-03-15 00:00:00.000000,0.00909376,0.21718611,0.67515226,0,4,14,0,2,6,0.00478485,0.09905560,0.31966862,0.33531972,0.47760587,0.75190454
38013,0,USNorthDakotaBurke,North Dakota,Burke,2020-11-09 05:05:50.107615,2020-03-16 00:00:00.000000,0.05065276,0.28529928,0.79810316,1,6,16,0,2,7,0.00513424,0.10741954,0.33970588,0.33504174,0.47697507,0.68105811
38013,0,USNorthDakotaBurke,North Dakota,Burke,2020-11-09 05:05:50.107615,2020-03-17 00:00:00.000000,0.07706786,0.34470870,0.96623106,1,7,20,0,2,8,0.01471104,0.12233293,0.37932377,0.31767876,0.47444769,0.66004399
38013,0,USNorthDakotaBurke,North Dakota,Burke,2020-11-09 05:05:50.107615,2020-03-18 00:00:00.000000,0.11336110,0.41556317,1.14474510,2,8,24,0,3,8,0.02888904,0.14705820,0.42098493,0.30555187,0.46275444,0.65989961
