FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-09 00:00:00.000000,0.00137715,0.00682988,0.01921201,0,4,13,0,2,7,0.00057973,0.00343278,0.01113793,0.55136263,0.72603457,1.03001795
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-10 00:00:00.000000,0.00151792,0.00789292,0.02243989,1,5,15,0,2,7,0.00070054,0.00359467,0.01117367,0.55136264,0.72603748,1.02989662
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-11 00:00:00.000000,0.00167305,0.00928001,0.02590844,1,6,17,0,2,8,0.00083110,0.00391043,0.01209136,0.55136264,0.72604508,1.02965429
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-12 00:00:00.000000,0.00184188,0.01037392,0.02978322,1,7,20,0,3,9,0.00091138,0.00459083,0.01353443,0.55136268,0.72606239,1.02917075
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-13 00:00:00.000000,0.00202516,0.01194653,0.03418142,1,8,23,0,3,10,0.00100694,0.00531132,0.01536454,0.55136280,0.72609901,1.02820775
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-14 00:00:00.000000,0.00222428,0.01347568,0.03920526,1,9,27,0,4,12,0.00111303,0.00614662,0.01754278,0.55136329,0.72617265,1.02629703
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-15 00:00:00.000000,0.00244095,0.01492222,0.04495738,1,10,31,0,4,13,0.00122842,0.00680775,0.01950940,0.55136511,0.72631480,1.02253402
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-16 00:00:00.000000,0.00453535,0.01864616,0.05251786,3,12,36,0,5,14,0.00135334,0.00749861,0.02143933,0.55137179,0.72657806,1.01523087
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-17 00:00:00.000000,0.00570515,0.02362400,0.05898588,3,16,40,1,6,16,0.00219567,0.00936335,0.02385166,0.55139604,0.72704139,1.00580181
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-18 00:00:00.000000,0.00703192,0.02981069,0.06622607,4,20,45,1,7,18,0.00276904,0.01144023,0.02666503,0.55149500,0.72586652,1.00365438
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-19 00:00:00.000000,0.00922010,0.03522818,0.07511029,6,24,52,2,10,21,0.00346072,0.01460730,0.03076880,0.55474236,0.72889179,0.99484505
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-20 00:00:00.000000,0.01168711,0.04218004,0.08970822,8,29,62,3,12,26,0.00467463,0.01803754,0.03776728,0.56805291,0.72534814,0.99610386
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-21 00:00:00.000000,0.01441653,0.05033661,0.10521519,10,34,73,4,14,31,0.00607807,0.02135160,0.04532120,0.56119546,0.71898005,1.00421617
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-22 00:00:00.000000,0.01741757,0.05731914,0.12143102,12,39,84,5,17,37,0.00764081,0.02474695,0.05328610,0.53138351,0.71213966,1.03081554
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-23 00:00:00.000000,0.02778186,0.06563222,0.13712276,19,45,95,6,19,41,0.00936962,0.02864414,0.06007415,0.51474114,0.71581874,1.05722785
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-24 00:00:00.000000,0.03299707,0.07699222,0.15439797,22,53,107,7,23,46,0.01141029,0.03356127,0.06654803,0.51394056,0.71269448,1.06403445
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-25 00:00:00.000000,0.03889759,0.08946869,0.18235153,27,62,126,9,26,53,0.01361538,0.03834312,0.07731737,0.51391916,0.71099830,1.06523750
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-26 00:00:00.000000,0.04555858,0.10267941,0.20251511,31,71,140,11,30,61,0.01612785,0.04444709,0.08860686,0.51419261,0.69003054,1.06393583
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-27 00:00:00.000000,0.05307866,0.11667323,0.23315124,36,81,161,13,35,72,0.01897617,0.05155035,0.10420551,0.51521751,0.67766660,1.05757481
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-28 00:00:00.000000,0.06156978,0.13179515,0.27984942,42,91,194,15,40,82,0.02219523,0.05843974,0.11878491,0.51565360,0.68007573,1.03383095
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-29 00:00:00.000000,0.07115882,0.15327462,0.31659031,49,106,219,17,46,95,0.02583171,0.06721855,0.13792276,0.52319896,0.67705663,0.96119845
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-30 00:00:00.000000,0.08579043,0.17344496,0.33930352,59,120,235,20,53,109,0.02993966,0.07739468,0.15746320,0.53667320,0.67738618,0.94406082
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-03-31 00:00:00.000000,0.09990265,0.19427980,0.36728194,69,134,255,26,62,125,0.03755274,0.08928172,0.18048811,0.51983579,0.68304185,0.98321861
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-01 00:00:00.000000,0.11620124,0.22594457,0.41554880,80,156,288,32,70,143,0.04736781,0.10188025,0.20603162,0.51820169,0.69576558,1.02932883
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-02 00:00:00.000000,0.13506675,0.25894653,0.46739433,93,179,324,40,80,162,0.05895400,0.11565286,0.23408796,0.51491549,0.69651026,1.00981659
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-03 00:00:00.000000,0.15709273,0.29816554,0.52083451,109,207,361,50,90,183,0.07223182,0.13011103,0.26466856,0.51150813,0.68698100,0.96181650
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-04 00:00:00.000000,0.18311815,0.33813801,0.57824556,127,234,401,58,103,206,0.08400934,0.14931162,0.29702740,0.50862906,0.67746179,0.92140141
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-05 00:00:00.000000,0.21372576,0.37261499,0.63648803,148,258,442,67,117,228,0.09780590,0.16916338,0.32956793,0.49781449,0.65765391,0.90477485
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-06 00:00:00.000000,0.25716727,0.41839417,0.72303998,178,290,502,79,131,251,0.11404009,0.18955924,0.36150803,0.47136817,0.65689768,0.86025496
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-07 00:00:00.000000,0.29509365,0.46237431,0.80863728,204,321,561,95,147,273,0.13708904,0.21270448,0.39315646,0.45936457,0.65205775,0.84717049
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-08 00:00:00.000000,0.33361827,0.50232047,0.84225218,231,348,584,107,162,293,0.15494467,0.23469526,0.42298029,0.41028909,0.64302384,0.83849653
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-09 00:00:00.000000,0.37317413,0.56040517,0.90840881,259,389,630,118,177,318,0.17045605,0.25573266,0.45880060,0.40246654,0.63492486,0.81689709
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-10 00:00:00.000000,0.42227994,0.60771309,1.01439883,293,422,704,129,196,342,0.18589182,0.28257638,0.49386676,0.40111391,0.62007466,0.79679654
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-11 00:00:00.000000,0.45714287,0.65351442,1.08793508,317,453,755,146,218,368,0.21050102,0.31516528,0.53006571,0.39990035,0.59806401,0.76539342
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-12 00:00:00.000000,0.49336154,0.72219019,1.14289642,342,501,793,164,241,395,0.23743083,0.34735880,0.56927257,0.38595604,0.57069108,0.74551442
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-13 00:00:00.000000,0.53386224,0.76367665,1.23593800,370,530,858,181,263,438,0.26129617,0.37968339,0.63202310,0.31058874,0.53522278,0.73362769
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-14 00:00:00.000000,0.57309482,0.82943742,1.32761755,398,576,922,199,285,483,0.28791440,0.41116227,0.69677319,0.27537885,0.49086247,0.71400035
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-15 00:00:00.000000,0.61188832,0.87894991,1.38784798,424,610,963,217,313,529,0.31319530,0.45195636,0.76207991,0.26336456,0.44817398,0.68973609
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-16 00:00:00.000000,0.64652423,0.90878893,1.42716048,449,631,991,224,333,559,0.32359211,0.47996804,0.80539697,0.24395408,0.41677597,0.66319049
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-17 00:00:00.000000,0.67257268,0.94513759,1.47064085,467,656,1021,230,349,583,0.33243323,0.50363239,0.84084823,0.21926856,0.36966276,0.62670357
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-18 00:00:00.000000,0.69343620,0.97006301,1.48178760,481,673,1029,236,362,606,0.34001544,0.52221604,0.87326892,0.20459698,0.32230838,0.52602496
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-19 00:00:00.000000,0.70118908,0.97691540,1.47464471,486,678,1024,240,364,603,0.34623054,0.52413030,0.86855564,0.19244272,0.28908882,0.44159158
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-20 00:00:00.000000,0.68710774,0.96810654,1.45816129,477,672,1012,243,368,595,0.35033695,0.53068543,0.85744463,0.17617149,0.27165875,0.37185598
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-21 00:00:00.000000,0.67182379,0.95883178,1.44104488,466,665,1000,243,363,584,0.35089205,0.52407977,0.84187303,0.16674838,0.25115172,0.35095365
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-22 00:00:00.000000,0.65103420,0.93228928,1.39794271,452,647,970,241,359,573,0.34715590,0.51834905,0.82589792,0.15872337,0.23089908,0.33943923
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-23 00:00:00.000000,0.63477457,0.89075944,1.35531554,440,618,941,235,350,573,0.33859302,0.50446906,0.82623524,0.13911123,0.21396895,0.31342666
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-24 00:00:00.000000,0.60125548,0.85278084,1.30666898,417,592,907,226,340,563,0.32580990,0.49043102,0.81139835,0.12888427,0.19797121,0.28551817
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-25 00:00:00.000000,0.55997371,0.81669029,1.25407926,388,567,870,218,336,545,0.31473013,0.48413350,0.78584814,0.11967239,0.18723774,0.25794726
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-26 00:00:00.000000,0.51980685,0.78852519,1.19936821,361,547,832,204,325,529,0.29492547,0.46866105,0.76207051,0.11828468,0.17523836,0.24607383
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-11-26 07:34:05.864778,2020-04-27 00:00:00.000000,0.47886036,0.74524218,1.14310804,332,517,793,190,311,517,0.27484348,0.44840309,0.74464773,0.10493689,0.16762355,0.24073114
