FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
38051,0,USNorthDakotaMcIntosh,North Dakota,McIntosh,2020-10-31 21:02:57.997799,2020-03-09 00:00:00.000000,0.00837496,0.08538998,0.29227028,0,2,7,0,1,3,0.00385836,0.04668987,0.15964608,0.39466190,0.51415054,0.70380212
38051,0,USNorthDakotaMcIntosh,North Dakota,McIntosh,2020-10-31 21:02:57.997799,2020-03-10 00:00:00.000000,0.00915255,0.09055544,0.31778011,0,2,7,0,1,3,0.00393250,0.04625368,0.15104811,0.39466118,0.51406944,0.70380129
38051,0,USNorthDakotaMcIntosh,North Dakota,McIntosh,2020-10-31 21:02:57.997799,2020-03-11 00:00:00.000000,0.00989925,0.09569523,0.34289303,0,2,8,0,1,3,0.00423226,0.04791517,0.15685321,0.39465909,0.51393869,0.70379821
38051,0,USNorthDakotaMcIntosh,North Dakota,McIntosh,2020-10-31 21:02:57.997799,2020-03-12 00:00:00.000000,0.01062405,0.10417591,0.36698629,0,2,9,0,1,4,0.00461805,0.04980175,0.16407457,0.39465301,0.51373030,0.70378670
38051,0,USNorthDakotaMcIntosh,North Dakota,McIntosh,2020-10-31 21:02:57.997799,2020-03-13 00:00:00.000000,0.01132884,0.11382231,0.38970546,0,2,9,0,1,4,0.00502758,0.05253211,0.17240800,0.39463536,0.51340383,0.70374363
38051,0,USNorthDakotaMcIntosh,North Dakota,McIntosh,2020-10-31 21:02:57.997799,2020-03-14 00:00:00.000000,0.01201983,0.12173638,0.41604146,0,3,10,0,1,4,0.00543557,0.05627343,0.18167729,0.39458409,0.51290435,0.70358256
38051,0,USNorthDakotaMcIntosh,North Dakota,McIntosh,2020-10-31 21:02:57.997799,2020-03-15 00:00:00.000000,0.01270423,0.12880382,0.43366991,0,3,10,0,1,4,0.00583396,0.05978504,0.19178401,0.39443523,0.51100036,0.70298077
38051,0,USNorthDakotaMcIntosh,North Dakota,McIntosh,2020-10-31 21:02:57.997799,2020-03-16 00:00:00.000000,0.05139190,0.17415857,0.51347362,1,4,12,0,1,5,0.00622237,0.06483037,0.20600952,0.39118179,0.50936038,0.70074557
38051,0,USNorthDakotaMcIntosh,North Dakota,McIntosh,2020-10-31 21:02:57.997799,2020-03-17 00:00:00.000000,0.06938032,0.21562454,0.57650287,1,5,14,0,1,5,0.01936920,0.07484168,0.22724904,0.37012148,0.50516722,0.69691316
38051,0,USNorthDakotaMcIntosh,North Dakota,McIntosh,2020-10-31 21:02:57.997799,2020-03-18 00:00:00.000000,0.08647299,0.26665340,0.64405679,2,6,16,0,2,6,0.02618178,0.09271694,0.25286369,0.34625163,0.49644710,0.69623632
38051,0,USNorthDakotaMcIntosh,North Dakota,McIntosh,2020-10-31 21:02:57.997799,2020-03-19 00:00:00.000000,0.10432785,0.31812116,0.71592331,2,7,17,0,2,7,0.03405571,0.11624282,0.28189457,0.31986907,0.47999874,0.69125741
38051,0,USNorthDakotaMcIntosh,North Dakota,McIntosh,2020-10-31 21:02:57.997799,2020-03-20 00:00:00.000000,0.12265360,0.37504743,0.79065498,3,9,19,1,3,7,0.04154345,0.13514711,0.31361554,0.29746288,0.45389840,0.65483638
38051,0,USNorthDakotaMcIntosh,North Dakota,McIntosh,2020-10-31 21:02:57.997799,2020-03-21 00:00:00.000000,0.14121025,0.43575387,0.86852123,3,10,21,1,3,8,0.04904938,0.15447025,0.34775712,0.27779109,0.43431771,0.61342227
