FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39013,0,USOhioBelmont,Ohio,Belmont,2020-12-05 00:30:27.467596,2020-03-09 00:00:00.000000,0.00137706,0.01061356,0.03083732,0,7,20,0,3,9,0.00074423,0.00497505,0.01491358,0.55104676,0.72357740,1.00805668
39013,0,USOhioBelmont,Ohio,Belmont,2020-12-05 00:30:27.467596,2020-03-10 00:00:00.000000,0.00165860,0.01223644,0.03454990,1,8,23,0,3,10,0.00074621,0.00541871,0.01543623,0.55119408,0.72359025,1.00805660
39013,0,USOhioBelmont,Ohio,Belmont,2020-12-05 00:30:27.467596,2020-03-11 00:00:00.000000,0.00195222,0.01383519,0.03843518,1,9,25,0,4,11,0.00081658,0.00610288,0.01652817,0.55142731,0.72361578,1.00805640
39013,0,USOhioBelmont,Ohio,Belmont,2020-12-05 00:30:27.467596,2020-03-12 00:00:00.000000,0.00226847,0.01585575,0.04254297,1,10,28,0,4,12,0.00093102,0.00686651,0.01799716,0.55179508,0.72366694,1.00805584
39013,0,USOhioBelmont,Ohio,Belmont,2020-12-05 00:30:27.467596,2020-03-13 00:00:00.000000,0.00261538,0.01792971,0.04696524,1,12,31,0,5,13,0.00109934,0.00777851,0.01974558,0.55237135,0.72377078,1.00805423
39013,0,USOhioBelmont,Ohio,Belmont,2020-12-05 00:30:27.467596,2020-03-14 00:00:00.000000,0.00300002,0.02027714,0.05175533,2,13,34,0,5,14,0.00128679,0.00875973,0.02172824,0.55326546,0.72398510,1.00804953
39013,0,USOhioBelmont,Ohio,Belmont,2020-12-05 00:30:27.467596,2020-03-15 00:00:00.000000,0.00342934,0.02304693,0.05694388,2,15,38,1,6,16,0.00149449,0.01004977,0.02392854,0.55463171,0.72443683,1.00803518
39013,0,USOhioBelmont,Ohio,Belmont,2020-12-05 00:30:27.467596,2020-03-16 00:00:00.000000,0.00757345,0.02870899,0.06355181,5,19,42,1,7,17,0.00172489,0.01140094,0.02634324,0.55667162,0.72573172,1.00798827
39013,0,USOhioBelmont,Ohio,Belmont,2020-12-05 00:30:27.467596,2020-03-17 00:00:00.000000,0.00972670,0.03570337,0.07128100,6,23,47,1,9,19,0.00295734,0.01362508,0.02917631,0.55074683,0.73060795,1.00782147
39013,0,USOhioBelmont,Ohio,Belmont,2020-12-05 00:30:27.467596,2020-03-18 00:00:00.000000,0.01185504,0.04286629,0.08266530,7,28,55,2,10,21,0.00443174,0.01599286,0.03233545,0.53270138,0.72565102,1.00717207
39013,0,USOhioBelmont,Ohio,Belmont,2020-12-05 00:30:27.467596,2020-03-19 00:00:00.000000,0.01419122,0.05082150,0.09530224,9,34,63,3,12,24,0.00571266,0.01930756,0.03674592,0.54196953,0.71562364,1.00444238
39013,0,USOhioBelmont,Ohio,Belmont,2020-12-05 00:30:27.467596,2020-03-20 00:00:00.000000,0.01677256,0.06008251,0.10922972,11,40,73,4,15,28,0.00690490,0.02281751,0.04251011,0.54304638,0.72259150,0.98909496
39013,0,USOhioBelmont,Ohio,Belmont,2020-12-05 00:30:27.467596,2020-03-21 00:00:00.000000,0.01963735,0.07126647,0.12430993,13,47,83,5,18,32,0.00825352,0.02742454,0.04894427,0.50800097,0.71736792,0.97123406
39013,0,USOhioBelmont,Ohio,Belmont,2020-12-05 00:30:27.467596,2020-03-22 00:00:00.000000,0.02282606,0.08268882,0.14479395,15,55,97,6,22,38,0.00976567,0.03315823,0.05716496,0.49940708,0.70636265,0.96217833
39013,0,USOhioBelmont,Ohio,Belmont,2020-12-05 00:30:27.467596,2020-03-23 00:00:00.000000,0.03563798,0.09602822,0.16072798,23,64,107,7,25,46,0.01145562,0.03845201,0.06867908,0.49817573,0.69538451,0.95762280
